报告期,营业收入*,已赚保费,保费业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保户红利支出,分保费用,营业税金及附加,手续费及佣金支出,管理费用,减:摊回分保费用,其他业务成本,资产减值损失,信用减值损失,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,37829601508.98,28581829162.28,28622530924.18,283823401.4,41151016.12,-449254.22,8363650619.49,323702039.18,--,-469466329.63,81165480.92,64241007.75,1208065020.58,116547.59,37130756152.57,24991196080.16,1545887496.23,29666541.92,4462391186.89,19401718.86,194865811.28,--,55159705.13,2387363994.2,1085053524.87,3443750.29,2480784977.12,--,--,--,--,698845356.41,3653975.77,34053923.71,--,--,--,668445408.47,227465613.76,--,--,--,440979794.71,203365940.95,237613853.76,-3022397336.88,-2581417542.17,-1278153903.43,-1303263638.74,--,0.0481,0.0481,20221029
20220630,27600238815.91,21553379625.06,21579879473.69,194599061.64,27595801.65,-1095953.02,5519892857.36,263586964.51,--,-365197922.32,44657950.01,16874739.19,830326155.8,305410.81,27207338922.2,22587875757.05,1044985595.44,17523252.53,-658390438.29,14855396.7,157590983.77,--,38180967.46,1767762857.37,664911193.23,3381595.06,1650543854.85,--,--,--,--,392899893.71,1844089.69,25037457.38,--,--,--,369706526.02,41993210.02,--,--,--,327713316.0,151571189.14,176142126.86,-1536210566.14,-1208497250.14,-601236147.7,-607261102.44,--,0.036,0.036,20220830
20220331,18214993909.49,15184776466.12,15197146174.61,108533075.03,13214215.84,-844507.35,3011635527.99,84017155.67,--,-407926809.5,-2636430.66,4181853.88,424708467.48,254834.18,18033645549.27,16941799113.54,572045499.89,8843573.94,-1921128748.56,6412747.42,98198409.0,--,21353892.08,1147444887.15,384483761.36,294165.33,810965971.61,--,--,--,--,181348360.22,1043160.47,12851552.26,--,--,--,169539968.43,-109915612.49,--,--,--,279455580.92,132160162.76,147295418.16,-2118441387.55,-1838985806.63,-906316614.93,-932669191.7,--,0.03,0.03,20220430
20211231,49583190777.91,37383853472.51,38136186335.28,295089767.86,815557768.27,-63224905.5,10379108426.07,408309045.14,--,-19027104.46,-15200940.43,97189591.52,1757695013.36,-427680.66,49200986819.25,30358623256.12,1745525569.83,49362364.27,7768280357.14,-496017033.19,23519626.56,--,70186191.82,3410470768.11,2155510500.64,726321893.3,2931305245.55,1069341851.68,--,--,--,382203958.66,8735259.35,47816175.06,--,--,--,343123042.95,-537094912.99,--,--,--,880217955.94,409504295.59,470713660.35,1957186901.11,2837404857.05,1368630266.81,1468774590.24,--,0.1,0.1,20220430
20210930,35488151296.07,26475568292.89,27218282678.37,220335082.42,803911088.95,-61196703.47,7838949131.82,245933567.13,--,-213103349.31,-3834446.69,85887147.18,1304772537.82,-88017.64,35045668349.51,26553101675.19,1292028158.67,40071816.12,390743285.18,-497585125.51,17806703.73,--,50467211.23,2527195816.31,1901468285.97,725898332.07,2132027391.13,488885617.52,--,--,--,442482946.56,7939477.31,32435756.37,--,--,--,417986667.5,-231392243.62,--,--,--,649378911.12,296872206.91,352506704.21,1854626207.28,2504005118.4,1205633995.02,1298371123.38,--,0.0713,0.0713,20211030
20210630,22922959442.98,16961602823.48,17742837367.19,144578406.32,790281618.81,-9047075.1,5154486678.96,87872653.78,--,-105270517.86,-8203539.39,81792033.05,838561583.81,-9619.07,22451499694.81,21714672969.09,845364611.92,28251899.88,-4662117958.19,-514151135.2,12009463.77,--,32258802.98,1995451533.89,970717818.33,724801556.49,1327901461.09,488885617.52,--,--,--,471459748.17,2283949.83,17380640.13,--,--,--,456363057.87,-134115292.29,--,--,--,590478350.16,275664371.62,314813978.54,190088972.43,780567322.59,368807968.11,411759354.48,--,0.064,0.064,20210831
20210331,12758043222.03,9908969911.97,10306902305.05,71611345.82,395982517.01,1949876.07,2482165352.51,--,--,-220652037.39,11232817.61,70526840.15,505786022.79,14314.39,12393102598.31,6593283927.45,443384457.72,13630096.82,2947253997.37,-394560653.14,6039287.64,--,17067674.93,1140747342.23,371152886.57,353819167.98,655600762.58,245285300.49,--,--,--,364940623.72,784696.72,8710306.74,--,--,--,357015013.7,-74335361.93,--,--,--,431350375.63,206836729.74,224513645.89,302472180.87,733822556.5,355048098.37,378774458.13,--,0.0454,0.0454,20210430
20201231,41200410695.35,28895658357.57,32768228258.66,228256339.64,3815202854.96,57367046.13,9517775869.18,-1232654447.39,--,1074857334.05,-33902031.56,79074341.65,1667258072.78,-311248.32,40055936288.15,2114099734.44,1520493584.4,62553127.61,33330153416.24,563629218.14,26942090.58,--,51981875.21,2375575885.23,1806101701.81,3478263283.51,2869893243.67,290624812.75,--,--,--,1144474407.2,375925709.55,70938645.95,--,--,--,1449461470.8,331555622.43,--,--,--,1117905848.37,537613555.71,580292292.66,-341921913.26,775983935.11,370071818.21,405912116.9,--,0.12,0.12,20210430
20200930,34655347307.78,24687577285.87,27563423780.64,101383790.35,2856821567.65,19024927.12,8543975663.52,66478644.85,--,8773999.95,-14098299.16,75078698.9,1354062196.48,-22237.78,34091466433.44,1034855567.44,1072858581.96,48905346.12,28823420268.64,420264924.35,20504528.73,--,36514501.77,1720831871.75,1389728071.29,2608770260.6,2179413343.71,1042742305.08,--,--,--,563880874.34,495117906.28,60294234.53,--,--,--,998704546.09,-110516582.45,--,--,--,1109221128.54,533594424.68,575626703.86,-994409535.22,114811593.32,46333752.42,68477840.9,--,0.1165,0.1165,20201031
20200630,26980244175.3,20424190644.06,22156558137.15,101383790.35,1719889519.55,12477973.54,5598519361.07,66478644.85,--,24236584.05,18551805.67,3394303.32,911365949.37,-14472.24,26432065788.01,696503041.69,674343158.06,30437096.47,23074042100.96,253317264.44,13828535.37,--,26787161.08,1253722669.59,838843337.5,1568621211.32,1539670151.63,264001104.0,--,--,--,548178387.29,492662951.39,50003945.72,--,--,--,990837392.96,-17538237.39,--,--,--,1008375630.35,487961328.26,520414302.09,-804355177.05,204020453.3,93827291.51,110193161.79,--,0.11,0.11,20200829
20200331,17613172533.85,14403682065.62,14433297599.86,--,18423515.35,11192018.89,2740826700.52,--,--,24236584.05,19512997.69,1221280.69,423737513.15,-44607.87,17271159047.73,337050329.47,326971558.23,11780042.78,14728301221.98,18667438.02,7000387.16,--,7429943.43,733745695.14,286909281.0,-92167.29,844334537.6,1704.0,--,--,--,342013486.12,492383487.76,43442525.79,--,--,--,790954448.09,39075880.26,--,--,--,751878567.83,367534125.69,384344442.14,-824939620.91,-73061053.08,-36686288.56,-36374764.52,--,0.08,0.08,20200430
20191231,50192084322.32,37576054201.54,37695972551.35,116448564.07,127214181.44,-7295831.63,10549700384.74,148890819.74,--,-894954.08,-1522673.94,7617844.35,2059540036.58,1589483.13,46761215317.5,7209832548.96,1442215945.67,75028980.69,28504610421.5,-14557112116.13,31830421.47,--,63938396.54,3532122118.94,2116459260.04,8814193.92,3282135894.79,678454331.37,--,--,--,3430869004.82,218746663.84,16171823.89,--,--,--,3633443844.77,714890775.61,--,--,--,2918553069.16,1142617858.03,1775935211.13,1188642379.8,4107195448.96,1725052624.13,2382142824.83,--,0.36,0.36,20200415
20190930,42457533045.68,33189477195.56,33287486007.67,--,102557795.63,-4548983.52,7553418071.22,--,--,14580616.23,-1419524.74,6986060.91,1685115929.41,9374697.09,40253404953.12,6937759525.56,1020385388.81,57075483.9,24710362474.8,-14572803265.1,24486331.59,--,41515960.62,2932518582.14,1605635206.36,7458040.05,2515543696.19,519643918.52,--,--,--,2204128092.56,206507872.2,9477910.64,--,--,--,2401158054.12,530001062.55,--,--,--,1871156991.57,855078968.16,1016078023.41,919913890.38,2791070881.95,1305836774.45,1485234107.5,--,0.21,0.21,20191031
20190630,33153522693.13,26590117147.64,26689288347.63,--,99840223.32,-669023.33,5176837940.48,84199557.49,--,--,77566.7,4869347.4,1381720582.67,-99891.76,31474203115.85,6641256067.68,630129264.46,35252512.11,19051514149.35,-14585304055.31,16654636.55,--,32470930.74,2099725464.43,1200971689.95,6569269.74,1855033913.12,7145135.03,--,--,--,1679319577.28,206138075.13,5130616.21,--,--,--,1880327036.2,385637957.65,--,--,--,1494689078.55,747110989.19,747578089.36,1173061586.86,2667750665.41,1321911166.75,1345839498.66,--,0.15,0.15,20190831
