报告期,营业收入*,已赚保费,保费业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保户红利支出,分保费用,营业税金及附加,手续费及佣金支出,管理费用,减:摊回分保费用,其他业务成本,资产减值损失,信用减值损失,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,10229362693.07,7028449537.22,7042651450.49,89224339.76,13555214.47,646698.8,2843757762.13,60115074.67,--,-104268407.31,36507530.91,47366268.56,377738864.78,-188863.22,9923417230.37,2403320323.11,500901900.79,12143289.39,5120781625.18,4546322.16,37274827.51,--,16978737.67,619601136.83,420142331.64,62155.23,830241122.27,--,--,--,--,305945462.7,1809886.08,9016466.33,--,--,--,298738882.45,185472403.74,--,--,--,113266478.71,51794751.81,61471726.9,-1486186770.74,-1372920292.03,-676917755.73,-696002536.3,--,0.0121,0.0121,20221029
20220630,9385244906.42,6368603158.94,6382733299.08,86065986.61,14381585.81,-251445.67,2508257329.37,179569808.84,--,42728887.18,47294380.67,12692885.31,405617688.32,50576.63,9173693372.93,5646076643.51,472940095.55,8679678.59,1262738310.27,8442649.28,59392574.77,--,16827075.38,620317970.22,280427431.87,3087429.73,839577883.24,--,--,--,--,211551533.49,800929.22,12185905.12,--,--,--,200166557.59,151908822.51,--,--,--,48257735.08,19411026.38,28846708.7,582230821.41,630488556.49,305080467.23,325408089.26,--,0.006,0.006,20220830
20220331,18214993909.49,15184776466.12,15197146174.61,108533075.03,13214215.84,-844507.35,3011635527.99,84017155.67,--,-407926809.5,-2636430.66,4181853.88,424708467.48,254834.18,18033645549.27,16941799113.54,572045499.89,8843573.94,-1921128748.56,6412747.42,98198409.0,--,21353892.08,1147444887.15,384483761.36,294165.33,810965971.61,--,--,--,--,181348360.22,1043160.47,12851552.26,--,--,--,169539968.43,-109915612.49,--,--,--,279455580.92,132160162.76,147295418.16,-2118441387.55,-1838985806.63,-906316614.93,-932669191.7,--,0.03,0.03,20220430
20211231,14095039481.84,10908285179.62,10917903656.91,74754685.44,11646679.32,-2028202.03,2540159294.25,162375478.01,--,194076244.85,-11366493.74,11302444.34,452922475.54,-339663.02,14155318469.74,3805521580.93,453497411.16,9290548.15,7377537071.96,1568092.32,5712922.83,--,19718980.59,883274951.8,254042214.67,423561.23,799277854.42,580456234.16,--,--,--,-60278987.9,795782.04,15380418.69,--,--,--,-74863624.55,-305702669.37,--,--,--,230839044.82,112632088.68,118206956.14,102560693.83,333399738.65,162996271.79,170403466.86,--,0.0287,0.0287,20220430
20210930,12565191853.09,9513965469.41,9475445311.18,75756676.1,13629470.14,-52149628.37,2684462452.86,158060913.35,--,-107832831.45,4369092.7,4095114.13,466210954.01,-78398.57,12594168654.7,4838428706.1,446663546.75,11819916.24,5052861243.37,16566009.69,5797239.96,--,18208408.25,531744282.42,930750467.64,1096775.58,804125930.04,0.0,--,--,--,-28976801.61,5655527.48,15055116.24,--,--,--,-38376390.37,-97276951.33,--,--,--,58900560.96,21207835.29,37692725.67,1664537234.85,1723437795.81,836826026.91,886611768.9,--,0.0073,0.0073,20211030
20210630,10164916220.95,7052632911.51,7435935062.14,72967060.5,394299101.8,-10996951.17,2672321326.45,--,--,115381519.53,-19436357.0,11265192.9,332775561.02,-23933.46,10058397096.5,15121389041.64,401980154.2,14621803.06,-7609371955.56,-119590482.06,5970176.13,--,15191128.05,854704191.66,599564931.76,370982388.51,672300698.51,243600317.03,--,--,--,106519124.45,1499253.11,8670333.39,--,--,--,99348044.17,-59779930.36,--,--,--,159127974.53,68827641.88,90300332.65,-112383208.44,46744766.09,13759869.74,32984896.35,--,0.0186,0.0186,20210831
20210331,12758043222.03,9908969911.97,10306902305.05,71611345.82,395982517.01,1949876.07,2482165352.51,--,--,-220652037.39,11232817.61,70526840.15,505786022.79,14314.39,12393102598.31,6593283927.45,443384457.72,13630096.82,2947253997.37,-394560653.14,6039287.64,--,17067674.93,1140747342.23,371152886.57,353819167.98,655600762.58,245285300.49,--,--,--,364940623.72,784696.72,8710306.74,--,--,--,357015013.7,-74335361.93,--,--,--,431350375.63,206836729.74,224513645.89,302472180.87,733822556.5,355048098.37,378774458.13,--,0.0454,0.0454,20210430
20201231,6545063387.57,4208081071.7,5204804478.02,126872549.29,958381287.31,38342119.01,973800205.66,-1299133092.24,--,1066083334.1,-19803732.4,3995642.75,313195876.3,-289010.54,5964469854.71,1079244167.0,447635002.44,13647781.49,4506733147.6,143364293.79,6437561.85,--,15467373.44,654744013.48,416373630.52,869493022.91,690479899.96,-752117492.33,--,--,--,580593532.86,-119192196.73,10644411.42,--,--,--,450756924.71,442072204.88,--,--,--,8684719.83,4019131.03,4665588.8,652487621.96,661172341.79,323738065.79,337434276.0,--,0.0035,0.0035,20210430
20200930,7675103132.48,4263386641.81,5406865643.49,0.0,1136932048.1,6546953.58,2945456302.45,0.0,--,-15462584.1,-32650104.83,71684395.58,442696247.11,-7765.54,7659400645.43,338352525.75,398515423.9,18468249.65,5749378167.68,166947659.91,6675993.36,--,9727340.69,467109202.16,550884733.79,1040149049.28,639743192.08,778741201.08,--,--,--,15702487.05,2454954.89,10290288.81,--,--,--,7867153.13,-92978345.06,--,--,--,100845498.19,45633096.42,55212401.77,-190054358.17,-89208859.98,-47493539.09,-41715320.89,--,0.0065,0.0065,20201031
20200630,9367071641.45,6020508578.44,7723260537.29,--,1701466004.2,1285954.65,2857692660.55,--,--,0.0,-961192.02,2173022.63,487628436.22,30135.63,9160906740.28,359452712.22,347371599.83,18657053.69,8345740878.98,234649826.42,6828148.21,--,19357217.65,519976974.45,551934056.5,1568713378.61,695335614.03,263999400.0,--,--,--,206164901.17,279463.63,6561419.93,--,--,--,199882944.87,-56614117.65,--,--,--,256497062.52,120427202.57,136069859.95,20584443.86,277081506.38,130513580.07,146567926.31,--,0.03,0.03,20200829
