报告期,营业收入*,手续费及佣金净收入,代理买卖证券业务净收入,证券承销业务净收入,受托客户资产管理业务净收入,利息净收入,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1564730676.48,598354119.12,272531360.12,54054612.74,84023361.08,50759942.61,564915832.59,20092210.51,--,-416692677.73,1421032.02,5866073.35,760257724.68,-151370.16,1511847358.84,1511847358.84,7022695.73,756146503.0,-1353017.81,754757434.7,--,--,52883317.64,4769541.22,2189036.97,--,--,--,55463821.89,-18678503.28,--,--,--,74142325.17,5504531.67,68637793.5,242696.25,74385021.42,5504531.67,68880489.75,--,0.03,0.03,20221028
20220630,1603487440.91,553785761.14,266058513.97,37674292.62,72965288.17,98714908.14,268970862.23,56329899.75,--,330518090.81,1302530.44,14927279.28,335273424.7,-5415.83,1077270263.84,1077270263.84,6714919.39,715571890.05,--,318028532.79,--,--,526217177.07,2512655.18,1256716.27,--,--,--,527473115.98,50859603.95,--,--,--,476613512.03,10858963.16,465754548.87,--,476550590.78,10858963.16,465691627.62,--,0.2,0.2,20220825
20220331,799071341.44,628773350.85,294487165.19,15125760.42,123432966.61,54370694.2,159499530.63,44935867.31,--,-549274181.64,-118985.55,8965861.09,496853424.74,1647.12,1066622316.26,1066622316.26,7759930.01,557693605.66,--,486932979.21,--,--,-267550974.82,1697769.42,7660272.51,--,--,--,-273513477.91,-53585526.83,--,--,--,-219927951.08,39166273.56,-259094224.64,--,-219927951.08,39166273.56,-259094224.64,--,-0.11,-0.11,20220428
20211231,2397721992.39,765112912.56,348672082.11,107314285.82,58609316.21,61534947.88,414605195.29,26038770.48,--,356524058.82,-432233.81,2102308.8,798493611.72,-218808.87,1962824262.78,1962824262.78,8786003.04,1074571963.86,--,786418661.45,--,--,434897729.61,8928850.12,-1333530.99,--,--,--,445160110.72,30958984.37,--,--,--,414201126.35,5348286.26,408852840.09,-13709654.02,400491472.33,5248279.14,395243193.19,--,0.1739,0.1739,20220415
20210930,2153658399.73,792411807.75,407848773.92,126445332.68,49155895.17,82343701.68,543742108.42,46016765.91,--,35953808.61,74355.68,1713529.25,697423667.38,-4579.04,1471822721.71,1471822721.71,10144265.43,840518079.73,--,688576554.48,--,--,681835678.02,6222638.92,1881862.46,--,--,--,686176454.48,148840073.64,--,--,--,537336380.84,25312660.21,512023720.63,473704.0,537810084.84,25415222.93,512394861.91,--,0.22,0.22,20211026
20210630,1629624408.94,561453079.51,313753739.02,55448241.54,60129043.52,30613259.22,429146698.98,38656775.9,--,165143947.57,-353326.78,20837785.36,422708081.9,74883.18,1094313423.37,1094313423.37,8512011.11,679524772.06,--,391708209.1,--,--,535310985.57,2552041.94,371827.1,--,--,--,537491200.41,112626279.13,--,--,--,424864921.28,60183611.43,364681309.85,-893024.26,423971897.02,60228222.45,363743674.57,--,0.16,0.16,20210820
20210331,1296797080.83,584080489.54,257825803.73,87607964.08,37887141.58,25427419.12,318996087.27,61242027.07,--,50392101.32,142647.01,7292333.25,310470678.83,-4675.51,872083157.02,872083157.02,8466966.68,570034013.61,--,300907282.88,--,--,424713923.81,383550.29,246714.41,--,--,--,424850759.69,95387766.26,--,--,--,329462993.43,-8973389.62,338436383.05,26717.68,329489711.11,-9007159.16,338496870.27,--,0.14,0.14,20210427
20201231,1531940611.06,567525759.46,232204579.08,125828829.23,39329764.28,43931330.34,355784174.85,48679612.08,--,240860511.41,1088915.22,5712370.12,317000907.23,36642.43,1027023476.71,1027023476.71,6916032.32,600637679.62,65584.32,313225449.79,--,--,504917134.35,-3537816.36,542738.01,--,--,--,500836579.98,63331760.17,--,--,--,437504819.81,76515076.66,360989743.15,-6421281.71,431083538.1,76362624.33,354720913.77,--,0.1497,0.1497,20210410
20200930,1386897200.62,513787491.83,326919331.28,33944427.56,29159862.41,77522167.98,552556752.78,34758568.02,--,-23571218.46,-873918.77,1205100.78,266153595.33,117229.15,1010457273.59,1010457273.59,9373797.35,702337678.52,--,230215863.31,--,--,376439927.03,3186566.79,2482224.91,--,--,--,377144268.91,90128338.05,--,--,--,287015930.86,-18472130.26,305488061.12,6385754.65,293401685.51,-18441803.65,311843489.16,--,0.14,0.14,20201028
20200630,1884728804.89,374619280.29,203975941.86,41471401.21,33633780.58,3106773.93,243353789.86,39162537.8,--,487026926.48,-16431.64,17998809.5,758639660.55,--,1389464385.39,1389464385.39,6793407.68,528882276.45,--,850280646.06,--,--,495264419.5,833558.47,396006.06,--,--,--,495701971.91,96874605.6,--,--,--,398827366.31,65777320.36,333050045.95,-10321058.98,388506307.33,66108004.17,322398303.16,--,0.14,0.14,20200827
