报告期,经营活动产生的现金流量*,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,回购业务资金净增加额,收到其他与经营活动有关的现金,代理买卖证券收到的现金净额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,2733091820.61,--,945141042.16,--,1027512553.74,472121652.4,--,709468083.82,--,4667030350.74,292266583.63,930000000.0,84974892.69,388446604.7,--,--,3336404292.56,--,1330626058.18,--,1138872.12,45507538.66,25858.16,--,--,--,125781424.29,1472100781.38,46478283.83,2623713.73,--,--,1521202778.94,--,-1395421354.65,--,0.0,0.0,2787088000.0,--,--,--,2787088000.0,3304799000.0,169288060.3,19023670.81,--,--,3493110731.11,--,-706022731.11,661791.48,-770156236.1,0.0,-770156236.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221029
20220630,--,--,--,889265255.84,--,7579289119.45,94249091.08,--,257866813.01,--,9908459055.81,604284548.75,--,89262264.81,839875177.11,--,--,-320937657.3,--,10229396713.11,--,-3037378202.56,70790640.59,52422.03,3697334.25,--,--,-2962837805.69,--,44946368.36,4301623.7,--,--,4161117942.83,--,-7123955748.52,--,0.0,--,2750000000.0,--,--,--,2760000000.0,1551039000.0,363476600.48,16241301.72,--,--,1930756902.2,--,829243097.8,640957.58,3935325019.97,0.0,3935325019.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220820
20220331,--,--,--,943849072.32,781000000.0,722144529.4,573726448.97,--,1028520731.67,--,4049240782.36,376207472.46,--,101392174.43,1416700720.13,242549140.42,--,4720919242.76,--,-671678460.4,--,3055325012.6,185507868.07,32857.87,1244515.82,--,--,3242110254.36,--,43263088.35,315755.15,--,--,43578843.5,--,3198531410.86,--,16160000.0,--,101039000.0,--,--,--,117199000.0,834205000.0,118212537.41,21682161.22,--,--,974099698.63,--,-856900698.63,-58378.17,1669893873.66,22119071267.54,23788965141.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220428
20211231,--,--,--,1097810804.48,--,--,1163183482.44,1036869613.68,--,--,1204385386.75,331918908.24,--,129786384.66,837760320.62,-11973609699.22,--,-10341911668.24,--,11546297054.99,--,-11149838108.06,59593883.38,44424.83,--,--,--,-11073665634.57,25000000.0,53330313.64,7132316.43,--,--,85462630.07,--,-11159128264.64,--,--,0.0,297145000.0,--,--,--,297145000.0,2740457000.0,195143291.34,20083284.96,--,--,2955683576.3,--,-2658538576.3,-216781.94,-2271586567.89,0.0,-2271586567.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220318
20210930,--,--,--,1021474127.4,--,--,360555709.95,2298375509.87,--,--,-813741608.5,294401423.55,0.0,138902560.48,146860418.42,--,--,-7645706587.03,--,6831964978.53,--,-1502759055.59,2916911.1,54288.82,--,14494648.9,--,-1485293206.77,66000000.0,67384951.57,11319887.91,--,--,144704839.48,--,-1629998046.25,--,--,0.0,3099697000.0,--,--,--,3099697000.0,3446630000.0,239571973.61,21095647.39,--,--,3707297621.0,--,-607600621.0,-479.77,4594365831.51,0.0,4594365831.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,--,--,933758910.96,--,1472623294.06,714900760.8,732766174.02,--,--,3854049139.84,396445813.37,-2200000000.0,209580393.44,1299658856.25,--,--,4937508327.1,--,-1083459187.26,--,2320440760.86,52830872.29,112714.71,--,--,--,2395024366.15,--,26116539.41,2370693.41,--,--,48487232.82,--,2346537133.33,--,--,0.0,1414450000.0,--,--,--,1414450000.0,742140000.0,745261553.22,19699141.45,--,--,1507100694.67,--,-92650694.67,-1711427.67,1168715823.73,0.0,1168715823.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210821
20210331,--,--,--,826510095.59,--,5704002175.51,406995688.65,512228231.44,--,--,7449736191.19,438260464.43,3700000000.0,85955490.66,852779212.39,--,--,23688018905.34,--,-16238282714.15,--,15203855215.77,124761899.86,20041.86,--,--,--,15328637157.49,--,100324210.49,1290234.38,--,--,101614444.87,--,15227022712.62,--,--,10000000.0,2780000000.0,--,--,--,2790000000.0,400000000.0,69566849.34,18221034.78,--,--,487787884.12,--,2302212115.88,458313.35,1291410427.7,17336165752.49,18627576180.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210428
20201231,--,--,--,947221159.75,--,-4367125825.69,147900390.21,556827340.52,--,--,-2715176935.21,238237401.63,-2400000000.0,148359441.63,667183671.66,--,--,-12306733820.28,--,9591556885.07,--,-3293926448.34,127554435.08,24917.87,--,--,--,-3166347095.39,5116513912.17,36035813.84,1531508.13,--,--,5154081234.14,--,-8320428329.53,--,0.0,--,2050000000.0,--,--,--,2050000000.0,3042010000.0,199107682.33,79000.0,--,--,3241196682.33,--,-1191196682.33,-1578677.29,78353195.92,0.0,78353195.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210320
20200930,--,--,--,941126938.52,--,--,302344836.86,-93563795.35,--,--,8362362716.06,218872285.02,985000000.0,164237761.59,433584020.34,--,--,4163599603.6,--,4198763112.46,--,-4831355347.09,165373066.3,15840.0,--,--,--,-4665966440.79,14750000.0,1362991390.43,416929.55,--,--,1378158319.98,--,-6044124760.77,--,0.0,--,5810000000.0,--,--,--,5810000000.0,3060000000.0,165491242.77,126500.0,--,--,3225617742.77,--,2584382257.23,-992225.4,738028383.52,0.0,738028383.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201028
20200630,--,--,--,764747929.79,--,--,277870091.59,410574140.96,--,--,-3259695706.86,384355673.06,1115000000.0,169995588.09,904289317.32,--,--,4442294173.0,--,-7701989879.86,--,7141268581.62,162108464.98,27873.9,--,--,--,7303404920.5,--,37272633.88,0.0,--,--,47272633.88,--,7256132286.62,--,0.0,--,2527110000.0,--,--,--,2527110000.0,2658656800.0,325702130.89,20433285.87,--,--,3004792216.76,--,-477682216.76,-17426.8,-923557236.8,0.0,-923557236.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200822
