报告期,资产*,货币资金,其中:客户资金存款,结算备付金,其中:客户备付金,拆出资金,融出资金,金融投资,其中:交易性金融资产,债权投资,其他债权投资,其他权益工具投资,以摊余成本计量的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,衍生金融资产,买入返售金融资产,持有待售资产,应收款项,合同资产,应收利息,存出保证金,代理业务资产,可供出售金融资产,持有至到期投资,长期股权投资,固定资产,在建工程,无形资产,其中:交易席位费,商誉,递延所得税资产,投资性房地产,其他资产,资产差额(特殊报表科目),资产差额(合计平衡项目),资产总计*,负债*,短期借款,其中:质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,代理买卖证券款,代理承销证券款,应付职工薪酬,长期应付职工薪酬,应交税费,应付款项,应付利息,合同负债,持有待售的负债,代理业务负债,长期借款,应付债券,递延所得税负债,预计负债,其他负债,负债差额(特殊报表科目),负债差额(合计平衡项目),负债合计*,所得者权益(或股东权益)*,股本,其他权益工具,其中:优先股,永续债,资本公积金,减:库存股,其他综合收益,盈余公积金,未分配利润,一般风险准备,外币报表折算差额,未确认的投资损失,股东权益差额(特殊报表科目),股东权益差额(合计平衡项目),归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),负债及股东权益总计*,公告日期#
20220930,--,115633247746.24,94299713198.85,31559714135.39,26878346154.66,--,82684732429.39,297878828105.87,178572514575.57,237580501.1,118415759389.25,652973639.95,--,--,3398048729.93,17040594001.33,--,8599740241.47,15000000.0,--,16230316016.1,--,--,--,8048084468.86,2783150659.82,246301316.8,1453011432.34,--,2346934.5,2300329929.41,190381607.44,1430736441.58,--,--,590256779447.62,--,1825587949.17,--,29894392332.38,14114192964.34,14105727283.26,1333319760.27,125686182566.17,127908064478.3,--,8875348570.97,--,688596671.86,16714930860.53,--,75543332.48,--,--,67781188.04,119472287282.94,419223087.67,449478484.68,5387300784.05,--,--,467803511714.8,--,7621087664.0,10990000000.0,--,10990000000.0,31279900807.2,233608724.73,1404558352.69,7947966030.53,39183871615.26,19920209089.33,--,--,--,--,118113984834.28,4339282898.54,122453267732.82,--,--,590256779447.62,20221029
20220630,--,133993365832.15,115655052956.15,25289523784.0,20546991595.6,--,85612000846.41,274153958273.83,164150956941.73,154477229.1,109135727067.22,712797035.78,--,--,1955575466.9,17311912936.59,--,5624074874.3,15000000.0,--,16518954678.44,--,--,--,8045294938.53,2792637187.71,246301316.8,1457828202.35,--,2219259.6,2266978583.47,192202633.02,4732745788.18,--,--,581023325919.17,--,1573062000.96,--,39914332470.76,10991137053.28,11936274098.26,2086730084.36,114971451768.58,144970625700.09,--,8584798402.35,--,634300262.88,13256094135.68,--,53933472.13,--,--,135189958.18,107430958707.45,666420503.86,426230120.87,9012228366.5,--,--,467480529560.76,--,7621087664.0,3697300000.0,--,3697300000.0,31259705828.51,233608724.73,1056371284.03,7947966030.53,38262971201.92,19804900094.55,--,--,--,--,109416693378.81,4126102979.6,113542796358.41,--,--,581023325919.17,20220831
20220331,--,118179941831.49,98714107724.04,25789951914.12,21957578072.71,--,88518006114.17,263869462220.94,156255072765.17,98198277.27,106675985784.22,840205394.28,--,--,1832238731.23,18372752480.97,--,4950162866.07,4300000.0,--,15327641788.83,--,--,--,8368441003.03,2900251244.11,--,1466784471.42,--,2104559.79,2170903050.94,97514122.89,1997080410.44,--,--,554667333880.67,--,1268279200.75,--,42927091940.95,11733827263.85,9235352703.64,1177427615.32,115864279795.12,129113633645.56,--,9827172113.59,--,911214515.54,9529475233.92,--,34442279.49,--,--,199845152.25,103324410333.42,651061732.07,404164216.63,5585187461.32,--,--,442627892684.53,--,7621087664.0,1000000000.0,--,1000000000.0,31283732369.68,--,731143728.91,7947966030.53,39326537375.28,19688201128.24,--,--,--,--,107598668296.64,4440772899.5,112039441196.14,--,--,554667333880.67,20220430
20211231,--,119312819547.3,97496872498.95,27694380825.97,23147026006.96,--,97230767936.97,235925189193.64,124472613744.26,104687035.14,110475096064.92,872792349.32,--,--,564492711.12,19992231758.14,--,4892762994.8,--,--,12495112880.09,--,--,--,8248418382.4,2966918586.37,--,1489981718.99,--,2121686.91,2118831597.59,60741683.3,2042761728.12,--,--,535855323975.7,--,916545300.84,--,27876759511.95,11617488374.8,10823403287.06,981098535.88,81230199850.97,126731097494.51,--,10118479443.39,--,1645142280.68,7074067650.85,--,111172850.04,--,--,338674722.0,138682932215.31,741364210.3,405871722.46,4917925839.9,--,--,425053981414.81,--,7621087664.0,1000000000.0,--,1000000000.0,31283732369.68,--,1059512246.89,7947966030.53,38140087977.29,19572123372.4,--,--,--,--,106624509660.79,4176832900.1,110801342560.89,--,--,535855323975.7,20220331
20210930,--,120852947714.5,95751661597.42,35302430900.17,29258191510.51,--,96851695159.11,209287772979.07,110625892552.19,170908434.47,97664017816.8,826954175.61,--,--,498295933.93,18794143881.38,--,4535109640.28,--,--,12005521735.79,--,--,--,7828003975.91,2942908080.17,--,1411369446.59,--,2161909.7,1899913301.69,40073264.99,2037831110.93,--,--,515100608104.25,--,1445781834.53,--,20115509424.01,8851792406.25,10045093399.18,1040950804.53,87644972358.93,130514195127.34,--,10116322454.35,--,1607899889.6,6213423449.6,--,51802826.04,--,--,530710393.84,122511137478.99,625035694.27,415691669.17,4078006113.66,--,--,406637899817.05,--,7621087664.0,1000000000.0,--,1000000000.0,31244032704.37,--,787704689.36,7078798428.69,38799024072.52,17569083166.81,--,--,--,--,104099730725.75,4362977561.45,108462708287.2,--,--,515100608104.25,20211029
20210630,--,121160204695.25,97432074744.6,18468167005.71,13520846799.56,--,93678988012.6,217852976607.61,102237060950.14,211552483.23,114634578502.96,769784671.28,--,--,335030723.65,17820480030.73,--,7386525123.22,--,--,11801832314.78,--,--,--,7784101084.44,2945957939.0,--,1411316170.67,--,2159314.68,1823148327.02,40848366.3,2364499083.72,--,--,505651566562.55,--,5321379089.78,--,35305853192.37,10555581500.16,8398567383.45,828728543.71,99107736211.33,118512209390.37,--,8312558727.37,--,1559589797.12,5623093990.93,--,60271974.83,--,--,1194089180.69,97861651261.49,723316793.8,414332951.01,6790638439.81,--,--,401363665566.13,--,7621087664.0,--,--,--,31244032704.37,--,683169370.71,7078798428.69,36172099666.82,17443648783.15,--,--,--,--,100242836617.74,4045064378.68,104287900996.42,--,--,505651566562.55,20210828
20210331,--,117518764338.88,91403267224.17,25966188593.1,20016517667.24,--,87684949430.53,220009513939.41,100466159936.34,266666102.71,118489350736.57,787337163.79,--,--,507392674.8,14282744498.41,--,4667994351.36,--,--,11679760832.43,--,--,--,7637995353.38,2985871838.9,--,1433072038.99,--,2193309.42,1540680283.62,41623467.62,2599221172.21,--,--,499279578551.08,--,2389605634.97,--,39456256319.75,7790290278.16,8984181464.69,827879641.77,99896689596.85,118396429350.76,--,8775979196.97,--,1365082760.01,3555713321.22,--,43033356.22,--,--,1932410388.9,96665334267.13,479366296.1,417493987.11,2885886267.31,--,--,394596739925.58,--,7621087664.0,--,--,--,31217183692.34,--,724079985.75,7078798428.69,36377945616.62,17319649431.7,--,--,--,--,100338744819.1,4344093806.4,104682838625.5,--,--,499279578551.08,20210429
20201231,--,102766203793.4,80469716671.84,20515405015.87,16705044776.35,--,86152816489.88,200012432358.05,67742658988.28,462314931.3,120182380523.61,11625077914.86,--,--,203365893.79,16793849178.49,--,3404173075.26,--,--,11045545569.66,--,--,--,7196883172.97,3046292695.42,--,1453854036.08,--,2183967.35,1323839777.48,42398568.93,2859873367.73,--,--,457463686260.8,--,2552786232.22,--,35008179142.44,6121286327.28,5565326695.14,214987397.85,94611621269.89,102941104908.51,--,8130420712.53,--,1346119814.41,2605234720.49,--,47087112.89,--,--,2183068699.27,89749863546.19,418322975.52,415058127.27,2626571100.57,--,--,355190100148.25,--,7621087664.0,--,--,--,31199360406.23,--,1106197716.99,7078798428.69,33952582399.55,17204170473.38,--,--,--,--,98162197088.84,4111389023.71,102273586112.55,--,--,457463686260.8,20210330
20200930,--,95962128037.11,71618567818.29,23385156714.6,20101601318.0,--,79260069401.49,186750290698.11,70399308473.96,770062393.98,104149945089.77,11430974740.4,--,--,103494013.22,15362759584.16,--,6727241536.15,75894968.0,--,9705368419.56,--,--,--,6384162222.08,1796802592.9,--,1180123917.88,--,2280242.53,1267092005.75,43173670.21,3956174977.97,--,--,432634575945.65,--,6848994829.5,--,27459751647.97,4801276985.62,3626342659.69,145389098.1,91086751636.32,97512855552.62,--,7458840259.97,--,1185786753.3,1035205404.53,--,66249812.02,--,--,2425417208.26,84985242497.21,537042812.79,430205835.33,3084141285.29,--,--,333367976159.32,--,7621087664.0,--,--,--,31205148513.81,--,989579305.96,6344759088.85,34661291521.61,15331460015.26,--,--,--,--,96153326109.49,3113273676.84,99266599786.33,--,--,432634575945.65,20201031
20200630,--,98484270088.11,79544679764.53,18892112919.73,16067056748.2,--,61952593178.84,197758392309.98,90249659828.87,1588959301.05,94882040297.84,11037732882.22,--,--,75527405.22,16264725834.96,--,4797796511.07,75894968.0,--,7829242686.69,--,--,--,6199544664.26,1826203871.62,--,1196614359.69,--,2370289.66,1066024911.73,43948771.52,4563567387.84,--,--,421654190987.79,--,4035163479.13,--,20752573061.57,5327317386.32,3292909391.02,72436339.0,72862847488.42,102084107625.74,--,5880004708.2,--,1137297351.4,6655058823.18,--,69823164.01,--,--,3031306502.7,91619244672.83,508482399.99,451815635.38,6386647310.32,--,--,324795707023.1,--,7621087664.0,--,--,--,31205148513.81,--,1175322770.12,6344759088.85,32436289324.69,15167904242.58,--,--,--,--,93950511604.05,2907972360.64,96858483964.69,--,--,421654190987.79,20200829
