报告期,经营活动产生的现金流量*,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,回购业务资金净增加额,收到其他与经营活动有关的现金,代理买卖证券收到的现金净额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,--,--,20479789548.57,2223412770.6,47366981413.74,8629981293.32,761960047.04,14721241850.85,--,94183366924.12,7637253742.37,--,3696874269.39,7745254294.93,--,--,74516019158.81,--,19667347765.31,--,367876928.35,3224957428.44,9216787.06,--,--,--,3602051143.85,8608615796.03,422416516.28,--,--,--,9031032312.31,--,-5428981168.46,--,10000000000.0,1127252462.25,41000000000.0,29745372687.05,--,--,81872625149.3,65447467730.68,8848080106.35,22494589229.39,233608724.73,--,97023745791.15,--,-15151120641.85,627566504.1,-285187540.9,141769343344.08,141484155803.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221029
20220630,--,--,--,13589567858.18,--,36421045987.82,7634734982.34,17988611267.67,11671913571.83,--,87305873667.84,5916683029.09,725353824.62,2684671105.09,7175762649.97,--,--,59317011321.2,--,27988862346.64,--,1204776665.25,2407280699.95,3098586.84,--,--,--,3615155952.04,468397515.58,263873655.17,--,--,--,732271170.75,--,2882884781.29,--,2700000000.0,1016022233.1,19000000000.0,25996175400.16,--,--,48712197633.26,50825698009.72,3588630967.69,13257229468.8,233608724.73,--,67905167170.94,--,-19192969537.68,308757363.93,11987534954.18,141769343344.08,153756878298.26,--,4653005102.85,--,157906892.31,73974970.88,21090494.31,--,--,-1898163.59,--,526823968.94,1059363180.06,-558240128.06,-73845719.0,--,6238483973.65,56134391800.42,--,-40334493134.42,--,27988862346.64,--,--,--,153756878298.26,141769343344.08,--,--,--,--,11987534954.18,20220831
20220331,--,--,--,7019302239.76,121870354.7,36266683953.35,3837719662.51,2397128239.79,8555974021.36,--,58198678471.47,1994101474.78,--,1424615733.0,4335709824.43,--,--,44476983767.48,--,13721694703.99,--,3686270895.74,903429083.59,6251224.1,--,--,--,4595951203.43,233480421.82,115607900.42,--,--,--,349088322.24,--,4246862881.19,--,--,519000272.64,9000000000.0,16028181446.62,--,--,25547181719.26,41195049185.12,2115708319.56,2954976415.63,--,--,46265733920.31,--,-20718552201.05,-55935275.88,-2805929891.75,141769343344.08,138963413452.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20211231,--,--,--,29457470684.74,5546525615.36,--,10419378616.98,23758592596.29,--,--,69181967513.37,8723894681.55,--,5777908226.14,6916943054.72,16998461951.53,--,96505384701.95,--,-27323417188.58,--,16837472031.48,5302777459.71,6699174.86,--,485643120.26,--,22632591786.31,721561104.04,670947287.37,--,--,--,1392508391.41,--,21240083394.9,--,1000000000.0,535454970.56,96879957232.98,25696342084.92,--,--,124111754288.46,50163963000.07,9008944308.61,33920159184.03,--,--,93093066492.71,--,31018687795.75,-165347546.73,24770006455.34,116999336888.74,141769343344.08,--,12054905631.21,--,289726286.67,136876987.06,48011106.81,--,--,-1943567.6,--,-218320868.32,1928148850.78,-2417834744.57,354686559.16,--,-15313321749.73,28892978216.96,--,-52454243832.98,--,-27323417188.58,--,--,--,141769343344.08,116999336888.74,--,--,--,--,24770006455.34,20220331
20210930,--,--,--,21846850329.06,2740708697.24,--,7610424637.29,27530407081.51,--,--,59728390745.1,6918093250.46,--,4330741782.68,3757542288.55,9142008415.86,--,67678912674.36,--,-7950521929.26,--,28884909078.66,4523361176.61,6374734.84,--,523899183.34,--,33938544173.45,559418336.77,428573409.51,38449621.67,--,--,1026441367.95,--,32912102805.5,--,1000000000.0,353141864.96,55671761943.8,18054959211.36,--,--,75079863020.12,27975126687.08,7714925410.85,31187720481.08,--,--,66877772579.01,--,8202090441.11,-49077745.52,33114593571.83,116999336888.74,150113930460.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,--,--,13871004880.6,4429582755.77,3326704678.1,5593488865.84,15636070574.71,--,--,42856851755.02,5427775143.01,--,3002054417.95,6580635051.56,--,--,48556391371.62,--,-5699539616.6,--,11797849729.48,3166693355.9,3294350.05,--,523899183.34,--,15491736618.77,454600000.0,275958970.51,--,--,--,730558970.51,--,14761177648.26,--,--,3508198791.43,19205788767.12,15667951262.3,--,--,38381938820.85,12184337802.68,3396340891.07,15898578374.97,--,--,31479257068.72,--,6902681752.13,-61843620.05,15902476163.74,116999336888.74,132901813052.48,--,6476893317.32,--,142034702.03,65425060.33,21927496.49,--,--,-825903.47,--,-522614192.34,865048415.31,-1472375394.29,330810449.88,--,-13728304584.7,31684338763.39,--,-29328284022.43,--,-5699539616.6,--,--,--,132901813052.48,116999336888.74,--,--,--,--,15902476163.74,20210828
20210331,--,--,--,6892466005.12,1659538571.34,7800725945.16,2477154633.95,15177979359.97,--,--,34007864515.54,2128934190.14,--,1230880268.86,2956574632.06,28044724465.98,--,37022407369.33,--,-3014542853.79,--,12284372441.5,1573154904.4,1301639.5,--,--,--,13858828985.4,260373570.55,179604806.66,--,--,--,439978377.21,--,13418850608.19,--,--,275873344.64,9700000000.0,13193627494.45,--,--,23169500839.09,3709645564.58,1640670671.2,8304498410.59,--,--,13654814646.37,--,9514686192.72,36371321.82,19955365268.94,116999336888.74,136954702157.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,--,--,22426828601.69,3250248097.58,2921842082.37,5086531906.17,23743715171.23,17443738220.22,--,74872904079.26,7011718360.25,--,4729671269.03,8901791218.16,117000000.0,--,55041325083.53,--,19831578995.73,--,1923148182.04,3716651561.81,42041623.7,--,--,--,5681841367.55,22084270720.09,3047081775.19,--,--,--,25131352495.28,--,-19449511127.73,--,853774880.0,2409559750.85,81037600000.0,34067316944.05,--,--,118368251574.9,59564604030.74,7642618463.89,30904680712.94,--,--,98111903207.57,--,20256348367.33,-332803614.5,20305612620.83,96693724267.91,116999336888.74,--,10770894611.42,--,317287739.74,144334400.62,44784124.74,--,--,-35215231.9,--,-778502380.26,1341166285.04,-1245315554.43,170817753.61,--,-34886008435.55,33061247631.3,--,10896891071.73,--,19831578995.73,--,--,--,116999336888.74,96693724267.91,--,--,--,--,20305612620.83,20210330
20200930,--,12321709927.22,--,16719154384.9,1863969160.9,989285535.72,3131836201.16,17952776503.78,12321709927.22,--,52978731713.68,5609513335.52,--,3442983854.26,8640715198.04,117000000.0,--,44963568624.75,--,8015163088.93,--,1610704761.26,3157498927.73,4837367.78,--,--,--,4773041056.77,6119348559.02,1372436153.54,--,6096681959.78,--,7491784712.56,--,-2718743655.79,--,--,6674742003.22,52500707294.5,28377069999.91,--,--,87552519297.63,55791856217.91,6749518578.27,12037750050.12,--,--,74579124846.3,--,12973394451.33,-70978101.03,18198835783.44,96693724267.91,114892560051.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201031
20200630,--,--,--,10139649385.25,2296958007.14,--,2616844891.49,22432541470.32,--,--,37485993754.2,4444167816.79,--,1981293084.61,3610477201.59,18166410973.66,--,40911207513.23,--,-3425213759.03,--,4472545506.36,2276706376.83,2852578.43,--,3659243036.9,--,6752104461.62,--,1296247157.91,--,--,--,1296247157.91,--,5455857303.71,--,--,3520766063.0,42301183022.66,5309760000.0,--,--,51131709085.66,25074117999.27,2489667843.13,8794343591.96,--,--,36358129434.36,--,14773579651.3,99980842.62,16904204038.6,96693724267.91,113597928306.51,--,6118907988.72,--,132913118.43,62427144.92,21505582.81,--,--,-710518.14,--,-1975806244.78,695500777.13,-546039104.87,227699757.55,--,-5463069185.13,3714834690.95,--,-6692814355.92,--,-3425213759.03,--,--,--,113597928306.51,96693724267.91,--,--,--,--,16904204038.6,20200829
