报告期,营业收入*,手续费及佣金净收入,代理买卖证券业务净收入,证券承销业务净收入,受托客户资产管理业务净收入,利息净收入,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,4112096184.53,3158068922.58,2456619270.18,416605872.87,151219895.37,1660665222.77,-140268667.6,51391835.6,--,-954588176.37,-3514518.63,65322967.37,326658636.46,-248202.05,3102856448.87,3102856448.87,39942226.37,2873486615.19,841826.92,267358190.5,--,--,1009239735.66,36893974.64,17283695.57,--,--,--,1028850014.73,54604554.86,--,--,--,974245459.87,18372083.77,955873376.1,748322141.95,1722567601.82,23818043.17,1698749558.65,--,0.17,0.17,20221029
20220630,2845941282.6,2050950484.7,1612653112.34,264560916.34,99833978.44,1046950402.75,-382316574.33,39351837.85,--,-99126440.85,-1046970.74,22707806.86,208113360.57,-290786.36,1915118248.53,1915118248.53,26793565.17,1781549352.15,765767.66,167238698.88,--,--,930823034.07,288389.47,16435731.75,--,--,--,914675691.79,114692351.29,--,--,--,799983340.5,2402659.91,797580680.59,212326659.62,1012310000.12,4858219.91,1007451780.21,--,0.14,0.14,20220827
20220331,843439055.6,969718612.92,833068785.55,44355882.47,52322468.03,477635356.27,55718018.92,13013588.12,--,-756528388.45,808538.99,19988507.12,76144940.27,-46530.44,835984335.79,835984335.79,13285644.88,750292147.35,209250.85,54965166.54,--,--,7454719.81,195965.23,1117899.18,--,--,--,6532785.86,-43243996.22,--,--,--,49776782.08,2932630.7,46844151.38,-34200778.37,15576003.71,2490792.89,13085210.82,--,0.01,0.01,20220430
20211231,8623165139.08,5143325989.26,3926921505.77,788453440.63,261442445.14,1589463439.61,1009491901.9,98971615.21,--,446763918.57,515955.55,63912795.68,369235926.07,455212.44,5445970907.15,5445970907.15,61976480.35,4962601090.88,7083754.98,309797325.07,--,--,3177194231.93,16529462.22,6569192.34,--,--,--,3187154501.81,772267416.82,--,--,--,2414887084.99,5347611.08,2409539473.91,284382804.2,2699269889.19,1742149.47,2697527739.72,--,0.44,0.42,20220430
20210930,6648061923.24,3889735938.38,2960573521.3,635440778.37,187438075.59,1152479033.06,1357277905.94,119619309.72,--,-117386304.6,-36637.12,59302053.71,306243262.43,446671.44,3735313380.6,3735313380.6,45756585.73,3470663207.28,798206.12,254288027.1,--,--,2912748542.64,4567956.83,3391366.41,--,--,--,2913925133.06,709058872.66,--,--,--,2204866260.4,5669221.27,2199197039.13,65337767.38,2270204027.78,3882729.74,2266321298.04,--,0.4,0.37,20211030
20210630,4264355556.07,2455613764.33,1742921261.23,514980551.23,130279676.46,706012284.44,896786715.34,42290612.77,--,-23199422.61,-567770.52,56224397.8,173111216.74,374370.55,2375158975.52,2375158975.52,31219962.37,2219488693.84,492551.97,140999808.47,--,--,1889196580.55,4386744.47,1954886.86,--,--,--,1891628438.16,464128513.44,--,--,--,1427499924.72,3080329.77,1424419594.95,35274565.26,1462774489.98,1094283.01,1461680206.97,--,0.26,0.24,20210828
20210331,1966019980.38,1265614942.64,925085262.36,244679068.5,66822919.65,333976450.38,615121344.09,21185324.75,--,-323292529.98,379174.08,9555245.99,64380913.44,284439.74,1032508164.73,1032508164.73,16285718.61,1005647930.99,132096.81,51316497.5,--,--,933511815.65,4459451.98,1112093.11,--,--,--,936859174.52,236533510.05,--,--,--,700325664.47,-1099219.67,701424884.14,-69404131.87,630921532.6,-342701.19,631264233.79,--,0.13,0.12,20210430
20201231,7784121537.42,4342318916.17,3050014707.22,794003363.46,331641118.73,1280650855.34,1854268258.46,70731318.81,--,135085400.66,-1784363.36,66608373.22,106328112.94,645983.99,4940352950.12,4940352950.12,57195086.19,4333763121.98,6018300.0,80224736.98,--,--,2843768587.3,10134334.95,24361980.54,--,--,--,2829540941.71,743272493.65,--,--,--,2086268448.06,891029.81,2085377418.25,-148348831.46,1937919616.6,-10793588.83,1948713205.43,--,0.38,0.36,20210430
20200930,5901213766.08,3225396941.26,2320780769.18,563226525.18,241759107.45,890707090.8,1684398378.85,53620439.41,--,-23941999.33,-705879.0,54918538.16,69793196.37,647498.97,3290193413.58,3290193413.58,43043146.01,2999674274.89,--,53897892.74,--,--,2611020352.5,8890910.38,17427166.27,--,--,--,2602484096.61,670160321.75,--,--,--,1932323774.86,650529.09,1931673245.77,-129155605.26,1803168169.6,-3031633.9,1806199803.5,--,0.35,0.33,20201031
20200630,3328954295.56,1812610945.38,1317155251.78,262905917.92,165360010.81,559724534.8,799596533.9,34987862.15,--,44756293.67,398458.12,49624038.1,61588732.29,654759.3,2040992091.42,2040992091.42,25251463.18,1848591154.43,--,52585351.57,--,--,1287962204.14,7062305.56,15927576.77,--,--,--,1279096932.93,342448773.46,--,--,--,936648159.47,-4977260.35,941625419.82,-81727845.68,854920313.79,-1165595.73,856085909.52,--,0.17,0.17,20200829
20200331,1366108706.47,954166436.25,730671324.82,111233676.65,85367489.13,276593110.98,524893350.4,18685969.32,--,-400159364.95,397517.56,5640527.14,3923890.08,653239.01,777579689.63,777579689.63,14270986.67,756336285.0,--,--,--,--,588529016.84,6443093.41,13739613.64,--,--,--,581232496.61,155905152.72,--,--,--,425327343.89,-986644.49,426313988.38,-17405397.43,407921946.46,2881137.5,405040808.96,--,0.08,0.08,20200430
20191231,7032892044.09,3337604131.88,1941156535.95,861451381.21,410327492.07,791170725.74,2020101869.6,77447586.77,--,731982777.8,-1262825.29,56323135.87,96790324.8,181903.69,4713666427.8,4713666427.8,43796554.45,4044075677.0,6544135.43,87215822.01,--,--,2319225616.29,45674314.18,25242813.56,--,--,--,2339657116.91,756949192.54,--,--,--,1582707924.37,-83092047.21,1665799971.58,116839807.76,1699547732.13,-80094361.59,1779642093.72,--,0.3,0.3,20200429
20190930,5218241623.62,2386656822.41,1513738111.5,519796882.18,269235523.35,555080328.83,1465368625.07,45233058.98,--,706080497.94,-548316.09,12768099.76,92691470.01,144095.69,3340251635.87,3340251635.87,33266380.81,3068812211.61,401735.43,87191239.8,--,--,1877989987.75,19739657.2,20111858.87,--,--,--,1877617786.08,459261856.91,--,--,--,1418355929.17,-44353540.17,1462709469.34,136850060.06,1555205989.23,-39070196.8,1594276186.03,--,0.26,0.26,20191026
20190630,3728303476.93,1682526798.26,1038849732.97,395802689.07,191563832.85,353846185.15,1152968135.78,27169298.39,--,450787010.33,233673.72,9980582.91,77909880.13,51210.65,2309377889.81,2309377889.81,23454155.93,2216421961.16,401735.43,74059941.23,--,--,1418925587.12,15039855.6,19636682.22,--,--,--,1414328760.5,348145038.61,--,--,--,1066183721.89,-20554810.83,1086738532.72,131362539.62,1197546261.51,-19594058.3,1217140319.81,--,0.2,0.19,20190830
20190331,2419243689.78,873154125.81,521398348.88,234840560.38,99699018.4,156943980.27,535650225.97,17685250.57,--,817040044.98,-729772.15,1297405.82,35879663.74,8015.34,1405335879.05,1405335879.05,11989279.46,1452642377.06,-71122.66,34086626.3,--,--,1013907810.73,9468225.81,18448146.98,--,--,--,1004927889.56,249450127.41,--,--,--,755477762.15,-9719490.2,765197252.35,126910709.21,882388471.36,-14741077.75,897129549.11,--,0.14,0.13,20190427
20181231,4369208710.77,2720300911.85,1589253860.42,551450872.75,466528508.04,472755273.32,1857054909.29,38272496.86,--,-918775029.72,2918777.74,32783092.59,202053359.82,117415.88,4137920645.75,4137920645.75,39232646.65,3587967694.73,--,198236746.09,--,--,231288065.02,34651735.48,17754282.92,--,--,--,248185517.58,21215727.51,--,--,--,226969790.07,-30232168.62,257201958.69,-318431025.71,-91461235.64,-18863944.97,-72597290.67,--,0.05,0.05,20190420
