报告期,经营活动产生的现金流量*,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,支付手续费的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,197699000000.0,--,--,52837000000.0,25801000000.0,19158000000.0,--,301074000000.0,159252000000.0,6114000000.0,10845000000.0,19595000000.0,2698000000.0,21176000000.0,20092000000.0,22815000000.0,--,262587000000.0,--,-76171000000.0,--,746027000000.0,19542000000.0,3000000.0,--,--,--,765572000000.0,840280000000.0,1463000000.0,--,--,841743000000.0,--,--,--,--,--,434760000000.0,--,--,--,434760000000.0,384420000000.0,10024000000.0,--,581000000.0,--,395025000000.0,--,39735000000.0,1700000000.0,3751000000.0,44156000000.0,47907000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221028
20220630,--,209976000000.0,9239000000.0,--,35491000000.0,12852000000.0,27042000000.0,--,299150000000.0,124353000000.0,7299000000.0,8275000000.0,12752000000.0,2355000000.0,9302000000.0,12848000000.0,18789000000.0,--,195973000000.0,--,-90477000000.0,--,420988000000.0,11775000000.0,4000000.0,--,--,--,432767000000.0,522560000000.0,684000000.0,--,--,523244000000.0,--,--,--,--,--,264400000000.0,--,--,--,264400000000.0,273160000000.0,3591000000.0,--,393000000.0,--,277144000000.0,--,-12744000000.0,772000000.0,728000000.0,44156000000.0,44884000000.0,--,11279000000.0,--,385000000.0,99000000.0,--,133000000.0,--,--,--,-1863000000.0,--,-12495000000.0,-57000000.0,--,--,-122858000000.0,216024000000.0,--,12530000000.0,--,103177000000.0,--,--,--,--,--,--,--,--,--,--,20220827
20220331,--,265342000000.0,9611000000.0,--,17786000000.0,16982000000.0,9646000000.0,--,321532000000.0,68605000000.0,5298000000.0,5917000000.0,6574000000.0,821000000.0,6782000000.0,6029000000.0,70449000000.0,--,170475000000.0,--,-50494000000.0,--,153483000000.0,3928000000.0,--,--,--,--,157411000000.0,207590000000.0,315000000.0,--,--,207905000000.0,--,--,--,--,--,136780000000.0,--,--,--,136780000000.0,158450000000.0,1621000000.0,--,160000000.0,--,160231000000.0,--,-23451000000.0,-59000000.0,77053000000.0,44156000000.0,121209000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220427
20211231,--,114407000000.0,--,--,71534000000.0,--,62645000000.0,--,253522000000.0,173922000000.0,808000000.0,11306000000.0,20061000000.0,6579000000.0,8313000000.0,27570000000.0,49512000000.0,--,298071000000.0,--,-141607000000.0,--,1097172000000.0,15292000000.0,65000000.0,--,--,--,1112529000000.0,1251553000000.0,2583000000.0,--,--,1254136000000.0,--,--,--,11889000000.0,--,617980000000.0,--,--,--,629869000000.0,424995000000.0,9720000000.0,963000000.0,--,--,435678000000.0,--,194191000000.0,-326000000.0,7709000000.0,36447000000.0,44156000000.0,--,19609000000.0,23000000.0,718000000.0,246000000.0,--,384000000.0,--,-7000000.0,--,105000000.0,--,--,-1044000000.0,--,--,-234694000000.0,171422000000.0,--,-1311000000.0,--,-44549000000.0,--,--,--,--,--,--,--,--,--,--,20220408
20210930,--,119118000000.0,--,--,46350000000.0,--,37752000000.0,--,211863000000.0,149522000000.0,2390000000.0,9147000000.0,21672000000.0,3827000000.0,9557000000.0,18966000000.0,21181000000.0,--,236262000000.0,--,-92210000000.0,--,905019000000.0,12480000000.0,51000000.0,--,--,--,917550000000.0,1008451000000.0,1309000000.0,--,--,1009760000000.0,--,--,--,--,--,421892000000.0,--,--,--,421892000000.0,294888000000.0,9640000000.0,--,--,--,304528000000.0,--,117364000000.0,-162000000.0,593000000.0,36447000000.0,37040000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,96769000000.0,--,--,29700000000.0,5486000000.0,30252000000.0,--,169394000000.0,108266000000.0,4739000000.0,6960000000.0,845000000.0,1759000000.0,10671000000.0,12508000000.0,17314000000.0,--,163062000000.0,--,-69772000000.0,--,668869000000.0,7432000000.0,49000000.0,--,--,--,676350000000.0,745225000000.0,897000000.0,--,--,746122000000.0,--,--,--,--,--,260223000000.0,--,--,--,260223000000.0,195211000000.0,4122000000.0,--,--,--,199333000000.0,--,60890000000.0,-139000000.0,-2689000000.0,36447000000.0,33758000000.0,--,9559000000.0,17000000.0,348000000.0,145000000.0,--,129000000.0,--,-5000000.0,--,-725000000.0,--,-10460000000.0,-892000000.0,--,--,-132193000000.0,130436000000.0,--,9973000000.0,--,6332000000.0,--,--,--,--,--,--,--,--,--,--,20210814
20210331,--,75729000000.0,--,--,14616000000.0,--,22966000000.0,--,117561000000.0,48930000000.0,154000000.0,4968000000.0,12502000000.0,354000000.0,8716000000.0,6482000000.0,27597000000.0,--,109703000000.0,--,-16650000000.0,--,337082000000.0,2707000000.0,72000000.0,--,--,--,339861000000.0,356174000000.0,337000000.0,--,--,356511000000.0,--,--,--,--,--,101330000000.0,--,--,--,101330000000.0,98801000000.0,1772000000.0,--,--,--,100573000000.0,--,757000000.0,14000000.0,-8021000000.0,36447000000.0,28426000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210424
20201231,--,222695000000.0,53203000000.0,--,54545000000.0,33299000000.0,--,--,367240000000.0,156552000000.0,3248000000.0,10023000000.0,--,5658000000.0,8071000000.0,23518000000.0,99399000000.0,--,306469000000.0,--,-38136000000.0,--,2030308000000.0,19827000000.0,81000000.0,--,--,--,2050216000000.0,2086532000000.0,1820000000.0,--,--,2088352000000.0,--,--,--,7998000000.0,--,315931000000.0,--,--,--,323929000000.0,344060000000.0,7735000000.0,--,--,--,351795000000.0,--,-27866000000.0,-374000000.0,-5605000000.0,42052000000.0,36447000000.0,--,15136000000.0,8667000000.0,640000000.0,138000000.0,--,632000000.0,--,-72000000.0,--,1303000000.0,--,-19194000000.0,-2161000000.0,--,--,-233610000000.0,282987000000.0,--,-4222000000.0,--,60771000000.0,--,--,--,--,--,--,--,--,--,--,20210410
20200930,--,196168000000.0,8339000000.0,--,39255000000.0,6329000000.0,--,--,252378000000.0,127275000000.0,6491000000.0,8124000000.0,--,3075000000.0,9716000000.0,16916000000.0,42946000000.0,--,214543000000.0,--,-43216000000.0,--,951133000000.0,11284000000.0,20000.0,--,--,--,962417000000.0,1004558000000.0,1075000000.0,--,--,1005633000000.0,--,--,--,7998000000.0,--,203220000000.0,--,--,--,211218000000.0,209880000000.0,7258000000.0,--,--,--,217138000000.0,--,-5920000000.0,-182000000.0,-11483000000.0,42052000000.0,30569000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201029
20200630,--,173669000000.0,1050000000.0,--,26041000000.0,15753000000.0,18539000000.0,--,238913000000.0,97909000000.0,9475000000.0,6208000000.0,3577000000.0,2826000000.0,9113000000.0,10927000000.0,--,--,140035000000.0,--,-65481000000.0,--,487629000000.0,7143000000.0,47000000.0,--,--,--,494819000000.0,559728000000.0,572000000.0,--,--,560300000000.0,--,--,--,7998000000.0,--,111180000000.0,--,--,--,119178000000.0,155690000000.0,2898000000.0,--,--,--,158588000000.0,--,-39410000000.0,89000000.0,-5924000000.0,42052000000.0,36128000000.0,--,7894000000.0,4651000000.0,292000000.0,54000000.0,--,91000000.0,--,-1000000.0,--,-1119000000.0,--,-9828000000.0,-236000000.0,--,--,-99109000000.0,193080000000.0,--,3109000000.0,--,98878000000.0,--,--,--,--,--,--,--,--,--,--,20200829
