报告期,经营活动产生的现金流量*,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,支付手续费的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,-12277000000.0,--,--,17346000000.0,12949000000.0,-7884000000.0,--,1924000000.0,34899000000.0,-1185000000.0,2570000000.0,6843000000.0,343000000.0,11874000000.0,7244000000.0,4026000000.0,--,66614000000.0,--,14306000000.0,--,325039000000.0,7767000000.0,-1000000.0,--,--,--,332805000000.0,317720000000.0,779000000.0,--,--,318499000000.0,--,--,--,--,--,170360000000.0,--,--,--,170360000000.0,111260000000.0,6433000000.0,--,188000000.0,--,117881000000.0,--,52479000000.0,928000000.0,3023000000.0,0.0,3023000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221028
20220630,--,-55366000000.0,-372000000.0,--,17705000000.0,-4130000000.0,17396000000.0,--,-22382000000.0,55748000000.0,2001000000.0,2358000000.0,6178000000.0,1534000000.0,2520000000.0,6819000000.0,-51660000000.0,--,25498000000.0,--,-39983000000.0,--,267505000000.0,7847000000.0,--,--,--,--,275356000000.0,314970000000.0,369000000.0,--,--,315339000000.0,--,--,--,--,--,127620000000.0,--,--,--,127620000000.0,114710000000.0,1970000000.0,--,233000000.0,--,116913000000.0,--,10707000000.0,831000000.0,-76325000000.0,0.0,-76325000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220827
20220331,--,265342000000.0,9611000000.0,--,17786000000.0,16982000000.0,9646000000.0,--,321532000000.0,68605000000.0,5298000000.0,5917000000.0,6574000000.0,821000000.0,6782000000.0,6029000000.0,70449000000.0,--,170475000000.0,--,-50494000000.0,--,153483000000.0,3928000000.0,--,--,--,--,157411000000.0,207590000000.0,315000000.0,--,--,207905000000.0,--,--,--,--,--,136780000000.0,--,--,--,136780000000.0,158450000000.0,1621000000.0,--,160000000.0,--,160231000000.0,--,-23451000000.0,-59000000.0,77053000000.0,44156000000.0,121209000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220427
20211231,--,-4711000000.0,--,--,25184000000.0,--,24893000000.0,--,41659000000.0,24400000000.0,-1582000000.0,2159000000.0,-1611000000.0,2752000000.0,-1244000000.0,8604000000.0,28331000000.0,--,61809000000.0,--,-49397000000.0,--,192153000000.0,2812000000.0,14000000.0,--,--,--,194979000000.0,243102000000.0,1274000000.0,--,--,244376000000.0,--,--,--,--,--,196088000000.0,--,--,--,207977000000.0,130107000000.0,80000000.0,--,--,--,131150000000.0,--,76827000000.0,-164000000.0,7116000000.0,0.0,7116000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220408
20210930,--,22349000000.0,--,--,16650000000.0,--,7500000000.0,--,42469000000.0,41256000000.0,-2349000000.0,2187000000.0,20827000000.0,2068000000.0,-1114000000.0,6458000000.0,3867000000.0,--,73200000000.0,--,-22438000000.0,--,236150000000.0,5048000000.0,2000000.0,--,--,--,241200000000.0,263226000000.0,412000000.0,--,--,263638000000.0,--,--,--,--,--,161669000000.0,--,--,--,161669000000.0,99677000000.0,5518000000.0,--,--,--,105195000000.0,--,56474000000.0,-23000000.0,3282000000.0,0.0,3282000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,21040000000.0,--,--,15084000000.0,--,7286000000.0,--,51833000000.0,59336000000.0,4585000000.0,1992000000.0,-11657000000.0,1405000000.0,1955000000.0,6026000000.0,-10283000000.0,--,53359000000.0,--,-53122000000.0,--,331787000000.0,4725000000.0,-23000000.0,--,--,--,336489000000.0,389051000000.0,560000000.0,--,--,389611000000.0,--,--,--,--,--,158893000000.0,--,--,--,158893000000.0,96410000000.0,2350000000.0,--,--,--,98760000000.0,--,60133000000.0,-153000000.0,5332000000.0,0.0,5332000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210814
20210331,--,75729000000.0,--,--,14616000000.0,--,22966000000.0,--,117561000000.0,48930000000.0,154000000.0,4968000000.0,12502000000.0,354000000.0,8716000000.0,6482000000.0,27597000000.0,--,109703000000.0,--,-16650000000.0,--,337082000000.0,2707000000.0,72000000.0,--,--,--,339861000000.0,356174000000.0,337000000.0,--,--,356511000000.0,--,--,--,--,--,101330000000.0,--,--,--,101330000000.0,98801000000.0,1772000000.0,--,--,--,100573000000.0,--,757000000.0,14000000.0,-8021000000.0,36447000000.0,28426000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210424
20201231,--,26527000000.0,44864000000.0,--,15290000000.0,26970000000.0,--,--,114862000000.0,29277000000.0,-3243000000.0,1899000000.0,--,2583000000.0,-1645000000.0,6602000000.0,56453000000.0,--,91926000000.0,--,5080000000.0,--,1079175000000.0,8543000000.0,80980000.0,--,--,--,1087799000000.0,1081974000000.0,745000000.0,--,--,1082719000000.0,--,--,--,0.0,--,112711000000.0,--,--,--,112711000000.0,134180000000.0,477000000.0,--,--,--,134657000000.0,--,-21946000000.0,-192000000.0,5878000000.0,0.0,5878000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210410
20200930,--,22499000000.0,7289000000.0,--,13214000000.0,-9424000000.0,--,--,13465000000.0,29366000000.0,-2984000000.0,1916000000.0,--,249000000.0,603000000.0,5989000000.0,--,--,74508000000.0,--,22265000000.0,--,463504000000.0,4141000000.0,-46980000.0,--,--,--,467598000000.0,444830000000.0,503000000.0,--,--,445333000000.0,--,--,--,0.0,--,92040000000.0,--,--,--,92040000000.0,54190000000.0,4360000000.0,--,--,--,58550000000.0,--,33490000000.0,-271000000.0,-5559000000.0,0.0,-5559000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201029
20200630,--,-415000000.0,-9350000000.0,--,13225000000.0,15378000000.0,--,--,40071000000.0,41911000000.0,-2469000000.0,1636000000.0,--,2340000000.0,2165000000.0,5823000000.0,--,--,736000000.0,--,-57695000000.0,--,245333000000.0,3429000000.0,46726000.0,--,--,--,248809000000.0,306132000000.0,372000000.0,--,--,306504000000.0,--,--,--,--,--,50840000000.0,--,--,--,58838000000.0,51630000000.0,1511000000.0,--,--,--,53141000000.0,--,5697000000.0,-405000000.0,-13068000000.0,0.0,-13068000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200829
20200331,--,174084000000.0,10400000000.0,--,12816000000.0,375000000.0,--,--,198842000000.0,55998000000.0,11944000000.0,4572000000.0,--,486000000.0,6948000000.0,5104000000.0,54247000000.0,--,139299000000.0,--,-7786000000.0,--,242296000000.0,3714000000.0,274000.0,--,--,--,246010000000.0,253596000000.0,200000000.0,--,--,253796000000.0,--,--,--,--,--,60340000000.0,--,--,--,60340000000.0,104060000000.0,1387000000.0,--,--,--,105447000000.0,--,-45107000000.0,494000000.0,7144000000.0,42052000000.0,49196000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200425
