报告期,经营活动产生的现金流量*,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入（金融类）,保户储金净增加额,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,收到原保险合同保费取得的现金,收到再保业务现金净额,处置交易性金融资产净增加额,拆入资金净增加额,回购业务资金净增加额,经营活动现金流入差额（特殊报表项目）,经营活动现金流入差额（合计平衡项目）,经营活动现金流入小计*,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出（金融类）,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付原保险合同赔付款项的现金,支付手续费的现金,支付保单红利的现金,经营活动现金流出差额（特殊报表科目）,经营活动现金流出差额（合计平衡项目）,经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目)）,经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额（特殊报表科目）,投资活动现金流入差额（合计平衡项目）,投资活动现金流入小计*,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出差额（特殊报表科目）,投资活动现金流出差额（合计平衡项目）,投资活动现金流出小计*,投资活动产生的现金流量净额差额（合计平衡项目）,投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,发行债券收到的现金,筹资活动现金流入差额（特殊报表科目）,筹资活动现金流入差额（合计平衡项目）,筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出差额（特殊报表科目）,筹资活动现金流出差额（合计平衡项目）,筹资活动现金流出小计*,筹资活动产生的现金流量净额差额（合计平衡项目）,筹资活动产生的现金流量净额*,汇率变动对现金的影响*,直接法-现金及现金等价物净增加额差值（特殊报表科目）,直接法-现金及现金等价物净增加额差值（合计平衡项目）,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,未确认投资损失,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),公告日期#
20220930,--,550148437.79,24627437.62,24165648.51,0.0,--,--,--,--,--,--,--,--,--,--,--,--,598941523.92,611686053.43,154792977.03,28458903.7,33520381.59,0.0,--,--,--,--,--,--,--,828458315.75,--,-229516791.83,--,0.0,--,--,--,451440.0,--,--,643890.0,16830827.17,--,--,--,--,--,16830827.17,--,-16186937.17,--,21328170.0,--,300000000.0,--,--,--,--,321328170.0,73979046.04,15850598.39,--,3881916.1,--,--,93711560.53,--,227616609.47,812331.1,--,--,-17274788.43,0.0,-17274788.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221025
20220630,--,548651181.9,20030708.14,117596069.76,0.0,--,--,--,--,--,--,--,--,--,--,--,--,686277959.8,579017734.75,144472343.26,27868692.47,60399893.58,0.0,--,--,--,--,--,--,--,811758664.06,--,-125480704.26,--,0.0,--,--,--,451440.0,--,--,451440.0,7406546.02,--,--,--,--,--,7406546.02,--,-6955106.02,--,0.0,--,885000000.0,--,--,--,--,885000000.0,850000000.0,56060137.54,--,2303711.23,--,--,908363848.77,--,-23363848.77,902894.99,--,--,-154896764.06,0.0,-154896764.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220830
20220331,--,615887233.85,11860788.47,28505090.76,0.0,--,--,--,--,--,--,--,--,--,--,--,--,656253113.08,679327032.83,216933223.22,28257576.58,105627539.14,0.0,--,--,--,--,--,--,--,1030145371.77,--,-373892258.69,--,2081.5,--,--,--,155701440.0,--,--,155703521.5,24921028.14,--,--,--,--,--,24921028.14,--,130782493.36,--,1500000.0,--,400000000.0,--,--,--,--,401500000.0,400000000.0,9958055.55,--,879847.8,--,--,410837903.35,--,-9337903.35,215086.84,--,--,-252232581.84,1131408992.47,879176410.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220426
20211231,--,1102014005.74,-3052749.87,66915196.2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1165876452.07,860878415.34,133185782.7,35773464.16,-4256974.0,0.0,--,--,--,--,--,--,--,1025580688.2,--,140295763.87,--,1268597.41,10059087.33,607081.0,--,--,--,--,472986895.74,12968795.44,0.0,--,--,--,--,666372714.85,--,-193385819.11,--,777100.0,--,101612597.48,--,--,--,--,102389697.48,-66712200.0,12483897.53,--,9364368.11,--,--,-44863934.36,--,147253631.84,-1493236.64,--,--,92670339.96,0.0,92670339.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220426
20210930,--,885101823.39,16327571.0,50147846.78,0.0,--,--,--,--,--,--,--,--,--,--,--,--,951577241.17,889350624.54,147132758.52,50046209.89,68370621.87,0.0,--,--,--,--,--,--,--,1154900214.82,--,-203322973.65,--,20779.89,6013957.67,37400.0,--,--,--,--,6072137.56,23754492.98,0.0,--,--,--,--,23754492.98,--,-17682355.42,--,1500000.0,--,357313975.59,--,--,--,--,358813975.59,160000000.0,39790768.49,--,1621831.75,--,--,201412600.24,--,157401375.35,-213687.93,--,--,-63817641.65,0.0,-63817641.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211030
20210630,--,917862586.64,27262329.76,7727435.36,0.0,--,--,--,--,--,--,--,--,--,--,--,--,952852351.76,410379163.31,128913454.79,61860027.68,106310796.48,0.0,--,--,--,--,--,--,--,707463442.26,--,245388909.5,--,10000000.0,390000.0,24794.49,--,--,--,--,10414794.49,17460220.91,-10000.0,--,--,--,--,17450220.91,--,-7035426.42,--,--,--,456772163.69,--,--,--,--,478340363.69,710000000.0,8635208.36,--,0.0,--,--,718635208.36,--,-240294844.67,-389034.47,--,--,-2330396.06,0.0,-2330396.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210824
20210331,--,692296294.11,15853133.85,45936266.81,0.0,--,--,--,--,--,--,--,--,--,--,--,--,754085694.77,518566899.42,176815495.32,28771581.14,45795160.92,0.0,--,--,--,--,--,--,--,769949136.8,--,-15863442.03,--,230000000.0,3871917.8,550.0,--,--,--,--,233872467.8,34966011.09,10001.0,--,--,--,--,34976012.09,--,198896455.71,--,--,--,373280309.28,--,--,--,--,373280309.28,575196200.0,8647222.25,--,6062806.02,--,--,589906228.27,--,-216625918.99,-158386.57,--,--,-33751291.88,1138637982.1,1104886690.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,887140773.28,6777674.68,-20852654.82,0.0,--,--,--,--,--,--,--,--,--,--,--,--,873065793.14,462252370.25,139890360.83,67507229.9,-27472894.45,0.0,--,--,--,--,--,--,--,642177066.53,--,230888726.61,--,150797223.92,9540105.56,197502.04,--,--,--,--,161263831.52,36399485.78,60000000.0,--,--,--,--,96359424.36,--,64904407.16,--,--,--,0.0,--,--,--,--,-254408972.22,0.0,15219469.03,--,--,--,--,37156097.49,--,-291565069.71,1867910.56,--,--,6095974.62,0.0,6095974.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20200930,--,830340418.9,15762313.07,42665553.73,0.0,--,--,--,--,--,--,--,--,--,--,--,--,888768285.7,670823367.83,135918478.36,51318184.13,75980525.31,0.0,--,--,--,--,--,--,--,934040555.63,--,-45272269.93,--,864000000.0,4489724.22,58213.0,--,--,--,--,868547937.22,38517290.24,330000000.0,--,--,--,--,368557351.66,--,499990585.56,--,--,--,300000000.0,0.0,--,--,--,300000000.0,108200000.0,10808816.04,--,--,--,--,119008816.04,--,180991183.96,-2029993.45,--,--,633679506.14,0.0,633679506.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201027
20200630,--,711257862.74,14256748.77,53338587.81,0.0,--,--,--,--,--,--,--,--,--,--,--,--,778853199.32,436928669.36,107393300.43,51004623.53,56595502.69,0.0,--,--,--,--,--,--,--,651922096.01,--,126931103.31,--,875000000.0,11445744.3,--,--,--,--,--,886798855.3,28526401.21,844000000.0,--,--,--,--,872526401.21,--,14272454.09,--,--,--,370000000.0,158184111.11,--,--,--,528184111.11,710900000.0,27325275.7,--,--,--,--,738225275.7,--,-210041164.59,-16660.75,--,--,-68854267.94,0.0,-68854267.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200827
