报告期,流动资产*,货币资金,交易性金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收账款融资,预付款项,其他应收款（合计）,应收股利,应收利息,其他应收款,买入返售金融资产,存货,其中：消耗性生物资产,合同资产,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,其他流动资产,其他金融类流动资产,结算备付金,拆出资金,应收保费,应收分保账款,应收分保合同准备金,流动资产差额（特殊报表科目）,流动资产差额（合计平衡项目）,流动资产总计*,非流动资产*,发放贷款及垫款,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,债权投资,其他债权投资,可供出售金融资产,其他权益工具投资,持有至到期投资,其他非流动金融资产,长期应收款,长期股权投资,投资性房地产,固定资产（合计）,固定资产,固定资产清理,在建工程（合计）,在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动性资产,非流动性资产差额（特殊报表科目）,非流动性资产差额（合计平衡项目）,非流动资产合计*,资产差额（特殊报表科目）,资产差额（合计平衡项目）,资产总计*,流动负债*,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付款项,预收款项,合同负债,应付手续费及佣金,应付职工薪酬,应交税费,其他应付款（合计）,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,预提费用,递延收益-流动负债,应付短期债券,其他流动负债,其他金融类流动负债,向中央银行借款,吸收存款及同业存放,拆入资金,卖出回购金融资产款,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,流动负债差额（特殊报表科目）,流动负债差额（合计平衡项目）,流动负债合计*,非流动负债*,长期借款,应付债券,长期应付款（合计）,长期应付款,专项应付款,长期应付职工薪酬,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债差额（特殊报表科目）,非流动负债差额（合计平衡项目）,非流动负债合计*,负债差额（特殊报表科目）,负债差额（合计平衡项目）,负债合计*,所得者权益(或股东权益)*,实收资本（或股本）,其他权益工具,其中：优先股,永续债,资本公积金,减：库存股,其他综合收益,专项储备,盈余公积金,一般风险准备,未分配利润,外币报表折算差额,未确认的投资损失,股东权益差额（特殊报表科目）,股权权益差额（合计平衡项目）,归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额（特殊报表项目）,负债及股东权益差额（合计平衡项目）,负债及股东权益总计,公告日期#
20220930,--,48117809.71,91928843.03,0.0,252292482.3,6814350.07,245478132.23,9488655.96,26066368.9,41592747.78,--,--,--,--,94619792.51,--,36374462.2,--,0.0,--,7289586.37,0.0,--,--,--,--,--,--,--,607770748.76,--,--,--,--,--,--,--,1390600.0,--,24886506.0,1799972.34,0.0,51221924.44,179911276.35,179911276.35,--,142247955.85,142247955.85,--,0.0,0.0,26082946.9,0.0,15969185.95,205519.44,21212940.27,252200.0,--,--,467992236.66,--,--,1075762985.42,--,104212162.29,--,0.0,57647373.67,0.0,--,448751.36,19126029.82,--,5136982.79,3738306.48,18416483.24,--,--,--,--,28043238.27,--,--,--,2122424.12,0.0,--,--,--,--,--,--,--,--,--,--,238891752.04,--,48439150.0,0.0,0.0,--,--,0.0,5940820.38,13293.93,2398050.04,0.0,--,--,57415254.8,--,--,296307006.84,--,300199484.0,0.0,0.0,--,815850015.85,0.0,-7905561.0,0.0,39135170.34,--,-375610338.11,--,--,--,--,771668771.08,7787207.5,779455978.58,--,--,1075762985.42,20221031
20220630,--,69131976.42,63226001.17,--,291782175.34,582000.0,291200175.34,8468824.01,43060714.27,39936948.44,--,--,39936948.44,--,105147304.46,--,33979211.52,--,--,--,11802956.37,0.0,--,--,--,--,--,--,--,666536112.0,--,--,--,--,--,--,--,940700.0,--,23886506.0,1799972.34,--,52223218.39,180254834.06,180254834.06,--,133616936.24,133616936.24,--,--,--,25274989.35,--,15969185.95,287452.86,21452523.29,252200.0,--,--,459993803.97,--,--,1126529915.97,--,116707008.96,--,--,98933533.19,1000000.0,--,750404.49,17655035.65,--,4485394.08,7082365.1,15115074.64,--,--,15115074.64,--,30021854.32,--,--,--,1947918.39,0.0,--,--,--,--,--,--,--,--,--,--,292698588.82,--,46130150.0,--,--,--,--,--,5522134.98,11212.3,2478056.83,--,--,--,55130782.44,--,--,347829371.26,--,300199484.0,--,--,--,815850015.85,--,-8287976.0,--,39135170.34,--,-376212095.09,--,--,--,--,770684599.1,8015945.61,778700544.71,--,--,1126529915.97,20220810
20220331,--,86285944.48,60225862.17,--,249986122.9,--,249986122.9,16196246.97,32434611.98,42597556.82,--,--,--,--,109892422.78,--,32328563.15,--,--,--,9941687.08,0.0,--,--,--,--,--,--,--,639889018.33,--,--,--,--,--,--,--,1922300.0,--,23886506.0,2017030.65,--,53224512.34,182759963.71,182759963.71,--,106478056.31,106478056.31,--,--,--,25467031.8,--,15969185.95,354103.26,21523034.21,898175.0,--,--,440010982.93,--,--,1079900001.26,--,99547008.96,--,--,77955215.31,3000000.0,--,--,18426274.09,--,4890898.55,2308886.76,11467779.27,--,--,--,--,32765263.17,--,--,--,2092642.38,0.0,--,--,--,--,--,--,--,--,--,--,249453968.49,--,39390000.0,--,--,--,--,--,4996834.63,12253.11,2558063.62,--,--,--,48972559.07,--,--,298426527.56,--,300199484.0,--,--,--,815852392.08,--,-7453616.0,--,39135170.34,--,-374409107.62,--,--,--,--,773324322.8,8149150.9,781473473.7,--,--,1079900001.26,20220420
20211231,--,113906011.37,89817790.17,--,260551121.3,3453995.4,257097125.9,32579929.59,14344710.38,35731641.41,--,--,35731641.41,--,97011290.47,--,31441166.48,--,--,--,8820252.03,0.0,--,--,--,--,--,--,--,684203913.2,--,--,--,--,--,--,--,2004100.0,--,23886506.0,2033490.57,--,54225806.29,186692356.27,186692356.27,--,79715244.57,79715244.57,--,--,--,25659074.25,--,15969185.95,436036.68,20838477.14,956270.0,--,--,418883809.48,--,--,1103087722.68,--,82054544.28,--,--,104584350.71,15740000.0,--,877737.52,13725048.97,--,11802061.1,11152102.8,19638270.76,--,--,19638270.76,--,34058628.82,--,--,--,1570361.44,0.0,--,--,--,--,--,--,--,--,--,--,279463106.4,--,28190000.0,--,--,--,--,--,5219222.4,14746.56,2638070.41,--,--,--,39129127.45,--,--,318592233.85,--,300199484.0,--,--,--,815850015.85,--,-7384086.0,--,39135170.34,--,-371679680.97,--,--,--,--,776120903.22,8374585.61,784495488.83,--,--,1103087722.68,20220412
20210930,--,138199768.71,25860000.0,--,237227731.27,--,237227731.27,48894226.39,61221761.7,32900805.77,--,--,--,--,100719320.22,--,25384629.61,--,--,--,12557560.1,0.0,--,--,--,--,--,--,--,682965803.77,--,--,--,--,--,--,--,3599200.0,--,43886506.0,2224198.06,0.0,55227100.23,180364906.96,180364906.96,--,70526154.45,70526154.45,--,--,--,25870539.01,--,15969185.95,1768995.57,19544936.6,--,--,--,426466344.95,--,--,1109432148.72,--,81258336.04,--,--,99201691.24,21858000.0,--,--,23334048.23,--,4625054.2,2811718.5,26706303.9,--,--,--,--,4419518.29,--,--,--,2543196.05,0.0,--,--,--,--,--,--,--,--,--,--,244899866.45,--,57830000.0,--,--,--,--,--,4740377.53,11657.21,2718077.2,--,--,--,71818625.41,--,--,316718491.86,--,300199484.0,--,--,--,815852392.09,--,-5937531.29,--,39135170.34,--,-365119458.5,--,--,--,--,784130056.64,8583600.22,792713656.86,--,--,1109432148.72,20211026
20210630,--,125239265.72,66901603.32,--,188383516.85,--,188383516.85,51079429.95,42083561.33,39053536.48,--,--,39053536.48,--,94053451.79,--,23290323.25,--,--,--,15526984.73,0.0,--,--,--,--,--,--,--,645611673.42,--,--,--,--,--,--,--,2004100.0,--,43886506.0,2237895.97,0.0,56228394.16,181924306.28,181924306.28,0.0,54057619.93,54057619.93,0.0,--,--,26060330.19,--,15969185.95,1452103.89,19501909.04,--,--,--,411640736.9,--,--,1057252410.32,--,53133900.0,--,--,111640749.81,56643878.0,--,0.0,13857374.74,--,4824220.51,5607275.03,21999421.68,--,--,21999421.68,--,3922203.03,--,--,--,1334500.44,0.0,--,--,--,--,--,--,--,--,--,--,216319645.24,--,32160000.0,--,--,--,--,--,3392128.2,12698.03,2798083.99,0.0,--,--,44694806.83,--,--,261014452.07,--,304480284.0,--,--,--,848551700.6,36980108.51,-7193533.55,--,39135170.34,--,-369696257.48,--,--,--,--,778297255.4,17940702.85,796237958.25,--,--,1057252410.32,20210821
20210331,--,165579906.21,54801854.45,--,173113344.17,--,173113344.17,60480407.64,44221477.52,35661116.14,--,--,--,--,76357409.55,--,21827518.94,--,--,--,10506111.19,0.0,--,--,--,--,--,--,--,642549145.81,--,--,--,--,--,--,--,2045000.0,--,43886506.0,2337386.03,--,57229688.1,184426531.35,184426531.35,--,34492051.97,34492051.97,--,--,--,26047032.46,--,15969185.95,886181.65,19484813.53,--,--,--,386804377.04,--,--,1029353522.85,--,54176949.59,--,--,106212976.48,63643878.0,--,--,17773505.62,--,4622611.62,4736534.15,18984842.26,--,--,--,--,21768.5,--,--,--,1766882.16,0.0,--,--,--,--,--,--,--,--,--,--,208296070.38,--,29360000.0,--,--,--,--,--,2576985.2,13738.84,2878090.78,6884.93,--,--,34835699.75,--,--,243131770.13,--,304480284.0,--,--,--,848551700.6,36980108.51,-7306568.02,--,39135170.34,--,-379513294.11,--,--,--,--,768367184.3,17854568.42,786221752.72,--,--,1029353522.85,20210430
20201231,--,158978570.28,21020805.99,--,166532754.5,--,166532754.5,39377593.63,74208957.74,21623278.85,--,--,21623278.85,--,100107451.75,--,15784642.46,--,--,--,12000056.05,0.0,--,--,--,--,--,--,--,609634111.25,--,--,--,--,--,--,--,2249500.0,--,43886506.0,2431434.8,--,58230982.05,187615498.5,187615498.5,--,21753563.86,21753563.86,--,--,--,26443297.3,--,15969185.95,630248.43,20181305.22,--,--,--,379391522.11,--,--,989025633.36,--,43320837.5,--,--,97015340.05,59813588.43,--,--,16734173.09,--,12349457.06,6590187.27,20177361.24,--,--,20177361.24,--,9576.39,--,--,--,1395227.17,0.0,--,--,--,--,--,--,--,--,--,--,197592159.77,--,9360000.0,--,--,--,--,--,2576985.2,14905.92,2958097.57,6884.93,--,--,14916873.62,--,--,212509033.39,--,304480284.0,--,--,--,848551700.6,36980108.51,-6825402.3,--,39135170.34,--,-390064531.1,--,--,--,--,758297113.03,18219486.94,776516599.97,--,--,989025633.36,20210430
20200930,--,177097384.13,14088375.62,--,256004101.38,--,256004101.38,34004793.44,41148728.69,47090596.21,--,--,--,--,74912544.26,--,--,--,--,--,2114752.2,0.0,--,--,--,--,--,--,--,646461275.93,--,--,--,--,--,--,--,4253600.0,--,46200002.0,2435014.35,--,59234633.77,187419283.46,187419283.46,--,15213958.13,15213958.13,--,--,--,33452475.05,--,502897394.51,728300.32,19756440.92,--,--,--,871591102.51,--,--,1518052378.44,--,37037310.86,--,--,98325574.23,69637550.0,--,14761800.57,--,--,4197583.39,3742925.64,24758510.6,--,--,--,--,14455.0,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,182838160.29,--,7000000.0,--,--,--,--,--,--,31409.7,3038104.36,--,--,--,10069514.06,--,--,192907674.35,--,304480284.0,--,--,--,847764395.88,36192803.79,-5458120.84,--,39135170.34,--,152470128.61,--,--,--,--,1302199054.2,22945649.89,1325144704.09,--,--,1518052378.44,20201028
20200630,--,210396892.27,22988375.62,--,265923716.39,--,265923716.39,11557323.05,12687090.4,47443152.82,--,--,47443152.82,--,74883405.0,--,--,--,--,--,2826468.03,0.0,--,--,--,--,--,--,--,648706423.58,--,--,--,--,--,--,--,6830300.0,--,46200002.0,2529101.58,--,60233569.93,188709933.09,188709933.09,0.0,7891417.33,7891417.33,0.0,--,--,34147748.36,--,502897394.51,814933.42,19376863.33,--,--,--,869631263.55,--,--,1518337687.13,--,67785064.19,--,--,57945663.27,24473060.0,--,12486791.34,--,--,3836114.37,6795046.6,34552446.59,--,--,34552446.59,--,8618.75,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,183409745.11,--,7000000.0,--,--,--,--,--,--,38912.09,3118111.15,--,--,--,10157023.24,--,--,193566768.35,--,306671584.0,--,--,--,858347522.24,48967230.15,-3267925.84,--,39135170.34,--,149574369.63,--,--,--,--,1301493490.22,23277428.56,1324770918.78,--,--,1518337687.13,20200825
