报告期,资产*,现金及存放中央银行款项,存放同业和其它金融机构款项,贵金属,拆出资金,金融投资,其中:交易性金融资产,债权投资,其他债权投资,其他权益工具投资,以摊余成本计量的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,衍生金融资产,买入返售金融资产,持有待售资产,应收利息,应收款项,合同资产,发放贷款及垫款,代理业务资产,可供出售金融资产,持有至到期投资,长期股权投资,应收款项类投资,固定资产,在建工程,无形资产,商誉,递延所得税资产,投资性房地产,其他资产,资产差额(特殊报表科目),资产差额(合计平衡项目),资产总计*,负债*,同业和其它金融机构存放款项,向中央银行借款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,吸收存款,应付职工薪酬,应交税费,应付利息,应付款项,合同负债,持有待售负债,代理业务负债,应付债券,递延所得税负债,预计负债,其他负债,负债差额(特殊报表科目),负债差额(合计平衡项目),负债合计*,所得者权益(或股东权益)*,股本,其他权益工具,其中:优先股,永续债,资本公积金,减:库存股,其他综合收益,盈余公积金,未分配利润,一般风险准备,外币报表折算差额,股东权益差额(特殊报表科目),股东权益差额(合计平衡项目),归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),负债及股东权益总计*,公告日期#
20220930,--,10515521000.0,1597522000.0,--,185626000.0,49355298000.0,7251514000.0,29500233000.0,12261201000.0,342350000.0,--,--,480004000.0,--,--,--,--,--,97439594000.0,--,--,--,711590000.0,--,900348000.0,162983000.0,147532000.0,--,1507934000.0,121468000.0,166715000.0,--,--,163315064000.0,--,48724000.0,8992732000.0,3502407000.0,--,545512000.0,1994853000.0,128033734000.0,223015000.0,76030000.0,--,--,--,--,--,5552662000.0,9414000.0,286783000.0,286305000.0,--,--,149572684000.0,--,2172050000.0,359454000.0,--,--,924835000.0,--,163748000.0,4061075000.0,3565383000.0,2356195000.0,--,--,--,13602740000.0,139640000.0,13742380000.0,--,--,163315064000.0,20221026
20220630,--,8641621000.0,1634226000.0,--,268849000.0,50500644000.0,8381587000.0,31900350000.0,9876357000.0,342350000.0,--,--,440701000.0,--,--,--,--,--,95021574000.0,--,--,--,697887000.0,--,915740000.0,63781000.0,136819000.0,--,1501055000.0,123968000.0,153489000.0,--,--,160122726000.0,--,18019000.0,6286017000.0,3501949000.0,--,491120000.0,8137768000.0,123766859000.0,185857000.0,84147000.0,--,--,--,--,--,3727153000.0,10299000.0,282804000.0,300148000.0,--,--,146813634000.0,--,2172048000.0,359456000.0,--,--,924826000.0,--,73325000.0,4061075000.0,3223218000.0,2356195000.0,--,--,--,13170143000.0,138949000.0,13309092000.0,--,--,160122726000.0,20220816
20220331,--,8665958000.0,1979243000.0,--,317643000.0,50434616000.0,8282701000.0,30817076000.0,10992489000.0,342350000.0,--,--,494441000.0,--,--,--,--,--,92477774000.0,--,--,--,676694000.0,--,933931000.0,65778000.0,140222000.0,--,1400017000.0,126467000.0,155661000.0,--,--,157892620000.0,--,21101000.0,5358428000.0,3462829000.0,--,560014000.0,11563975000.0,119108471000.0,131090000.0,122994000.0,--,--,--,--,--,3688459000.0,7980000.0,277130000.0,181114000.0,--,--,144505602000.0,--,2172010000.0,359493000.0,--,--,924676000.0,--,59114000.0,3861075000.0,3824576000.0,2046195000.0,--,--,--,13247139000.0,139879000.0,13387018000.0,--,--,157892620000.0,20220430
20211231,--,8634871000.0,1602753000.0,--,414815000.0,50842239000.0,8279591000.0,24690921000.0,17529377000.0,342350000.0,--,--,487760000.0,--,--,--,--,--,87706952000.0,--,--,--,658774000.0,--,940908000.0,59175000.0,142385000.0,--,1322183000.0,128966000.0,159641000.0,--,--,153127599000.0,--,7693000.0,5256146000.0,3403536000.0,--,569549000.0,8629198000.0,117447493000.0,230745000.0,75646000.0,--,--,--,--,--,3867655000.0,10295000.0,278547000.0,160620000.0,--,--,139961942000.0,--,2172010000.0,359493000.0,--,--,924676000.0,--,112833000.0,3861075000.0,3549513000.0,2046195000.0,--,--,--,13025795000.0,139862000.0,13165657000.0,--,--,153127599000.0,20220330
20210930,--,8721528000.0,1371781000.0,--,564139000.0,43408985000.0,8178579000.0,24248063000.0,10639993000.0,342350000.0,--,--,417129000.0,--,--,--,--,--,87408530000.0,--,--,--,648038000.0,--,905562000.0,51357000.0,124783000.0,--,1458928000.0,131465000.0,153517000.0,--,--,145387661000.0,--,30751000.0,3991535000.0,2470697000.0,--,465408000.0,9498673000.0,111867400000.0,197915000.0,85417000.0,--,--,--,--,--,3667639000.0,13119000.0,269201000.0,220546000.0,--,--,132799009000.0,--,2172009000.0,359493000.0,--,--,924673000.0,--,67852000.0,3734869000.0,3151211000.0,2046195000.0,--,--,--,12456302000.0,132350000.0,12588652000.0,--,--,145387661000.0,20211029
20210630,--,10315239000.0,1387839000.0,--,529288000.0,43125141000.0,7948600000.0,31129147000.0,3705044000.0,342350000.0,--,--,424902000.0,--,--,--,--,--,87172990000.0,--,--,--,635298000.0,--,908465000.0,43440000.0,126547000.0,--,1381507000.0,133965000.0,146544000.0,--,--,146354649000.0,--,40823000.0,4200149000.0,1801131000.0,--,413522000.0,8704004000.0,115263209000.0,222261000.0,68954000.0,--,--,--,--,--,2632284000.0,26122000.0,265151000.0,326330000.0,--,--,133986108000.0,--,2172006000.0,359496000.0,--,--,924661000.0,--,127793000.0,3734869000.0,2872664000.0,2046195000.0,--,--,--,12237684000.0,130857000.0,12368541000.0,--,--,146354649000.0,20210828
20210331,--,9007661000.0,1082666000.0,--,498931000.0,49087760000.0,7315481000.0,38360351000.0,3069578000.0,342350000.0,--,--,20518000.0,--,--,--,--,--,80966033000.0,--,--,--,623288000.0,--,825760000.0,111868000.0,124954000.0,--,1330148000.0,136405000.0,142953000.0,--,1000.0,143984175000.0,--,67221000.0,5019680000.0,1921225000.0,--,--,10100544000.0,110976223000.0,178797000.0,70255000.0,--,--,--,--,--,2602215000.0,26294000.0,269421000.0,284915000.0,--,--,131539405000.0,--,2172005000.0,359497000.0,--,--,924658000.0,--,62749000.0,3574869000.0,3401151000.0,1826195000.0,--,--,--,12321124000.0,123646000.0,12444770000.0,--,--,143984175000.0,20210428
20201231,--,9903346000.0,1116542000.0,--,457097000.0,50889983000.0,7592961000.0,39627718000.0,3326954000.0,342350000.0,--,--,--,--,--,--,--,--,77210353000.0,--,--,--,606488000.0,--,842177000.0,98319000.0,128416000.0,--,1241504000.0,138963000.0,133046000.0,--,--,142766234000.0,--,8051000.0,5105491000.0,1921193000.0,--,13362000.0,7968379000.0,105759036000.0,256710000.0,88604000.0,--,--,--,--,--,8737676000.0,16395000.0,264019000.0,367125000.0,--,--,130506041000.0,--,2172004000.0,359498000.0,--,--,924653000.0,--,101284000.0,3574869000.0,3172990000.0,1826195000.0,--,--,--,12131493000.0,128700000.0,12260193000.0,--,--,142766234000.0,20210331
20200930,--,9346827000.0,1112666000.0,--,304173000.0,45407107000.0,8760931000.0,29791758000.0,6512068000.0,342350000.0,--,--,--,--,--,--,--,--,75729648000.0,--,--,--,591209000.0,--,935676000.0,--,118573000.0,--,1338858000.0,141420000.0,112636000.0,--,-1000.0,135138792000.0,--,9844000.0,3786785000.0,2125257000.0,--,7953000.0,2473730000.0,106061107000.0,363643000.0,112969000.0,--,--,--,--,--,7671439000.0,44425000.0,247841000.0,377588000.0,--,1000.0,123282582000.0,--,2172001000.0,359501000.0,--,--,924640000.0,--,121319000.0,3470609000.0,2868746000.0,1826195000.0,--,--,1000.0,11743012000.0,113198000.0,11856210000.0,--,--,135138792000.0,20201031
20200630,--,8768896000.0,1346112000.0,--,173470000.0,46775072000.0,9935629000.0,30672504000.0,6162589000.0,4350000.0,--,--,--,--,--,--,--,--,73487315000.0,--,--,--,580273000.0,--,797923000.0,137182000.0,123986000.0,--,1282428000.0,143962000.0,108903000.0,--,--,133725522000.0,--,5561000.0,3345377000.0,2125047000.0,--,155423000.0,991888000.0,105958712000.0,415524000.0,123168000.0,--,--,--,--,--,8337569000.0,44516000.0,254889000.0,213826000.0,--,--,121971500000.0,--,2171992000.0,359510000.0,--,--,924606000.0,--,260886000.0,3470609000.0,2628188000.0,1826195000.0,--,--,1000.0,11641986000.0,112035000.0,11754022000.0,--,--,133725522000.0,20200827
