报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1050662557.99,1050662557.99,0.0,--,--,--,1018751276.33,951536421.83,3942277.71,8974185.72,20080556.86,36578056.24,-2360222.03,10060892.44,9483385.99,158089.15,-1685187.82,0.0,--,--,--,--,--,--,--,3488670.63,3041470.6,2500000.0,--,532766.67,19335.55,--,--,--,37466426.44,150154.2,135589.62,--,--,--,37480991.02,3577347.07,--,--,--,33903643.95,33903643.95,--,2679851.99,31223791.96,-1630543.71,32273100.24,2223299.75,30049800.49,--,0.07,0.07,20221026
20220630,1068593970.64,1068593970.64,0.0,--,--,--,1028635475.33,970775573.35,3652229.03,8006540.25,17732496.2,31139079.3,-2670442.8,7550718.46,3667527.52,-158089.15,217181.6,0.0,--,--,--,--,--,--,--,7367783.66,1084024.72,978146.45,--,-20200.0,0.0,--,--,--,48449196.14,76202.51,88227.14,--,--,--,48437171.51,3010587.47,--,--,--,45426584.04,45426584.04,--,4120876.8,41305707.24,15811449.88,61238033.92,8548082.77,52689951.15,--,0.1,0.1,20220825
20220331,1193578408.18,1193578408.18,0.0,--,--,--,1149057809.92,1083987709.05,4993802.79,7172322.76,13067164.64,33849814.17,5986996.51,9245634.12,3390589.82,-8747.73,1175601.77,0.0,--,--,--,--,--,--,--,10965875.8,3220637.75,3190000.0,--,182550.0,-1405.95,--,--,--,60055109.9,1398969.31,883.14,--,--,--,61453196.07,6113394.22,--,--,--,55339801.85,55339801.85,--,4043666.58,51296135.27,-2662241.91,52677559.94,3298238.85,49379321.09,--,0.13,0.13,20220422
20211231,1333272497.14,1333272497.14,0.0,--,--,--,1258956294.87,1169401513.24,4019320.38,5884103.18,9440590.25,59253140.59,10957627.23,9400615.87,588893.35,-3836393.79,5944238.53,0.0,--,--,--,--,--,--,--,6071890.08,9267971.47,9268115.45,--,-592365.0,-262253.45,--,--,--,90909290.11,531793.26,3640894.56,--,--,--,87800188.81,6239739.9,--,--,--,81560448.91,81560448.91,--,4896153.93,76664294.98,--,81558455.66,4895595.82,76662859.84,--,0.19,0.18,20220318
20210930,990576701.86,990576701.86,0.0,--,--,--,966751738.79,886727879.61,3688778.68,6619456.32,26038298.17,36031302.41,7646023.6,8413909.78,712422.69,-2207357.57,394637.04,0.0,--,--,--,--,--,--,--,8269630.53,5292613.79,2662125.29,--,-1491442.99,-294747.51,--,--,--,33788296.36,239658.31,179941.1,--,--,--,33848013.57,-9354963.63,--,--,--,43202977.2,43202977.2,--,3959946.63,39243030.57,--,43202977.2,3959946.63,39243030.57,--,0.1,0.1,20211026
20210630,933047849.34,933047849.34,0.0,--,--,--,898385618.85,826160895.0,2424480.41,8858738.37,20306296.24,30236236.78,10398972.05,8751499.53,858206.42,--,1969898.31,0.0,--,--,--,--,--,--,--,3735870.57,2774611.65,3811754.78,--,1628374.65,-727876.32,--,--,--,41823670.02,10708688.6,58595.29,--,--,--,52473763.33,8414063.1,--,--,--,44059700.23,44059700.23,--,3987668.06,40072032.17,--,44059700.23,3987668.06,40072032.17,--,0.1,0.1,20210820
20210331,1004242672.74,1004242672.74,0.0,--,--,--,921731915.23,857115747.63,3092858.8,6478454.78,16884362.52,30863591.01,7296900.49,8595407.91,694881.28,--,36403.01,0.0,--,--,--,--,--,--,--,4516174.17,6229017.45,3254262.1,--,-1369541.32,-51491.22,--,--,--,91871319.6,371718.84,92052.08,--,--,--,92150986.36,13791490.27,--,--,--,78359496.09,78359496.09,--,8208707.01,70150789.08,--,78359496.09,8208707.01,70150789.08,--,0.17,0.17,20210427
20201231,1115520282.9,1115520282.9,0.0,--,--,--,1087653557.67,1033337316.16,3955579.64,-64218116.5,33012420.36,72903381.27,8662976.74,10204568.49,3219282.78,-1664203.34,431575.02,0.0,--,--,--,--,--,--,--,2655784.28,9268025.63,4755670.91,--,-1592288.41,-165529.11,--,--,--,36800089.3,36594164.72,-11979.39,--,--,--,73406233.41,-4478994.2,--,--,--,77885227.61,77885227.61,--,2782762.83,75102464.78,--,77885227.61,2782762.83,75102464.78,--,0.18,0.17,20210326
20200930,1031696805.67,1031696805.67,0.0,--,--,--,857206136.67,762705490.89,5809300.48,30779056.69,20236081.06,31198874.44,6477333.11,6536173.61,3581494.48,0.0,-4643348.23,0.0,--,--,--,--,--,--,--,5885196.59,23646216.74,19618593.98,--,-578973.02,-1683307.83,--,--,--,197116453.25,34384023.09,76628.13,--,--,--,231423848.21,32374807.88,--,--,--,199049040.33,199049040.33,--,4445764.13,194603276.2,--,199049040.33,4445764.13,194603276.2,--,0.48,0.47,20201027
20200630,1655947227.42,1655947227.42,0.0,--,--,--,1063225661.19,919622631.93,11229639.57,37739181.82,29032394.34,64165519.12,1436294.41,3471712.59,1943874.96,-7014128.34,221343.75,0.0,--,--,--,--,--,--,--,3894044.56,13323554.94,13593903.36,--,8665695.0,-251713.5,--,--,--,611560362.64,107452.6,135999.3,--,--,--,611531815.94,91020412.74,--,--,--,520511403.2,520511403.2,--,4541287.38,515970115.82,--,520511403.2,4541287.38,515970115.82,--,1.28,1.26,20200826
