报告期,营业收入*,利息净收入,利息收入,减:利息支出,手续费及佣金净收入,手续费及佣金收入,减:手续费及佣金支出,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1319700578.43,1021055210.16,2000064434.19,979009224.03,-15959544.33,47368684.67,63328229.0,241224243.22,22400000.0,--,-19813060.67,45495909.38,36698772.98,1615.56,10997432.13,761317806.84,8213772.48,397333134.87,--,--,--,--,558382771.59,771446.55,8364012.23,--,--,--,550790205.91,42069129.47,--,--,--,508721076.44,2142280.06,506578796.38,62659101.2,571380177.64,2142280.06,569237897.58,--,0.23,0.2,20221029
20220630,1153072327.88,961110736.05,1914477289.63,953366553.58,-1354063.23,49956338.67,51310401.9,118414298.35,37479098.92,--,22080611.04,28821419.76,22601239.36,994481.93,--,835552507.34,7968784.03,355852174.19,--,--,--,--,317519820.54,591269.83,-404448.17,--,--,--,318515538.54,-17963049.02,--,--,--,336478587.56,7983647.29,328494940.27,56447195.27,392925782.83,7983647.29,384942135.54,--,0.07,0.06,20220810
20220331,1199464356.47,933539490.18,1853705634.15,920166143.97,34952073.95,88045831.2,53093757.25,219891701.89,16900000.0,--,-977053.47,7632712.06,2994369.97,1431061.89,--,812416064.26,8092203.42,357960372.48,--,--,--,--,387048292.21,95910075.87,2241848.07,--,--,--,480716520.01,40632491.48,--,--,--,440084028.53,6733600.3,433350428.23,27382233.87,467466262.4,6733600.3,460732662.1,--,0.24,0.2,20220422
20211231,1185355272.81,933437420.14,1877439100.08,944001679.94,112786128.57,174461746.69,61675618.12,68247433.9,-14541658.55,--,24932293.14,5057089.95,40587525.51,2019447.04,-1712065.44,838989434.94,9802407.86,419054337.39,--,--,--,--,346365837.87,2979797.81,3992805.81,--,--,--,345352829.87,8449131.82,--,--,--,336903698.05,8047687.73,328856010.32,75988907.9,412892605.95,8047687.73,404844918.22,--,0.27,0.22,20220329
20210930,1206223774.2,978904541.32,1859662842.89,880758301.57,-6806289.49,43994466.97,50800756.46,180694766.32,20957358.8,--,11696850.2,9487741.03,6691305.3,2469520.32,23085339.2,794863353.13,8054391.89,354177718.19,--,--,--,--,411360421.07,252653.15,1020975.53,--,--,--,410592098.69,22084453.36,--,--,--,388507645.33,9845773.18,378661872.15,49737975.84,438245621.17,9845773.18,428399847.99,--,0.18,0.16,20211026
20210630,1151977470.73,895345301.25,1730639676.31,835294375.06,10660179.58,65154260.85,54494081.27,229381512.49,26075484.68,--,-12614171.48,6647845.19,3663057.62,2715028.03,--,903911560.39,7988025.31,317022078.84,--,--,--,--,248065910.34,370311.34,1488682.43,--,--,--,246947539.25,-21345437.81,--,--,--,268292977.06,5982455.41,262310521.65,30579006.83,298871983.89,5982455.41,292889528.48,--,0.09,0.09,20210824
20210331,1072830018.09,883560575.07,1663513600.31,779953025.24,7606068.55,59516332.71,51910264.16,155117863.71,18900000.0,--,14225856.56,7273242.97,2336000.0,2710411.23,--,701241974.77,9168543.72,345719015.5,--,--,--,--,371588043.32,865386.24,2817190.25,--,--,--,369636239.31,26768852.01,--,--,--,342867387.3,8846173.18,334021214.12,50544503.58,393411890.88,8846173.18,384565717.7,--,0.18,0.16,20210430
20201231,1094087123.85,912900812.07,1651359230.17,738458418.1,-11636949.78,39500488.75,51137438.53,107110628.36,18117066.83,--,75525258.22,52302.75,877306.12,1813313.82,7444452.29,896389763.21,8024778.77,390225607.38,--,--,--,--,197697360.64,440182.27,382119.31,--,--,--,197755423.6,-29083639.87,--,--,--,226839063.47,-5967931.92,232806995.39,21888861.68,248727925.15,-5967931.92,254695857.07,--,0.13,0.11,20210430
20200930,980380472.26,931697999.66,1609877693.51,678179693.85,-5913771.67,37421838.29,43335609.96,52451046.87,19003808.99,--,-16953632.33,5561538.76,10529693.88,2052778.6,954818.49,684110601.06,6556398.37,327489234.72,--,--,--,--,296269871.2,2415689.89,2088384.49,--,--,--,296597176.6,20403902.55,--,--,--,276193274.05,1574084.47,274619189.58,-148305539.99,127887734.06,1574084.47,126313649.59,--,0.15,0.13,20201027
20200630,1115051656.68,863972052.19,1507301044.35,643328992.16,4642509.32,45181149.59,40538640.27,237808865.97,23447133.59,--,-4078819.11,5051121.92,700000.0,554242.91,6401683.48,928721287.21,7465321.94,276752085.79,--,--,--,--,186330369.47,8462050.49,3304908.17,--,--,--,191487511.79,-7952200.51,--,--,--,199439712.3,-1312005.32,200751717.62,-172616873.99,26822838.31,-1312005.32,28134843.63,--,0.11,0.1,20200825
