报告期,营业收入*,利息净收入,利息收入,减:利息支出,手续费及佣金净收入,手续费及佣金收入,减:手续费及佣金支出,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,11723349000.0,9455463000.0,19127610000.0,9672147000.0,547683000.0,732513000.0,184830000.0,674749000.0,--,--,-126079000.0,1075050000.0,92837000.0,3678000.0,-32000.0,7362929000.0,117133000.0,2055306000.0,--,--,--,--,4360420000.0,6054000.0,10705000.0,--,--,--,4355769000.0,811947000.0,--,--,--,3543822000.0,140377000.0,3403445000.0,206471000.0,3750293000.0,140377000.0,3609916000.0,--,0.41,0.41,20221031
20220630,7562872000.0,6245713000.0,12711575000.0,6465862000.0,419306000.0,512708000.0,93402000.0,569988000.0,2940000.0,--,-209759000.0,513101000.0,21580000.0,2975000.0,-32000.0,4318318000.0,78028000.0,1280945000.0,--,--,--,--,3244554000.0,4456000.0,3320000.0,--,--,--,3245690000.0,613474000.0,--,--,--,2632216000.0,101150000.0,2531066000.0,107298000.0,2739514000.0,101150000.0,2638364000.0,--,0.31,0.31,20220831
20220331,3421374000.0,3079118000.0,6354872000.0,3275754000.0,232520000.0,268611000.0,36091000.0,131904000.0,--,--,-35270000.0,10543000.0,1705000.0,854000.0,--,1915388000.0,40562000.0,528331000.0,--,--,--,--,1505986000.0,1392000.0,2812000.0,--,--,--,1504566000.0,280441000.0,--,--,--,1224125000.0,57699000.0,1166426000.0,67324000.0,1291449000.0,57699000.0,1233750000.0,--,0.14,0.14,20220429
20211231,14800539000.0,11948871000.0,25565082000.0,13616211000.0,1241584000.0,1408779000.0,167195000.0,1522825000.0,--,--,-73228000.0,115396000.0,39434000.0,5657000.0,--,10814774000.0,151258000.0,3400486000.0,--,--,--,--,3985765000.0,17202000.0,14829000.0,--,--,--,3988138000.0,590182000.0,--,--,--,3397956000.0,171764000.0,3226192000.0,516447000.0,3914403000.0,171764000.0,3742639000.0,--,0.33,0.33,20220331
20210930,10435097000.0,8736852000.0,19039213000.0,10302361000.0,993296000.0,1109637000.0,116341000.0,409801000.0,--,--,123349000.0,135530000.0,32436000.0,3833000.0,--,6196941000.0,115657000.0,2079480000.0,--,67000.0,--,--,4238156000.0,8353000.0,10063000.0,--,--,--,4236446000.0,780311000.0,--,--,--,3456135000.0,124321000.0,3331814000.0,529351000.0,3985486000.0,124321000.0,3861165000.0,--,0.4,0.4,20211030
20210630,6947551000.0,5768589000.0,12615025000.0,6846436000.0,722716000.0,794144000.0,71428000.0,474773000.0,--,--,-103514000.0,56306000.0,26707000.0,1974000.0,--,3782288000.0,77771000.0,1293583000.0,--,--,--,--,3165263000.0,4403000.0,8485000.0,--,--,--,3161181000.0,621154000.0,--,--,--,2540027000.0,86156000.0,2453871000.0,431761000.0,2971788000.0,86156000.0,2885632000.0,--,0.3,0.3,20210830
20210331,3193708000.0,2737625000.0,6148870000.0,3411245000.0,341752000.0,384396000.0,42644000.0,27163000.0,--,--,3092000.0,70101000.0,13664000.0,311000.0,--,1759282000.0,39030000.0,678678000.0,--,--,--,--,1434426000.0,3607000.0,7558000.0,--,--,--,1430475000.0,265431000.0,--,--,--,1165044000.0,39788000.0,1125256000.0,35711000.0,1200755000.0,39788000.0,1160967000.0,--,0.14,0.14,20210429
20201231,14606555000.0,11239162000.0,23893143000.0,12653981000.0,1729986000.0,1936601000.0,206615000.0,2625033000.0,--,--,-842568000.0,-191169000.0,38688000.0,7423000.0,--,10589033000.0,133092000.0,3271484000.0,--,--,--,--,4017522000.0,8149000.0,13204000.0,--,--,--,4012467000.0,691596000.0,--,--,--,3320871000.0,153304000.0,3167567000.0,-809786000.0,2511085000.0,153316000.0,2357769000.0,--,0.36,0.36,20210331
20200930,10928354000.0,8370575000.0,17700197000.0,9329622000.0,1380782000.0,1535653000.0,154871000.0,1525940000.0,--,--,-400352000.0,27683000.0,18095000.0,5631000.0,--,6694290000.0,100652000.0,2066010000.0,--,--,--,--,4234064000.0,8057000.0,10265000.0,--,--,--,4231856000.0,818811000.0,--,--,--,3413045000.0,120371000.0,3292674000.0,-421810000.0,2991235000.0,144883000.0,2846352000.0,--,0.51,0.51,20201030
20200630,7707978000.0,5447307000.0,11670301000.0,6222994000.0,1032041000.0,1102372000.0,70331000.0,1394821000.0,--,--,-336201000.0,165922000.0,873000.0,3215000.0,--,4621623000.0,68505000.0,1343433000.0,--,--,--,--,3086355000.0,2627000.0,6562000.0,--,--,--,3082420000.0,609420000.0,--,--,--,2473000000.0,55147000.0,2417853000.0,-140007000.0,2332993000.0,55160000.0,2277833000.0,--,0.37,0.37,20200831
