报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1222026509.25,1222026509.25,0.0,--,--,--,1225086640.86,873452960.63,17704625.89,71399628.52,130370664.62,46432563.65,85726197.55,65339718.3,1937757.06,-3093803.17,-18219882.38,0.0,--,--,--,--,--,--,--,14727462.29,514286.05,514286.05,--,8874655.21,4455337.91,--,--,--,4197924.3,10312692.75,5378276.06,--,--,--,9132340.99,4932663.07,--,--,--,4199677.92,4199677.92,--,1284519.67,2915158.25,8280073.31,12479751.23,1225323.67,11254427.56,--,0.01,0.01,20221026
20220630,896944554.3,896944554.3,0.0,--,--,--,849237268.44,622519291.33,13398527.78,48551108.42,80765034.92,32363013.64,51640292.35,46262885.0,2092678.73,-1336283.2,-14754293.76,0.0,--,--,--,--,--,--,--,11205660.81,798905.92,798905.92,--,1106655.21,4031240.98,--,--,--,48759171.82,1715151.66,5057779.53,--,--,--,45416543.95,5830981.26,--,--,--,39585562.69,39585562.69,--,1615544.56,37970018.13,3154401.92,42739964.61,1867382.87,40872581.74,--,0.09,0.09,20220829
20220331,423285796.94,423285796.94,0.0,--,--,--,418913330.06,307249253.7,7402822.2,22610463.92,37098167.82,20852422.51,23700199.91,23232126.14,1537175.28,-794391.42,-3152752.07,0.0,--,--,--,--,--,--,--,6299393.89,-520723.52,--,--,--,8891540.76,--,--,--,15095534.52,748283.3,469256.68,--,--,--,15374561.14,1116769.98,--,--,--,14257791.16,--,--,1294068.39,12963722.77,608972.63,14866763.79,1383987.53,13482776.26,--,0.03,0.03,20220428
20211231,1467288578.53,1467288578.53,0.0,--,--,--,1415495312.92,928218974.34,26698265.71,99027866.71,194006362.44,69273107.6,98270736.12,101874748.56,3961449.51,-15136816.58,-10197911.42,0.0,--,--,--,--,--,--,--,23424279.51,-7293682.19,-9581668.12,--,9698367.76,11668515.75,--,--,--,63956018.44,2171990.74,14712933.32,--,--,--,51415075.86,12074887.63,--,--,--,39340188.23,39340188.23,--,4842306.16,34497882.07,-44651270.08,-5311081.85,4853741.47,-10164823.32,--,0.08,0.08,20220428
20210930,1103220635.06,1103220635.06,0.0,--,--,--,1058708899.71,699107860.0,21014342.52,69651192.45,147707148.73,52433906.81,68794449.2,70631963.84,1016243.98,-8000304.22,-6268352.78,0.0,--,--,--,--,--,--,--,7956140.07,21104417.9,--,--,3279490.0,7484648.33,--,--,--,70067774.65,2062887.9,1461197.15,--,--,--,70669465.4,-4153517.97,--,--,--,74822983.37,74822983.37,--,5948671.82,68874311.55,-51206099.89,23616883.48,5938012.26,17678871.22,--,0.16,0.16,20211029
20210630,747215251.03,747215251.03,0.0,--,--,--,697889548.75,458023225.31,14543214.64,44237064.62,101739240.85,35139006.62,44207796.71,48383580.11,1382108.13,-2611387.78,-1297958.97,0.0,--,--,--,--,--,--,--,6029353.27,819381.27,819381.27,--,-918740.0,5430645.12,--,--,--,56776995.19,1443820.62,139644.86,--,--,--,58081170.95,-8525336.39,--,--,--,66606507.34,66606507.34,--,1402528.06,65203979.28,-50457619.6,16148887.74,1440084.81,14708802.93,--,0.15,0.15,20210827
20210331,397626019.4,397626019.4,0.0,0.0,0.0,0.0,354601945.79,242219100.77,6512129.97,22962931.08,41538241.21,18203289.93,23166252.83,23882078.32,623071.3,1865650.19,-1743663.15,0.0,--,--,--,--,--,--,--,4053302.17,-1068559.16,--,--,0.0,59204.96,0.0,--,--,46190008.62,1377540.96,496572.0,--,--,--,47070977.58,4235310.25,--,--,--,42835667.33,42835667.33,--,1780922.02,41054745.31,-5896403.46,36939263.87,1941447.44,34997816.43,--,0.09,0.09,20210424
20201231,1223495788.7,1223495788.7,0.0,--,--,--,1247848419.4,734880864.73,25583531.45,103614338.23,205001089.7,79564457.97,99204137.32,104037816.52,5292622.32,-37809019.18,-29146394.38,0.0,--,--,--,--,--,--,--,35229051.62,5943819.34,921520.38,--,-36319884.86,1400163.47,--,--,--,-85054894.69,5656614.39,5371540.87,--,--,--,-84769821.17,-195796.31,--,--,--,-84574024.86,-84574024.86,--,11911234.62,-96485259.48,91018052.67,6444027.81,11921765.42,-5477737.61,--,-0.23,-0.23,20210424
20200930,934884599.55,934884599.55,0.0,--,--,--,924850448.96,541187089.14,17859711.02,85921395.76,140913265.04,64710249.11,74258738.89,72711824.94,963828.87,-4893287.66,-1549891.54,0.0,--,--,--,--,--,--,--,30625272.69,32444392.33,--,--,--,448769.1,--,--,--,67109405.51,4405993.88,4027713.19,--,--,--,67487686.2,15535838.34,--,--,--,51951847.86,51951847.86,--,13758219.41,38193628.45,41794223.99,93746071.85,13755936.64,79990135.21,--,0.09,0.09,20201029
20200630,665922621.4,665922621.4,0.0,--,--,--,637500835.29,378331599.61,13116143.32,55891303.82,94431380.76,43394691.94,52335715.84,51582757.97,3121805.94,-2085789.48,5118073.2,0.0,--,--,--,--,--,--,--,28416327.86,11409562.86,8958545.71,--,--,194406.62,--,--,--,71474367.17,3520235.03,2744469.07,--,--,--,72250133.13,7143753.23,--,--,--,65106379.9,65106379.9,--,14628545.43,50477834.47,446887.54,65553267.44,14605903.16,50947364.28,--,0.12,0.12,20200827
