报告期,经营活动产生的现金流量*,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入（金融类）,保户储金净增加额,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,收到原保险合同保费取得的现金,收到再保业务现金净额,处置交易性金融资产净增加额,拆入资金净增加额,回购业务资金净增加额,经营活动现金流入差额（特殊报表项目）,经营活动现金流入差额（合计平衡项目）,经营活动现金流入小计*,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出（金融类）,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付原保险合同赔付款项的现金,支付手续费的现金,支付保单红利的现金,经营活动现金流出差额（特殊报表科目）,经营活动现金流出差额（合计平衡项目）,经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目)）,经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额（特殊报表科目）,投资活动现金流入差额（合计平衡项目）,投资活动现金流入小计*,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出差额（特殊报表科目）,投资活动现金流出差额（合计平衡项目）,投资活动现金流出小计*,投资活动产生的现金流量净额差额（合计平衡项目）,投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,发行债券收到的现金,筹资活动现金流入差额（特殊报表科目）,筹资活动现金流入差额（合计平衡项目）,筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出差额（特殊报表科目）,筹资活动现金流出差额（合计平衡项目）,筹资活动现金流出小计*,筹资活动产生的现金流量净额差额（合计平衡项目）,筹资活动产生的现金流量净额*,汇率变动对现金的影响*,直接法-现金及现金等价物净增加额差值（特殊报表科目）,直接法-现金及现金等价物净增加额差值（合计平衡项目）,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,未确认投资损失,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),公告日期#
20220930,--,613562272.5,33278459.76,28102700.98,0.0,--,--,--,--,--,--,--,--,--,--,--,--,674943433.24,409717515.68,135685228.2,45693613.61,58513391.66,0.0,--,--,--,--,--,--,--,649609749.15,--,25333684.09,--,--,--,919655.0,--,--,--,--,919655.0,100176307.88,--,--,--,--,--,100176307.88,--,-99256652.88,--,14068124.0,--,312518666.67,--,--,--,--,326586790.67,144979939.02,19671374.45,--,3499357.02,--,--,168150670.49,--,158436120.18,2744550.03,--,--,87257701.42,131569400.28,218827101.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221025
20220630,--,420624701.29,32409371.65,23689316.11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,476723389.05,284965865.1,91151243.16,17223412.01,34553570.68,0.0,--,--,--,--,--,--,--,427894090.95,--,48829298.1,--,--,--,808600.0,--,--,--,--,808600.0,65866219.26,--,--,--,--,--,65866219.26,--,-65057619.26,--,14068124.0,--,138118666.67,--,--,--,--,152186790.67,121800000.0,8530094.03,--,--,--,--,130330094.03,--,21856696.64,910466.85,--,--,6538842.33,131569400.28,138108242.61,--,-20287743.53,-1506637.69,47119696.62,2454503.5,106374.64,--,--,520023.02,--,186941.84,10231389.97,1112265.6,-834657.44,42494.49,-26757512.04,73619705.09,-37645922.66,--,--,--,--,--,--,--,138108242.61,131569400.28,--,--,--,--,20220827
20220331,--,240604302.77,266529.09,9917689.96,0.0,--,--,--,--,--,--,--,--,--,--,--,--,250788521.82,177686788.4,50765918.26,7410167.42,31421259.8,0.0,--,--,--,--,--,--,--,267284133.88,--,-16495612.06,--,--,--,158600.0,--,--,--,--,158600.0,47429285.64,--,--,--,--,--,47429285.64,--,-47270685.64,--,14068124.0,--,87800000.0,--,--,--,--,101868124.0,70800000.0,5063877.99,--,--,--,--,75863877.99,--,26004246.01,-201000.84,--,--,-37963052.53,131569400.28,93606347.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220426
20211231,--,560926705.93,3772311.92,36039998.31,0.0,--,--,--,--,--,--,--,--,--,--,--,--,600739016.16,291156498.44,171555329.08,43907597.73,66431659.56,0.0,--,--,--,--,--,--,--,573051084.81,--,27687931.35,--,--,--,26238145.46,--,100286988.23,--,--,126525133.69,148078245.5,--,217373003.48,100000000.0,--,--,465451248.98,--,-338926115.29,--,31640000.0,--,719700000.0,--,--,--,--,751340000.0,313700000.0,26135988.35,--,3347474.29,--,--,343183462.64,--,408156537.36,-1265216.79,--,--,95653136.63,35916263.65,131569400.28,--,20130245.58,9167186.2,54179102.75,3513937.94,247643.96,--,--,-4505416.77,--,13703.08,21829300.63,-794406.4,-6211919.22,-526509.07,-61401888.85,-22300524.14,13792016.42,--,--,--,--,--,--,--,131569400.28,35916263.65,--,--,--,--,20220426
20210930,--,419706624.57,5095418.19,15655913.62,0.0,--,--,--,--,--,--,--,--,--,--,--,--,440457956.38,251030213.67,99125392.41,22954306.85,59059287.1,0.0,--,--,--,--,--,--,--,432169200.03,--,8288756.35,--,--,--,13286953.27,--,100286988.23,--,--,113573941.5,102090944.79,--,--,101000000.0,--,--,203090944.79,--,-89517003.29,--,32640000.1,--,464500000.0,--,--,--,--,497140000.1,151500000.0,20501663.98,--,1230000.0,--,--,173231663.98,--,323908336.12,-807994.85,--,--,241872094.33,35916263.65,277788357.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211026
20210630,--,290025974.5,4398945.72,13286102.93,0.0,--,--,--,--,--,--,--,--,--,--,--,--,307711023.15,176027751.76,68804285.06,20194991.65,41112896.9,0.0,--,--,--,--,--,--,--,306139925.37,--,1571097.78,--,--,--,108350.0,--,50144727.95,--,--,50253077.95,70179673.35,--,--,50000000.0,--,--,120179673.35,--,-69926595.4,--,31640000.1,--,464500000.0,--,--,--,--,496140000.1,136500000.0,6731458.48,--,730000.0,--,--,143961458.48,--,352178541.62,-844506.08,--,--,282978537.92,35916263.65,318894801.57,--,19689305.99,1654017.07,23062482.51,1610452.16,110827.84,--,--,-22728.64,57473.7,--,7104697.01,-144727.95,1471600.95,552156.79,-31986801.89,1829586.54,-23417244.3,--,--,--,--,--,--,--,318894801.57,35916263.65,--,--,--,--,20210821
20210331,--,144234822.99,2623430.94,7779861.02,0.0,--,--,--,--,--,--,--,--,--,--,--,--,154638114.95,100087199.72,37031741.55,9936916.91,21660746.34,0.0,--,--,--,--,--,--,--,168716604.52,--,-14078489.57,--,--,--,47350.0,--,--,--,--,47350.0,43227073.9,--,--,--,--,--,43227073.9,--,-43179723.9,--,--,--,421000000.0,--,--,--,--,421000000.0,93000000.0,3362703.46,--,350000.0,--,--,96712703.46,--,324287296.54,-288478.23,--,--,266740604.84,35916263.65,302656868.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210424
20201231,--,509656325.87,2326969.06,13058700.61,0.0,--,--,--,--,--,--,--,--,--,--,--,--,525041995.54,242545494.48,108659778.46,30927157.53,60278039.92,0.0,--,--,--,--,--,--,--,442410470.39,--,82631525.15,--,--,--,1397991.71,--,--,--,--,1397991.71,74438935.5,--,--,--,--,--,74438935.5,--,-73040943.79,--,--,--,171500000.0,--,--,--,--,171500000.0,194500000.0,22137941.65,--,--,--,--,216637941.65,--,-45137941.65,-1686580.61,--,--,-37233940.9,73150204.55,35916263.65,--,40159565.48,6493692.8,45864312.61,3274686.47,121479.63,--,--,-543092.73,52143.7,--,15089526.77,--,-1006551.69,225246.21,-11775720.53,-91710733.82,76386970.25,--,--,--,--,--,--,--,35916263.65,73150204.55,--,--,--,--,20210424
20200930,--,444171545.11,2016601.43,10679459.48,0.0,--,--,--,--,--,--,--,--,--,--,--,--,456867606.02,241596262.57,74102177.73,23185651.22,46240262.21,0.0,--,--,--,--,--,--,--,385124353.73,--,71743252.29,--,--,--,489748.55,--,--,--,--,489748.55,51043876.16,--,--,--,--,--,51043876.16,--,-50554127.61,--,--,--,121500000.0,--,--,--,--,121500000.0,136500000.0,18940237.08,--,1250000.0,--,--,156690237.08,--,-35190237.08,887014.93,--,--,-13114097.47,73150204.55,60036107.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201027
20200630,--,328177631.54,1710162.06,11702969.88,0.0,--,--,--,--,--,--,--,--,--,--,--,--,341590763.48,194685167.55,51144438.37,12778427.85,28040895.1,0.0,--,--,--,--,--,--,--,286648928.87,--,54941834.61,--,--,--,300.0,--,--,--,--,300.0,27862430.9,--,--,--,--,--,27862430.9,--,-27862130.9,--,--,--,121500000.0,--,--,--,--,121500000.0,121500000.0,6880958.67,--,550000.0,--,--,128930958.67,--,-7430958.67,1324943.09,--,--,20973688.13,73150204.55,94123892.68,--,15084836.45,-3001896.77,20716669.05,1638438.85,-2464979.12,--,--,-527604.27,50075.75,--,4600245.69,--,-321310.71,81640.54,-7801324.27,57484831.65,-30597788.23,--,--,--,--,--,--,--,94123892.68,73150204.55,--,--,--,--,20200807
