报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,40035922595.12,40035922595.12,0.0,--,--,--,37516985918.15,35023332597.99,552499657.64,59666633.37,1230863223.24,389586200.6,261037605.31,353761801.76,55834061.48,-190450470.2,242923.98,0.0,--,--,--,--,--,--,--,49948673.0,108999714.59,49281949.44,--,-6689315.0,12046610.84,--,--,--,2493034814.18,98046825.73,70609808.46,--,--,--,2520471831.45,440485590.19,--,--,--,2079986241.26,2079986241.26,--,363537674.57,1716448566.69,-76406167.76,2003580073.5,363537674.57,1640042398.93,--,0.35,0.35,20221028
20220630,25615363632.87,25615363632.87,0.0,--,--,--,23899611278.09,22258180698.54,377131950.85,38065695.18,808150816.87,200994742.03,217087374.62,230716640.78,34856211.82,-14495049.03,-15055274.75,0.0,--,--,--,--,--,--,--,26420302.75,108664100.12,33322130.96,--,-3181865.0,12030702.81,--,--,--,1830135271.68,25010436.35,46516796.76,--,--,--,1808628911.27,324388134.55,--,--,--,1484240776.72,1484240776.72,--,278329747.77,1205911028.95,258978898.44,1743219675.16,278329747.77,1464889927.39,--,0.25,0.25,20220827
20220331,13629082689.6,13629082689.6,0.0,--,--,--,12974895579.11,12205224183.88,172876819.55,22790707.57,391730925.43,83962992.56,98309950.12,112255029.66,13497911.91,--,1333572.84,0.0,--,--,--,--,--,--,--,15528115.72,74831674.53,12724782.4,--,-1487875.0,780209.31,--,--,--,745172807.89,20358298.98,17572207.55,--,--,--,747958899.32,138102757.41,--,--,--,609856141.91,609856141.91,--,115810143.99,494045997.92,-118441913.88,491414228.03,115810143.99,375604084.04,--,0.1,0.1,20220421
20211231,56102498949.46,56102498949.46,0.0,--,--,--,53449643396.73,49657166933.72,619929421.23,79219258.43,2009817404.68,631374599.89,452135778.78,544499882.02,84194092.39,-111316103.62,17959355.49,0.0,--,--,--,--,--,--,--,73303579.67,72326343.11,55529823.46,--,18567440.0,750909.86,--,--,--,2724447077.24,62472787.67,253627446.37,--,--,--,2533292418.54,574407511.03,--,--,--,1958884907.51,1958884907.51,--,261048226.68,1697836680.83,512217306.64,2471102214.15,262324705.66,2208777508.49,--,0.35,0.35,20220421
20210930,41032392375.62,41032392375.62,0.0,--,--,--,38869556502.49,36321496600.4,485605056.46,54739514.73,1362724008.98,342911486.49,302079835.43,383001019.89,51704085.42,-54605254.04,54086509.57,0.0,--,--,--,--,--,--,--,7946436.2,37593817.87,39464075.6,--,-12859165.0,814712.37,--,--,--,2195812930.1,42496789.52,166425100.51,--,--,--,2071884619.11,416421313.14,--,--,--,1655463305.97,1655463305.97,--,268603671.98,1386859633.99,631662528.37,2287125834.34,268603671.98,2018522162.36,--,0.29,0.29,20211030
20210630,26313869956.75,26313869956.75,0.0,--,--,--,24895611202.29,23265733756.85,336202214.76,31209000.15,923727771.37,163348594.6,175389864.56,254229022.9,32269639.44,-1635586.18,51116270.45,0.0,--,--,--,--,--,--,--,5957872.21,29451867.91,27063942.06,--,-8609815.0,519491.05,--,--,--,1495058854.9,23135981.16,105694094.55,--,--,--,1412500741.51,298757964.82,--,--,--,1113742776.69,1113742776.69,--,211789546.91,901953229.78,765081701.23,1878824477.92,211789546.91,1667034931.01,--,0.19,0.19,20210831
20210331,11216276343.17,11216276343.17,0.0,--,--,--,10414094045.98,9659772279.87,178504783.86,50840066.1,380161307.19,72482635.05,72332973.91,119942428.06,17204896.27,--,16592943.46,0.0,--,--,--,--,--,--,--,3627885.14,-10058265.34,12152006.21,--,-32244935.0,75200.04,--,--,--,780175125.49,10381171.18,52751741.36,--,--,--,737804555.31,137421007.7,--,--,--,600383547.61,600383547.61,--,118308335.17,482075212.44,903734192.71,1504117740.32,118308335.17,1385809405.15,--,0.1,0.1,20210430
20201231,47995317805.91,47995317805.91,0.0,--,--,--,45296006613.95,41799292343.35,533989867.69,223356271.64,1623109690.7,591952574.54,524305866.03,583244473.07,79038098.01,-291229534.69,-83198910.54,0.0,--,--,--,--,--,--,--,41306756.03,129105759.06,46155544.74,--,-24200430.0,30157451.7,--,--,--,2501252283.52,97170580.92,192191384.29,--,--,--,2406231480.15,471336825.05,--,--,--,1934894655.1,1934894655.1,--,380256032.09,1554638623.01,228719986.56,2163614641.66,373614718.59,1789999923.07,--,0.34,0.34,20210430
20200930,32347649542.22,32347649542.22,0.0,--,--,--,30554151066.25,28130844239.41,371260302.03,166201372.33,1170560317.22,299298430.85,415986404.41,445584724.35,47587741.72,-13741121.89,-41090876.71,0.0,--,--,--,--,--,--,--,6147824.35,190341170.9,41575347.93,--,-156367540.0,30904662.87,--,--,--,1809692595.49,67707480.08,162235898.66,--,--,--,1715164176.91,357614328.53,--,--,--,1357549848.38,1357549848.38,--,320581573.17,1036968275.21,374821990.0,1732371838.38,320581573.17,1411790265.21,--,0.23,0.23,20201031
20200630,18974217241.45,18974217241.45,0.0,--,--,--,17976775426.98,16424864298.4,245738122.55,107377873.04,771869346.13,157405037.76,269520749.1,292470117.32,29096753.48,-25122234.23,-36888255.82,0.0,--,--,--,--,--,--,--,3770810.81,197899064.46,31801735.45,--,-182208275.0,30834186.08,--,--,--,985727110.77,36476827.86,115035720.77,--,--,--,907168217.86,212953376.86,--,--,--,694214841.0,694214841.0,--,178655893.47,515558947.53,-6042150.0,688172691.0,178655893.47,509516797.53,--,0.12,0.12,20200828
