报告期,经营活动产生的现金流量*,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入（金融类）,保户储金净增加额,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,收到原保险合同保费取得的现金,收到再保业务现金净额,处置交易性金融资产净增加额,拆入资金净增加额,回购业务资金净增加额,经营活动现金流入差额（特殊报表项目）,经营活动现金流入差额（合计平衡项目）,经营活动现金流入小计*,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出（金融类）,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付原保险合同赔付款项的现金,支付手续费的现金,支付保单红利的现金,经营活动现金流出差额（特殊报表科目）,经营活动现金流出差额（合计平衡项目）,经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目)）,经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额（特殊报表科目）,投资活动现金流入差额（合计平衡项目）,投资活动现金流入小计*,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出差额（特殊报表科目）,投资活动现金流出差额（合计平衡项目）,投资活动现金流出小计*,投资活动产生的现金流量净额差额（合计平衡项目）,投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,发行债券收到的现金,筹资活动现金流入差额（特殊报表科目）,筹资活动现金流入差额（合计平衡项目）,筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出差额（特殊报表科目）,筹资活动现金流出差额（合计平衡项目）,筹资活动现金流出小计*,筹资活动产生的现金流量净额差额（合计平衡项目）,筹资活动产生的现金流量净额*,汇率变动对现金的影响*,直接法-现金及现金等价物净增加额差值（特殊报表科目）,直接法-现金及现金等价物净增加额差值（合计平衡项目）,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,未确认投资损失,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),公告日期#
20220930,--,85901498.14,3171761.66,13560961.45,0.0,--,--,--,--,--,--,--,--,--,--,--,--,102634221.25,30762864.44,50251718.34,4157936.49,25381338.11,0.0,--,--,--,--,--,--,--,110553857.38,--,-7919636.13,--,--,1569339.04,--,--,303000000.0,--,--,304569339.04,27267212.77,800000.0,--,300000000.0,--,--,328067212.77,--,-23497873.73,--,--,--,30000000.0,729280.69,--,--,--,30729280.69,144181000.0,5702088.0,--,142041.6,--,--,150025129.6,--,-119295848.91,--,--,--,-150713358.77,520875448.03,370162089.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221028
20220630,--,42946999.35,1987787.62,7816711.33,0.0,--,--,--,--,--,--,--,--,--,--,--,--,52751498.3,18566406.41,35061447.95,1517969.15,22279385.1,0.0,--,--,--,--,--,--,--,77425208.61,--,-24673710.31,--,--,1434339.04,--,--,283000000.0,--,--,284434339.04,21092869.27,800000.0,--,300000000.0,--,--,321892869.27,--,-37458530.23,--,--,--,--,108439.92,--,--,--,108439.92,81591000.0,3789808.1,--,142041.6,--,--,85522849.7,--,-85414409.78,--,--,--,-147546650.32,520875448.03,373328797.71,--,-27239429.55,457026.16,8271165.4,8645208.19,4094879.31,--,--,--,--,-1018191.78,3755779.45,-1198779.49,--,--,-287212.56,-1101115.51,-19179740.33,--,--,--,--,--,--,--,373328797.71,520875448.03,--,--,--,--,20220830
20220331,--,7330025.84,--,6149986.01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,13480011.85,5499307.93,20112333.93,797058.54,19089715.29,0.0,--,--,--,--,--,--,--,45498415.69,--,-32018403.84,--,100000000.0,715068.49,--,--,--,--,--,100715068.49,18706751.04,100000000.0,--,600000.0,--,--,119306751.04,--,-18591682.55,--,--,--,--,--,--,--,--,--,81591000.0,2076590.17,--,--,--,--,83667590.17,--,-83667590.17,--,--,--,-134277676.56,520875448.03,386597771.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220428
20211231,--,164054324.17,--,28725510.53,0.0,--,--,--,--,--,--,--,--,--,--,--,--,192779834.7,46553406.34,70520666.93,8143869.7,25334505.48,0.0,--,--,--,--,--,--,--,150552448.45,--,42227386.25,--,--,2590768.44,135065.49,--,1193000000.0,--,--,1195725833.93,63775913.13,--,--,1210000000.0,--,--,1273775913.13,--,-78050079.2,--,--,--,318000000.0,100899175.29,--,--,--,418899175.29,123790000.0,8681099.3,--,192884886.0,--,--,325355985.3,--,93543189.99,--,--,--,57720497.04,463154950.99,520875448.03,--,-8429036.42,4966034.62,15430661.15,16712760.92,7452216.67,--,--,-913887.16,128738.82,-174790.36,7576128.18,-4248260.28,--,--,1004399.59,-17386086.46,8085640.0,--,--,--,--,--,--,--,520875448.03,463154950.99,--,--,--,--,20220315
20210930,--,127457504.71,--,14148343.65,0.0,--,--,--,--,--,--,--,--,--,--,--,--,141605848.36,30412781.75,49573028.8,5260273.26,33495120.93,0.0,--,--,--,--,--,--,--,118741204.74,--,22864643.62,--,--,2295342.46,27573.95,--,1117000000.0,--,--,1119322916.41,62156501.49,--,--,1010000000.0,--,--,1072156501.49,--,47166414.92,--,--,--,268000000.0,66800000.0,--,--,--,334800000.0,120200000.0,6220860.4,--,103095496.85,--,--,229516357.25,--,105283642.75,--,--,--,175314701.29,463154950.99,638469652.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,96493377.32,--,7859536.67,0.0,--,--,--,--,--,--,--,--,--,--,--,--,104352913.99,21268589.84,33753071.89,1995928.55,25266264.64,0.0,--,--,--,--,--,--,--,82283854.92,--,22069059.07,--,--,1623158.44,27573.95,--,873000000.0,--,--,874650732.39,39948032.9,--,--,910000000.0,--,--,949948032.9,--,-75297300.51,--,--,--,202817981.0,66800000.0,--,--,--,269617981.0,57125000.0,4055736.59,--,103095496.85,--,--,164276233.44,--,105341747.56,--,--,--,52113506.12,463154950.99,515268457.11,--,-2037152.44,4204563.82,7834664.8,8306903.88,3444960.19,--,--,--,--,--,4199469.77,-3434074.94,--,--,149555.39,-8072762.75,7472931.35,--,--,--,--,--,--,--,515268457.11,463154950.99,--,--,--,--,20210805
20210331,--,14159874.38,--,46635471.23,0.0,--,--,--,--,--,--,--,--,--,--,--,--,60795345.61,4320921.81,16120763.63,228438.63,57216258.28,0.0,--,--,--,--,--,--,--,77886382.35,--,-17091036.74,--,70000000.0,203057.64,--,--,--,--,--,70203057.64,20617026.71,550000000.0,--,--,--,--,570617026.71,--,-500413969.07,--,--,--,243000000.0,--,--,--,--,243000000.0,157125000.0,1989004.89,--,--,--,--,159114004.89,--,83885995.11,--,--,--,-433619010.7,471559475.74,37940465.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210430
20201231,--,137213014.79,--,3030201.32,0.0,--,--,--,--,--,--,--,--,--,--,--,--,140243216.11,23211529.79,56575910.53,777351.55,38742662.42,0.0,--,--,--,--,--,--,--,119307454.29,--,20935761.82,--,--,14368775.4,24000.0,4983650.2,1066000000.0,--,--,1085376425.6,73505750.54,3000000.0,--,690000000.0,--,--,766505750.54,--,318870675.06,--,--,--,185365385.35,40000000.0,--,--,--,225365385.35,166250000.0,5462674.01,--,23576356.77,--,--,195289030.78,--,30076354.57,--,--,--,369882791.45,93272159.54,463154950.99,--,5833242.06,1562912.81,12735136.33,15516866.16,5012908.47,--,--,-6662667.77,895916.29,-144740.25,5659179.19,-11669521.28,26531.41,--,547664.67,9195096.65,-18260516.54,--,--,--,--,--,--,--,463154950.99,93272159.54,--,--,--,--,20210226
20200930,--,97797551.42,--,28749770.25,0.0,--,--,--,--,--,--,--,--,--,--,--,--,126547321.67,16882637.84,44264266.38,290549.7,39114456.96,0.0,--,--,--,--,--,--,--,100551910.88,--,25995410.79,--,1200000.0,7140499.36,24000.0,3790267.38,550000000.0,--,--,562154766.74,53146699.54,6000000.0,--,550000000.0,--,--,609146699.54,--,-46991932.8,--,--,--,166365385.35,--,--,--,--,166365385.35,77250000.0,3940319.07,--,21971832.02,--,--,103162151.09,--,63203234.26,--,--,--,42206712.25,93272159.54,135478871.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201024
20200630,--,30548909.29,--,18457360.74,0.0,--,--,--,--,--,--,--,--,--,--,--,--,49006270.03,7687151.61,31879444.31,464635.49,30456936.34,0.0,--,--,--,--,--,--,--,70488167.75,--,-21481897.72,--,0.0,7418835.62,--,--,430000000.0,--,--,437418835.62,41862596.08,3000000.0,--,0.0,--,--,44862596.08,--,392556239.54,--,--,--,126365385.35,--,--,--,--,126365385.35,31125000.0,2433381.77,--,21971832.02,--,--,55530213.79,--,70835171.56,--,--,--,441909513.38,93272159.54,535181672.92,--,-33547284.15,--,5650622.09,7702164.3,2365330.68,--,--,--,779998.14,--,2433381.77,-4299422.08,26531.41,--,-2425363.43,1723348.93,-1682357.23,--,--,--,--,--,--,--,535181672.92,93272159.54,--,--,--,--,20200829
