报告期,经营活动产生的现金流量*,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,回购业务资金净增加额,收到其他与经营活动有关的现金,代理买卖证券收到的现金净额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,--,--,9006167243.3,722278243.0,--,1851449976.6,1365084747.8,7354572509.39,--,20299552720.09,3953840901.2,--,1021534920.19,3521061878.29,8090836627.83,--,18678223408.23,--,1621329311.86,--,--,564991805.54,997027.3,--,--,--,565988832.84,1599379338.67,1404007165.59,--,--,--,3003386504.26,--,-2437397671.42,--,--,1215000000.0,36301935480.17,--,--,--,37516935480.17,31513111637.38,1936660407.34,167327694.49,--,--,33617099739.21,--,3899835740.96,-11579713.57,3072187667.83,55635668935.62,58707856603.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221029
20220630,--,--,--,6047707284.87,722278243.0,163795098.42,2344785084.85,11657432083.32,5602442568.58,--,26538440363.04,1970153337.9,--,718972494.13,5810616836.39,152931019.52,--,10037784747.66,--,16500655615.38,--,--,362794621.81,667426.96,--,--,--,363462048.77,4811145624.52,804162313.99,--,--,--,5615307938.51,--,-5251845889.74,--,--,15000000.0,20952466224.41,--,--,--,20967466224.41,19106760513.43,1012606700.73,103235191.88,--,--,20222602406.04,--,744863818.37,199611499.25,12193285043.26,55635668935.62,67828953978.88,--,977106464.18,16002131.94,88607018.11,34393507.07,16603365.59,--,--,-1098553.24,2271675.05,921581775.76,--,-100969310.38,-253317229.47,--,642167507.37,11808758243.37,--,2285929924.97,--,16500655615.38,--,--,--,67828953978.88,55635668935.62,--,--,--,--,12193285043.26,20220827
20220331,--,--,--,3014395065.64,722278243.0,1176604734.86,1041018512.67,--,7143619788.32,--,13097916344.49,1053721606.8,--,394857456.05,4868088718.08,549472837.83,--,7565529650.3,--,5532386694.19,--,--,118070315.64,516609.38,--,--,--,118586925.02,6748363824.19,772648195.18,--,--,--,7521012019.37,--,-7402425094.35,--,--,--,11878781426.66,--,--,--,11878781426.66,10626819699.56,556446051.14,55178219.1,--,--,11238443969.8,--,640337456.86,-60514211.63,-1290215154.93,55635668935.62,54345453780.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220429
20211231,--,--,--,12843363233.63,746395686.87,5388410193.83,3636456612.8,11778791520.94,2686673.37,--,34396103921.44,4367116070.4,--,1603904888.17,10270112919.05,--,--,32124029212.19,--,2272074709.25,--,635892338.3,1409886695.21,21634011.87,278842034.06,--,--,2346255079.44,--,2497271532.15,--,--,--,2497271532.15,--,-151016452.71,--,--,522279324.82,45442298333.6,--,--,--,45964577658.42,34465794967.7,2723686375.27,210944264.87,--,--,37400425607.84,--,8564152050.58,-16679656.24,10668530650.88,44967138284.74,55635668935.62,--,3299365955.94,1727848.53,149879890.66,65369201.16,34714880.56,--,--,-51820632.78,3781982.08,-826400010.19,--,-602827467.87,310861154.82,-6094324017.85,-10656762754.83,14746742661.63,--,990472565.67,--,2272074709.25,--,--,--,55635668935.62,44967138284.74,--,--,--,--,10668530650.88,20220330
20210930,--,--,--,9377093064.42,1347708873.99,2601166904.69,5357960779.34,8355827788.47,16843455.94,--,27056600866.85,3384188243.75,--,1417541858.04,6930826832.64,2473386965.45,--,20112402886.3,--,6944197980.55,--,346113074.86,879308039.43,667679.32,--,5181121.54,--,1231269915.15,--,2062643970.29,5180314.83,--,--,2067824285.12,--,-836554369.97,--,--,44264751.82,30754472540.0,--,--,--,30798737291.82,23096378029.86,1805760099.58,150735326.36,--,--,25052873455.8,--,5745863836.02,1900992.45,11855408439.05,44967138284.74,56822546723.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,--,--,5778368418.97,2436823996.67,--,4539374020.75,2962357498.75,3140909981.14,--,18857833916.28,2054431135.8,--,881188452.04,4897608330.7,5167345307.58,--,17565225583.81,--,1292608332.47,--,671390994.37,685052930.82,422059.15,--,--,--,1356865984.34,--,580447491.97,--,--,--,580447491.97,--,776418492.37,--,--,557409368.18,17510630226.0,--,--,--,18068039594.18,14482921745.78,868215650.41,105169683.56,--,--,15456307079.75,--,2611732514.43,-259036.23,4680500303.04,44967138284.74,49647638587.78,--,1746412762.45,--,69139276.18,32365371.7,15309997.77,--,--,-43934009.08,2078639.29,-321240840.79,--,-335680023.21,69104891.74,--,-6178616912.97,3402195088.18,--,2745135796.23,--,1292608332.47,--,--,--,49647638587.78,44967138284.74,--,--,--,--,4680500303.04,20210828
20210331,--,--,--,2776820452.94,1469400062.4,--,789623008.71,1692846803.44,3683853915.17,--,10412544242.66,814319814.05,--,406294547.36,2847202221.34,6587471282.02,--,11564625241.78,--,-1152080999.12,--,--,383015814.29,262013.61,--,--,--,383277827.9,805528281.57,30833695.37,--,--,--,836361976.94,--,-453084149.04,--,--,31256541.37,11261019954.0,--,--,--,11292276495.37,7289554630.75,442735674.95,42828939.36,--,--,7775119245.06,--,3517157250.31,-4086276.72,1907905825.43,44967138284.74,46875044110.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,--,--,11479181021.22,--,6110630873.81,2959143523.63,10939900291.38,3323980800.56,--,34812836510.6,3527207685.7,1526670445.68,1173623947.75,3806290308.72,11758214226.0,--,32664064818.37,--,2148771692.23,--,864873464.73,1078682823.37,36378742.92,--,--,--,1979935031.02,--,210117819.4,--,--,--,210117819.4,--,1769817211.62,--,2924280854.03,26733077706.81,49434687386.06,--,--,--,79092045946.9,66738823571.56,2184421326.11,6037949693.42,--,--,74961194591.09,--,4130851355.81,-76597208.28,7972843051.38,36994295233.36,44967138284.74,--,2581305568.26,--,140872334.49,63106756.16,42309053.18,--,--,-21089974.15,1124380.47,-428392065.24,--,-1281605400.01,147725202.53,-12920083745.28,-7498051421.52,19248550228.28,--,1755788624.71,--,2148771692.23,--,--,--,44967138284.74,36994295233.36,--,--,--,--,7972843051.38,20210424
20200930,--,--,--,8145092674.33,--,984337647.81,2670037272.37,5531104471.31,2979546383.66,--,20310118449.48,2458604270.55,1506694641.56,754784020.93,920236785.98,5248097030.01,--,20657655820.19,--,-347537370.71,--,2383051276.08,697530692.77,34796214.6,3082075.98,--,--,3118460259.43,1551175626.37,137916812.98,7829120.0,--,--,1696921559.35,--,1421538700.08,--,2924728967.24,3223588547.81,34275154901.86,--,--,--,40423472416.91,28188776046.67,1574612813.98,6040803676.98,--,--,35804192537.63,--,4619279879.28,1702822.76,5694984031.41,36994295233.36,42689279264.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201030
20200630,--,--,--,5168360013.02,--,--,1609135668.24,8128057113.15,1821492273.7,--,16727045068.11,1622210503.01,971214722.7,618004340.41,2870838745.43,1623587736.82,--,10387237396.43,--,6339807671.68,--,2116531836.81,540423132.78,34381806.62,--,--,--,2691336776.21,--,95239863.89,541120.0,--,--,95780983.89,--,2595555792.32,--,2924280854.03,1884286291.26,17116031918.06,--,--,--,21924599063.35,14268030270.1,1227094368.06,6000000000.0,--,--,21495124638.16,--,429474425.19,-20645326.83,9344192562.36,36994295233.36,46338487795.72,--,1409798955.34,--,70141395.03,30937939.71,22771508.67,--,--,-20333715.59,354234.43,142094265.59,--,-540423132.78,-2760870.84,--,-2995491638.89,7490718675.01,--,548409323.15,--,6339807671.68,--,--,--,46338487795.72,36994295233.36,--,--,--,--,9344192562.36,20200828
