报告期,资产*,现金及存放中央银行款项,存放同业和其它金融机构款项,贵金属,拆出资金,金融投资,其中:交易性金融资产,债权投资,其他债权投资,其他权益工具投资,以摊余成本计量的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,衍生金融资产,买入返售金融资产,持有待售资产,应收利息,应收款项,合同资产,发放贷款及垫款,代理业务资产,可供出售金融资产,持有至到期投资,长期股权投资,应收款项类投资,固定资产,在建工程,无形资产,商誉,递延所得税资产,投资性房地产,其他资产,资产差额(特殊报表科目),资产差额(合计平衡项目),资产总计*,负债*,同业和其它金融机构存放款项,向中央银行借款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,吸收存款,应付职工薪酬,应交税费,应付利息,应付款项,合同负债,持有待售负债,代理业务负债,应付债券,递延所得税负债,预计负债,其他负债,负债差额(特殊报表科目),负债差额(合计平衡项目),负债合计*,所得者权益(或股东权益)*,股本,其他权益工具,其中:优先股,永续债,资本公积金,减:库存股,其他综合收益,盈余公积金,未分配利润,一般风险准备,外币报表折算差额,股东权益差额(特殊报表科目),股东权益差额(合计平衡项目),归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),负债及股东权益总计*,公告日期#
20220930,--,23473241000.0,3352296000.0,--,1055294000.0,142828807000.0,21053598000.0,--,--,--,116814986000.0,4960223000.0,--,2968697000.0,--,--,--,--,183476785000.0,--,--,--,2196396000.0,--,312326000.0,16119000.0,79410000.0,--,2526049000.0,--,1264826000.0,--,--,363906288000.0,--,3487950000.0,7430753000.0,1607606000.0,--,--,2000108000.0,262780311000.0,591326000.0,250110000.0,--,--,--,--,--,55232000000.0,--,187433000.0,1210894000.0,--,--,335083950000.0,--,4444444000.0,--,--,--,3690747000.0,--,342802000.0,2602924000.0,13353966000.0,4324270000.0,--,--,--,28759153000.0,63185000.0,28822338000.0,--,--,363906288000.0,20221029
20220630,--,22110412000.0,2118592000.0,--,1045419000.0,132627618000.0,21023878000.0,--,--,--,107109649000.0,4494091000.0,--,7344939000.0,--,--,--,--,182719538000.0,--,--,--,986897000.0,--,315157000.0,16268000.0,80873000.0,--,2454693000.0,--,1025762000.0,--,--,353207638000.0,--,3040250000.0,7151250000.0,1100600000.0,--,--,4557842000.0,256464226000.0,572581000.0,250785000.0,--,--,--,--,--,49996395000.0,--,174400000.0,1341266000.0,--,--,324965636000.0,--,4444444000.0,--,--,--,3690747000.0,--,314942000.0,2602924000.0,12802165000.0,4324270000.0,--,--,--,28179492000.0,62510000.0,28242002000.0,--,--,353207638000.0,20220831
20220331,--,18650724000.0,3122924000.0,--,44890000.0,123078088000.0,19812053000.0,--,--,--,99056761000.0,4209274000.0,--,11020188000.0,--,--,--,--,179647834000.0,--,--,--,956729000.0,--,326427000.0,16666000.0,78446000.0,--,2458562000.0,--,1067832000.0,--,--,340811659000.0,--,984535000.0,5297263000.0,898649000.0,--,--,10108802000.0,232607621000.0,628939000.0,433941000.0,--,--,--,--,--,60065388000.0,--,155616000.0,989230000.0,--,--,312459098000.0,--,4444444000.0,--,--,--,3690747000.0,--,200048000.0,2602924000.0,13027301000.0,4324270000.0,--,--,--,28289734000.0,62827000.0,28352561000.0,--,--,340811659000.0,20220429
20211231,--,25389651000.0,3627614000.0,--,74890000.0,128179075000.0,19638343000.0,--,--,--,95766279000.0,12774453000.0,--,6448054000.0,--,--,--,--,176948661000.0,--,--,--,928305000.0,--,337967000.0,17670000.0,81363000.0,--,2388373000.0,--,1069977000.0,--,--,345863917000.0,--,977995000.0,4163872000.0,1498444000.0,--,--,4851239000.0,234723596000.0,635724000.0,406098000.0,--,--,--,--,--,69232167000.0,--,166768000.0,1281616000.0,--,--,318260782000.0,--,4444444000.0,--,--,--,3690747000.0,--,59041000.0,2602924000.0,12419435000.0,4324270000.0,--,--,--,27540861000.0,62274000.0,27603135000.0,--,--,345863917000.0,20220429
20210930,--,26145429000.0,3835123000.0,--,1095525000.0,119561022000.0,25270615000.0,--,--,--,88732855000.0,5557552000.0,--,7485476000.0,--,--,--,--,173484049000.0,--,--,--,420337000.0,--,340690000.0,16053000.0,79469000.0,--,2270716000.0,--,1287213000.0,--,--,336390153000.0,--,1003170000.0,8040217000.0,1073318000.0,--,--,6750099000.0,224095162000.0,583350000.0,366711000.0,--,--,--,--,--,65803823000.0,--,204129000.0,1365018000.0,--,--,309596038000.0,--,4444444000.0,--,--,--,3690747000.0,--,24661000.0,2322766000.0,12316838000.0,3932842000.0,--,--,--,26732298000.0,61817000.0,26794115000.0,--,--,336390153000.0,20211029
20210630,--,23565803000.0,2845953000.0,--,1119387000.0,112069993000.0,14187474000.0,--,--,--,93518059000.0,4364460000.0,--,4727031000.0,--,--,--,--,172391750000.0,--,--,--,414268000.0,--,346215000.0,17923000.0,79773000.0,--,2148137000.0,--,1222144000.0,--,--,321312787000.0,--,1003562000.0,4510126000.0,1397605000.0,--,--,759138000.0,224866861000.0,536205000.0,354818000.0,--,--,--,--,--,59842394000.0,--,209779000.0,1363035000.0,--,--,295154765000.0,--,4444444000.0,--,--,--,3690747000.0,--,2773000.0,2322766000.0,11704573000.0,3932842000.0,--,--,--,26098145000.0,59877000.0,26158022000.0,--,--,321312787000.0,20210828
20210331,--,23923469000.0,2419174000.0,--,1162416000.0,103466244000.0,13472861000.0,--,--,--,85785851000.0,4207532000.0,--,5325697000.0,--,--,--,--,169870724000.0,--,--,--,408541000.0,--,351308000.0,16902000.0,82720000.0,--,2001776000.0,--,1205570000.0,--,--,310613167000.0,--,1252149000.0,5865741000.0,1453246000.0,--,--,1989207000.0,220533974000.0,466126000.0,571437000.0,--,--,--,--,--,50074083000.0,--,202469000.0,1551871000.0,--,--,284277452000.0,--,4444444000.0,--,--,--,3690747000.0,--,47218000.0,2322766000.0,11839364000.0,3932842000.0,--,--,--,26277381000.0,58334000.0,26335715000.0,--,--,310613167000.0,20210430
20201231,--,24628013000.0,2059052000.0,--,1152073000.0,99747968000.0,9965005000.0,--,--,--,85591095000.0,4191868000.0,--,7884210000.0,--,--,--,--,167069123000.0,--,--,--,405249000.0,--,363214000.0,16840000.0,86110000.0,--,1898812000.0,--,1080927000.0,--,--,306391591000.0,--,2129137000.0,6550291000.0,1626919000.0,--,--,5996686000.0,211729542000.0,558144000.0,539376000.0,--,--,--,--,--,50025113000.0,--,245538000.0,1367321000.0,--,--,280768067000.0,--,4444444000.0,--,--,--,3690747000.0,--,43446000.0,2322766000.0,11131141000.0,3932842000.0,--,--,--,25565386000.0,58138000.0,25623524000.0,--,--,306391591000.0,20210430
20200930,--,23641722000.0,3836755000.0,--,682118000.0,103586246000.0,11681717000.0,--,--,--,86852649000.0,5051880000.0,--,3599717000.0,--,--,--,--,164221064000.0,--,--,--,410381000.0,--,362364000.0,19127000.0,79918000.0,--,1765739000.0,--,1149069000.0,--,--,303354220000.0,--,1055649000.0,7527641000.0,2134698000.0,--,--,2681451000.0,206367353000.0,501723000.0,441121000.0,--,--,--,--,--,56146891000.0,--,253017000.0,1464568000.0,--,--,278574112000.0,--,4444444000.0,--,--,--,3693544000.0,--,-22511000.0,2047341000.0,11160433000.0,3413386000.0,--,--,--,24736637000.0,43471000.0,24780108000.0,--,--,303354220000.0,20201030
20200630,--,23967749000.0,2626451000.0,--,674299000.0,99866368000.0,11338155000.0,--,--,--,84734372000.0,3793841000.0,--,5316985000.0,--,--,--,--,160344042000.0,--,--,--,403687000.0,--,364785000.0,18099000.0,80274000.0,--,1641537000.0,--,984366000.0,--,--,296288642000.0,--,1123457000.0,4191814000.0,2608281000.0,--,--,--,195994862000.0,435315000.0,384828000.0,--,--,--,--,--,65995024000.0,--,194007000.0,1271659000.0,--,--,272199247000.0,--,4444444000.0,--,--,--,3693544000.0,--,-72516000.0,2047341000.0,10517235000.0,3413386000.0,--,--,--,24043434000.0,45961000.0,24089395000.0,--,--,296288642000.0,20200828
