报告期,经营活动产生的现金流量*,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,回购业务资金净增加额,收到其他与经营活动有关的现金,代理买卖证券收到的现金净额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20221231,--,--,--,4825064734.22,--,--,1211686039.35,--,54489224199.55,--,38760492016.44,1218968224.75,--,637544308.04,1619074337.04,3492560202.31,--,1716216218.02,--,37044275798.42,--,--,394238805.47,--,217934.08,--,--,401656739.55,10627422829.49,272068104.83,--,--,--,10899490934.32,--,-10497834194.77,--,0.0,4650778924.83,2431763050.06,--,--,--,7082541974.89,14531634484.7,858061192.67,--,0.0,--,15403846620.77,--,-8321304645.88,212049092.89,18437186050.66,0.0,18437186050.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20230325
20220930,--,5138669558.33,--,5128731395.51,--,--,418948997.58,--,1798283072.6,--,-10420639381.56,2741831587.18,1902684000.0,783077598.93,1665172653.96,--,--,22435333356.3,--,-32855972737.86,--,--,410770101.08,--,397190.06,--,--,411167291.14,-5386903198.5,138369956.26,--,--,--,-5248533242.24,--,5659700533.38,--,0.0,--,43948434707.0,--,--,--,44034536707.0,28412974350.79,6061645802.88,--,0.0,--,34474620153.67,--,9559916553.33,557926340.91,-17078429310.24,0.0,-17078429310.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221029
20220630,--,18808020605.86,--,5219847531.93,--,--,2522412203.82,5045256246.48,4099576367.87,--,46397024012.63,952466650.01,--,421928757.8,1999654106.52,--,--,9332459084.54,--,37064564928.09,--,--,964641775.97,--,113819.54,--,--,964755595.51,12644984231.0,93717645.04,--,--,--,12738701876.04,--,-11773946280.53,--,10700000000.0,--,13465101869.65,--,--,--,24165101869.65,29711257250.09,2136870059.59,--,6000000000.0,--,37848127309.68,--,-13683025440.03,501467228.4,12109060435.93,0.0,12109060435.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220827
20220331,--,7681975437.06,--,5564818941.35,990446000.0,--,1286751792.8,6167659102.43,9709558600.49,--,31401209874.13,2600251779.16,--,1085146577.33,4297765237.15,388940846.73,--,10150235459.66,--,21250974414.47,--,--,324248837.33,--,901382.47,--,--,325150219.8,2786771353.04,56094098.39,--,--,--,2842865451.43,--,-2517715231.63,--,4300000000.0,--,11259581061.34,--,--,--,15559581061.34,12941638131.45,2187567597.05,--,9000000000.0,--,24129205728.5,--,-8569624667.16,-84613898.84,10079020616.84,111737944929.04,121816965545.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220425
20211231,--,--,--,6595312009.86,--,1407806573.01,1803786346.84,-4649980540.88,--,--,5156924388.83,1174843560.03,-2230000000.0,1241198011.14,-369898838.28,--,--,5481009136.13,--,-324084747.3,--,9912250846.45,231690364.9,--,1237616.2,--,--,10145178827.55,--,252808548.87,--,--,--,252808548.87,--,9892370278.68,--,--,-4298340372.65,13815793189.09,--,--,--,9517452816.44,27383062762.41,922881017.62,--,--,--,28305943780.03,--,-18788490963.59,-249333029.8,-9469538462.01,0.0,-9469538462.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220328
20210930,--,--,--,6679849797.99,--,-13366580272.92,8273652252.27,7350601383.96,--,--,8937523161.3,1619200740.61,0.0,1126554636.26,4910532607.82,18375517151.78,--,19944581507.26,--,-11007058345.96,--,-621860517.85,608816101.12,--,46124.06,--,--,-12998292.67,--,48199825.14,--,--,--,48199825.14,--,-61198117.81,--,--,-11041909045.83,76098677974.75,--,--,--,65056768928.92,42702765531.29,4978831594.38,--,--,--,47681597125.67,--,17375171803.25,96546719.66,6403462059.14,0.0,6403462059.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211026
20210630,--,--,--,5850883785.42,--,24512910221.43,7004719674.03,6812235775.94,--,--,44180749456.82,2081958067.98,0.0,535195579.15,4832956535.59,--,--,52884360877.77,--,-8703611420.95,--,-6512234490.24,828728470.14,--,46918.97,--,--,-5683459101.13,--,69897782.03,--,--,--,69897782.03,--,-5753356883.16,--,--,10666571327.39,40927547980.0,--,--,--,51594119307.39,28492308275.66,1816691922.57,--,--,--,30309000198.23,--,21285119109.16,-128384476.84,6699766328.21,0.0,6699766328.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210828
20210331,--,--,--,5575189399.48,--,8340375171.77,6741728667.22,1911790902.91,--,--,22569084141.38,2274458801.87,6500000000.0,832647541.35,2562790914.03,--,--,43727383667.47,--,-21158299526.09,--,8814181975.49,963121937.45,--,139878.63,--,--,9777443791.57,--,41853114.12,--,--,--,41853114.12,--,9735590677.45,--,--,7537328589.02,44223450000.0,--,--,--,51760778589.02,34157241799.22,1757022527.03,--,--,--,35914264326.25,--,15846514262.77,-12920853.12,4410884561.01,103693370442.69,108104255003.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210428
20201231,--,--,--,5346948466.44,--,-19136861927.3,6656871004.22,11620145717.04,--,--,8487103260.4,1144103404.73,--,1167266422.35,4888581413.87,-11461032111.02,--,-11082456733.74,--,19569559994.14,--,-5118731405.95,572755468.85,--,192087.52,--,--,-4545783849.58,--,228767987.25,--,--,--,228767987.25,--,-4774551836.83,--,0.0,-7938353787.84,28582332430.0,0.0,--,--,20643978642.16,24557709598.26,3643870853.67,--,--,--,28201580451.93,--,-7557601809.77,-472922437.26,6764483910.28,0.0,6764483910.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210327
20200930,--,--,--,6037044408.35,--,--,1247098599.85,416974811.18,--,--,31814901624.16,2694632202.69,2590000000.0,761683843.43,2850969103.37,35299881334.28,--,69293539477.61,--,-37478637853.45,--,2943696917.08,533408642.33,--,398825.99,--,--,3477504385.4,--,97638042.02,--,--,--,97638042.02,--,3379866343.38,--,--,--,48037100000.0,0.0,--,--,71209131086.25,29660939830.45,589114014.7,--,--,--,30250053845.15,--,40959077241.1,-410026250.9,6450279480.13,0.0,6450279480.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201030
