报告期,营业收入*,手续费及佣金净收入,代理买卖证券业务净收入,证券承销业务净收入,受托客户资产管理业务净收入,利息净收入,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,7160799834.0,3397136882.0,1944986258.0,999119928.0,348439046.0,1127894372.0,1348584089.0,307702496.0,--,-266193717.0,-74133232.0,-6429591.0,1634058332.0,-117301.0,4656214813.0,4656214813.0,46835344.0,2968348715.0,-6220404.0,1647144043.0,--,--,2504585021.0,2202303.0,36118961.0,--,--,--,2470668363.0,409641139.0,--,--,--,2061027224.0,5898065.0,2055129159.0,522888141.0,2583915365.0,216593639.0,2367321726.0,--,0.22,0.21,20221029
20220630,11404396992.0,3462198878.0,1957917296.0,1074617999.0,277799712.0,1273495401.0,2446337000.0,276401932.0,--,1243258659.0,39139749.0,63448511.0,2876928404.0,-409610.0,6496786099.0,6496786099.0,66774035.0,3480030029.0,16038613.0,2899320446.0,--,--,4907610893.0,4179609.0,10609706.0,--,--,--,4901180796.0,1015398298.0,--,--,--,3885782498.0,31904139.0,3853878359.0,707107372.0,4592889870.0,210316818.0,4382573052.0,--,0.42,0.41,20220827
20220331,8149548182.0,3393090045.0,1946820561.0,999220070.0,309287551.0,1249141468.0,-681974170.0,109883472.0,--,960366191.0,19251889.0,653240316.0,2556207310.0,225133.0,4920631810.0,4920631810.0,52262649.0,2675707839.0,2820237.0,2426827680.0,--,--,3228916372.0,3173074.0,3714092.0,--,--,--,3228375354.0,703448712.0,--,--,--,2524926642.0,6011063.0,2518915579.0,-485634038.0,2039292604.0,-23014662.0,2062307266.0,--,0.27,0.27,20220430
20211231,10910530289.0,4678403558.0,2405273855.0,1672776635.0,364544434.0,1212258540.0,5112208178.0,150652940.0,--,-2789854226.0,28645556.0,14877461.0,2655368786.0,-1377564.0,6557009698.0,6557009698.0,52733622.0,3832570237.0,-33683423.0,2689519801.0,--,--,4353520591.0,22783971.0,158209407.0,--,--,--,4218095155.0,852782743.0,--,--,--,3365312412.0,-12889610.0,3378202022.0,-190351058.0,3174961354.0,-73750159.0,3248711513.0,--,0.36,0.36,20220331
20210930,9988408254.0,4076479857.0,2862107290.0,696740349.0,396855536.0,1221118907.0,238930959.0,150731171.0,--,2490300803.0,-37787014.0,27875293.0,1971526592.0,-37143.0,5308994590.0,5308994590.0,64787278.0,3362405889.0,18057353.0,1968338597.0,--,--,4679413664.0,966260.0,-6366105.0,--,--,--,4686746029.0,995832777.0,--,--,--,3690913252.0,68836294.0,3622076958.0,103113462.0,3794026714.0,71052554.0,3722974160.0,--,0.4,0.39,20211030
20210630,10974879586.0,3807725508.0,2139499752.0,1013322025.0,522939815.0,1747380784.0,2609302950.0,140740059.0,--,97930434.0,-12395669.0,332734647.0,2362157740.0,30043192.0,6231846714.0,6231846714.0,33376897.0,3464876736.0,-947668.0,2330987398.0,--,--,4743032872.0,-27817915.0,49096820.0,--,--,--,4666118137.0,1006941565.0,--,--,--,3659176572.0,57295665.0,3601880907.0,110168888.0,3769345460.0,11268728.0,3758076732.0,--,0.4,0.39,20210825
20210331,10943320576.0,3387037777.0,2098216256.0,679253814.0,507450211.0,1409794579.0,3658685795.0,96599210.0,--,560191372.0,-50087380.0,219910690.0,1757814462.0,-26719.0,5439473052.0,5439473052.0,39779996.0,3679665730.0,17294655.0,1676538083.0,--,--,5503847524.0,43433820.0,5959656.0,--,--,--,5541321688.0,954181933.0,--,--,--,4587139755.0,175820012.0,4411319743.0,-339417519.0,4247722236.0,190815375.0,4056906861.0,--,0.49,0.48,20210429
20201231,9463491229.0,3730032694.0,1936644303.0,1193001512.0,364231384.0,1174239355.0,3347371363.0,84581827.0,--,-592667690.0,20871694.0,24061219.0,1754349351.0,5233243.0,6701778755.0,6701778755.0,46961311.0,3984011587.0,-10856897.0,1700181957.0,--,--,2761712474.0,9334577.0,26958897.0,--,--,--,2744088154.0,477502749.0,--,--,--,2266585405.0,96613849.0,2169971556.0,-209405073.0,2057180332.0,-11369629.0,2068549961.0,--,0.23,0.24,20210326
20200930,9924901512.0,4723379512.0,2844859991.0,1370402327.0,457180527.0,1662897996.0,2129249006.0,41959895.0,--,254393271.0,48181988.0,11718068.0,1095196087.0,-114416.0,5147442909.0,5147442909.0,46128154.0,3811697997.0,7099306.0,1069340040.0,--,--,4777458603.0,2934036.0,7054995.0,--,--,--,4773337644.0,1035121557.0,--,--,--,3738216087.0,239800953.0,3498415134.0,-378760369.0,3359455718.0,30317085.0,3329138633.0,--,0.39,0.37,20201029
20200630,9667190818.0,2622255034.0,1600526459.0,638172939.0,307722903.0,1423530594.0,1916023696.0,25880173.0,--,2094774988.0,98109312.0,183397457.0,1312208295.0,--,4736364271.0,4736364271.0,37002100.0,3348489402.0,-35244552.0,1320283669.0,--,--,4930826547.0,2245353.0,59717247.0,--,--,--,4873354653.0,961975188.0,--,--,--,3911379465.0,283753335.0,3627626130.0,-377457623.0,3533921842.0,218739550.0,3315182292.0,--,0.39,0.39,20200813
