报告期,营业收入*,利息净收入,利息收入,减:利息支出,手续费及佣金净收入,手续费及佣金收入,减:手续费及佣金支出,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,41673295000.0,29379544000.0,69827220000.0,40447676000.0,5112258000.0,5450286000.0,338028000.0,5895530000.0,--,--,166349000.0,899952000.0,182429000.0,37778000.0,-545000.0,23238448000.0,404717000.0,8410331000.0,--,219000.0,--,--,18434847000.0,36273000.0,29018000.0,--,--,--,18442102000.0,1248708000.0,--,--,--,17193394000.0,26422000.0,17166972000.0,-105513000.0,17087881000.0,26422000.0,17061459000.0,--,1.21,1.09,20221027
20220630,27941662000.0,20229354000.0,47139179000.0,26909825000.0,3491540000.0,3701422000.0,209882000.0,4035116000.0,--,--,-301513000.0,442492000.0,26376000.0,18453000.0,-156000.0,14295113000.0,267975000.0,5237758000.0,--,120000.0,--,--,13646549000.0,28305000.0,20672000.0,--,--,--,13654182000.0,960626000.0,--,--,--,12693556000.0,19250000.0,12674306000.0,-597939000.0,12095617000.0,19250000.0,12076367000.0,--,0.89,0.8,20220826
20220331,14228686000.0,10234123000.0,23773305000.0,13539182000.0,2026157000.0,2130245000.0,104088000.0,2109567000.0,--,--,-227995000.0,63440000.0,9930000.0,13495000.0,-31000.0,8037615000.0,157834000.0,2565752000.0,--,86000.0,--,--,6191071000.0,19932000.0,2363000.0,--,--,--,6208640000.0,347086000.0,--,--,--,5861554000.0,8375000.0,5853179000.0,70656000.0,5932210000.0,8375000.0,5923835000.0,--,0.41,0.37,20220429
20211231,56229904000.0,40437503000.0,93017393000.0,52579890000.0,9047039000.0,9582417000.0,535378000.0,7579868000.0,--,--,-662686000.0,-316822000.0,69638000.0,62737000.0,12627000.0,32671895000.0,605199000.0,12098439000.0,--,1875000.0,--,--,23558009000.0,79156000.0,82567000.0,--,--,--,23554598000.0,1474230000.0,--,--,--,22080368000.0,37916000.0,22042452000.0,-880684000.0,21199684000.0,38695000.0,21160989000.0,--,1.48,1.35,20220422
20210930,41455916000.0,28885865000.0,67723058000.0,38837193000.0,6090224000.0,6501271000.0,411047000.0,6240292000.0,--,--,462434000.0,-309365000.0,50141000.0,38295000.0,-1970000.0,23606537000.0,437473000.0,7911619000.0,--,1127000.0,--,--,17849379000.0,52048000.0,56811000.0,--,--,--,17844616000.0,1173096000.0,--,--,--,16671520000.0,27210000.0,16644310000.0,-938819000.0,15732701000.0,27524000.0,15705177000.0,--,1.17,1.07,20211028
20210630,27704556000.0,19138091000.0,44648847000.0,25510756000.0,4290570000.0,4538211000.0,247641000.0,3384653000.0,--,--,1101842000.0,-268214000.0,31126000.0,28329000.0,-1841000.0,14178571000.0,289283000.0,5145211000.0,--,1025000.0,--,--,13525985000.0,37347000.0,28456000.0,--,--,--,13534876000.0,1237522000.0,--,--,--,12297354000.0,19252000.0,12278102000.0,-1097480000.0,11199874000.0,19566000.0,11180308000.0,--,0.86,0.8,20210820
20210331,13821572000.0,9381602000.0,21873593000.0,12491991000.0,1957416000.0,2086204000.0,128788000.0,1468643000.0,--,--,1237553000.0,-245162000.0,8183000.0,13824000.0,-487000.0,7698272000.0,147098000.0,2382097000.0,--,416000.0,--,--,6123300000.0,8595000.0,10815000.0,--,--,--,6121080000.0,557880000.0,--,--,--,5563200000.0,9489000.0,5553711000.0,-1436622000.0,4126578000.0,9803000.0,4116775000.0,--,0.39,0.37,20210430
20201231,50746123000.0,36394280000.0,84185991000.0,47791711000.0,5608546000.0,6338962000.0,730416000.0,8066980000.0,--,--,1363876000.0,-824509000.0,86329000.0,56624000.0,-6003000.0,28424744000.0,543217000.0,9607345000.0,--,449000.0,--,--,22321379000.0,184338000.0,95788000.0,--,--,--,22409929000.0,1495058000.0,--,--,--,20914871000.0,29809000.0,20885062000.0,-473173000.0,20441698000.0,29809000.0,20411889000.0,--,1.4,1.4,20210424
20200930,37535511000.0,27011832000.0,62592105000.0,35580273000.0,4403784000.0,4896860000.0,493076000.0,6595712000.0,--,--,-54267000.0,-522549000.0,60042000.0,41241000.0,-284000.0,21649566000.0,406539000.0,6648293000.0,--,251000.0,--,--,15885945000.0,148561000.0,39454000.0,--,--,--,15995052000.0,918294000.0,--,--,--,15076758000.0,24849000.0,15051909000.0,738035000.0,15814793000.0,24849000.0,15789944000.0,--,1.06,1.06,20201024
20200630,25411782000.0,17664311000.0,41546904000.0,23882593000.0,3071344000.0,3352331000.0,280987000.0,5026385000.0,--,--,-276120000.0,-146999000.0,47179000.0,25714000.0,-32000.0,13222203000.0,266803000.0,4376578000.0,--,146000.0,--,--,12189579000.0,102562000.0,36772000.0,--,--,--,12255369000.0,1107243000.0,--,--,--,11148126000.0,16884000.0,11131242000.0,491004000.0,11639130000.0,16884000.0,11622246000.0,--,0.78,0.78,20200822
20200331,13085767000.0,8547989000.0,20805458000.0,12257469000.0,1601524000.0,1733462000.0,131938000.0,2157964000.0,--,--,1232639000.0,-467604000.0,944000.0,11964000.0,347000.0,7442979000.0,132275000.0,2091756000.0,--,248000.0,--,--,5642788000.0,53624000.0,23080000.0,--,--,--,5673332000.0,428339000.0,--,--,--,5244993000.0,7789000.0,5237204000.0,353644000.0,5598637000.0,7789000.0,5590848000.0,--,0.37,0.37,20200429
20191231,49800292000.0,31763989000.0,80054475000.0,48290486000.0,5123819000.0,5964975000.0,841156000.0,11075168000.0,--,--,1363173000.0,306655000.0,66764000.0,109209000.0,-8485000.0,27569879000.0,470956000.0,9948556000.0,--,1266000.0,--,--,22230413000.0,240460000.0,93784000.0,--,--,--,22377089000.0,2044230000.0,--,--,--,20332859000.0,35271000.0,20297588000.0,1409140000.0,21741999000.0,35271000.0,21706728000.0,--,1.36,1.36,20200425
20190930,37881297000.0,22021086000.0,57883092000.0,35862006000.0,4957640000.0,5519902000.0,562262000.0,8578986000.0,--,--,1945908000.0,233804000.0,50144000.0,94698000.0,-969000.0,19584442000.0,347536000.0,7057249000.0,--,981000.0,--,--,18296855000.0,188945000.0,49784000.0,--,--,--,18436016000.0,2039902000.0,--,--,--,16396114000.0,36954000.0,16359160000.0,883227000.0,17279341000.0,36954000.0,17242387000.0,--,1.15,1.15,20191026
20190630,25150585000.0,14293675000.0,37748607000.0,23454932000.0,3404260000.0,3753694000.0,349434000.0,5926999000.0,--,--,1559064000.0,-133394000.0,29561000.0,70697000.0,-277000.0,13145829000.0,225731000.0,4613373000.0,--,625000.0,--,--,12004756000.0,98112000.0,34310000.0,--,--,--,12068558000.0,1328873000.0,--,--,--,10739685000.0,26118000.0,10713567000.0,496321000.0,11236006000.0,26118000.0,11209888000.0,--,0.75,0.75,20190824
20190331,13015439000.0,6820627000.0,18493867000.0,11673240000.0,1824991000.0,1984184000.0,159193000.0,2732829000.0,--,--,1869153000.0,-276492000.0,3464000.0,40850000.0,17000.0,7398452000.0,101276000.0,2050493000.0,--,303000.0,--,--,5616987000.0,40135000.0,19495000.0,--,--,--,5637627000.0,602504000.0,--,--,--,5035123000.0,15625000.0,5019498000.0,127296000.0,5162419000.0,15625000.0,5146794000.0,--,0.35,0.35,20190427
20181231,43887822000.0,29936829000.0,75877060000.0,45940231000.0,5979539000.0,6744495000.0,764956000.0,7906133000.0,--,--,4652482000.0,-4718719000.0,42998000.0,95427000.0,-6867000.0,24803503000.0,446728000.0,9006391000.0,--,18483000.0,--,--,19084319000.0,199037000.0,31484000.0,--,--,--,19251872000.0,1184037000.0,--,--,--,18067835000.0,33795000.0,18034040000.0,1180474000.0,19248309000.0,15478000.0,19232831000.0,--,1.2,1.2,20190420
20180930,31629713000.0,20758175000.0,55376666000.0,34618491000.0,4489052000.0,4941023000.0,451971000.0,6682006000.0,--,--,5768420000.0,-6186583000.0,35345000.0,84752000.0,-1454000.0,16381296000.0,311675000.0,6412499000.0,--,18175000.0,--,--,15248417000.0,144027000.0,7607000.0,--,--,--,15384837000.0,1077117000.0,--,--,--,14307720000.0,31277000.0,14276443000.0,541480000.0,14849200000.0,14252000.0,14834948000.0,--,1.0,1.0,20181027
20180630,19749818000.0,12764512000.0,35794431000.0,23029919000.0,3120772000.0,3394208000.0,273436000.0,4485719000.0,--,--,5399354000.0,-6079570000.0,5291000.0,54809000.0,-1069000.0,9819937000.0,193152000.0,4002081000.0,--,5576000.0,--,--,9929881000.0,80772000.0,3330000.0,--,--,--,10007323000.0,618499000.0,--,--,--,9388824000.0,17077000.0,9371747000.0,228594000.0,9617418000.0,8393000.0,9609025000.0,--,0.66,0.66,20180825
20180331,9155512000.0,5932741000.0,17261213000.0,11328472000.0,1649562000.0,1783857000.0,134295000.0,2275845000.0,--,--,-1154958000.0,429984000.0,2109000.0,19956000.0,273000.0,4544879000.0,92259000.0,1813911000.0,--,5193000.0,--,--,4610633000.0,40355000.0,1498000.0,--,--,--,4649490000.0,242892000.0,--,--,--,4406598000.0,8331000.0,4398267000.0,58979000.0,4465577000.0,3754000.0,4461823000.0,--,0.4,0.4,20180428
20171231,33124995000.0,19117309000.0,60082285000.0,40964976000.0,6255786000.0,6785558000.0,529772000.0,9636523000.0,--,--,-5569912000.0,3535189000.0,29105000.0,111090000.0,9905000.0,17139272000.0,343679000.0,8105358000.0,--,18920000.0,--,--,15985723000.0,122727000.0,25988000.0,--,--,--,16082462000.0,745669000.0,--,--,--,15336793000.0,8294000.0,15328499000.0,-1056287000.0,14280506000.0,19538000.0,14260968000.0,--,1.4,1.4,20180421
20170930,24428239000.0,14032531000.0,44000880000.0,29968349000.0,4616923000.0,4923537000.0,306614000.0,7065368000.0,--,--,-3617268000.0,2254866000.0,--,74175000.0,1644000.0,12493673000.0,256065000.0,5764327000.0,--,8927000.0,--,--,11934566000.0,121605000.0,7362000.0,--,--,--,12048809000.0,401284000.0,--,--,--,11647525000.0,-10049000.0,11657574000.0,-233038000.0,11414487000.0,-3705000.0,11418192000.0,--,1.07,1.07,20171028
20170630,15396008000.0,9205299000.0,29001044000.0,19795745000.0,3189649000.0,3363738000.0,174089000.0,4050170000.0,--,--,-3750300000.0,2654434000.0,--,44421000.0,2335000.0,7342566000.0,175419000.0,3715395000.0,--,8558000.0,--,--,8053442000.0,78083000.0,4475000.0,--,--,--,8127050000.0,320842000.0,--,--,--,7806208000.0,10351000.0,7795857000.0,222751000.0,8028959000.0,13823000.0,8015136000.0,--,0.71,0.71,20170826
20170331,8185017000.0,5234160000.0,14974258000.0,9740098000.0,1681606000.0,1761089000.0,79483000.0,1891921000.0,--,--,-2030095000.0,1388380000.0,--,19148000.0,-103000.0,4057566000.0,89162000.0,1685039000.0,--,4005000.0,--,--,4127451000.0,29039000.0,1619000.0,--,--,--,4154871000.0,275310000.0,--,--,--,3879561000.0,5142000.0,3874419000.0,196705000.0,4076266000.0,7944000.0,4068322000.0,--,0.5,0.5,20170428
20161231,34403517000.0,25998109000.0,60651931000.0,34653822000.0,6156844000.0,6484309000.0,327465000.0,1648500000.0,--,--,2119075000.0,-1609515000.0,--,95800000.0,-5296000.0,18195608000.0,714649000.0,7875911000.0,--,28704000.0,--,--,16207909000.0,181290000.0,69826000.0,--,--,--,16319373000.0,1994309000.0,--,--,--,14325064000.0,16799000.0,14308265000.0,-1397034000.0,12928030000.0,10595000.0,12917435000.0,--,2.01,2.01,20170424
