报告期,资产*,货币资金,拆出资金,金融投资,其中:交易性金融资产,债权投资,其他债权投资,其他权益工具投资,以摊余成本计量的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,衍生金融资产,买入返售金融资产,持有待售的资产,应收保费,应收利息,应收代位追偿款,应收分保账款,应收分保未到期责任准备金,应收分保未决赔款准备金,应收分保寿险责任准备金,应收分保长期健康险责任准备金,应收款项,合同资产,保户质押贷款,可供出售金融资产,持有至到期投资,长期股权投资,存出资本保证金,应收款项类投资,固定资产,在建工程,无形资产,商誉,独立账户资产,递延所得税资产,投资性房地产,定期存款,其他资产,资产差额(特殊报表科目),资产差额(合计平衡项目),资产总计*,负债*,短期借款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,预收保费,应付手续费及佣金,应付分保账款,应付职工薪酬,应交税费,应付利息,应付款项,合同负债,持有待售的负债,应付赔付款,应付保单红利,存入保证金,保户储金及投资款,未到期责任准备金,未决赔款准备金,寿险责任准备金,长期健康险责任准备金,长期借款,应付债券,独立账户负债,递延所得税负债,预计负债,其他负债,负债差额(特殊报表科目),负债差额(合计平衡项目),负债合计*,所得者权益(或股东权益)*,股本,其他权益工具,其中:优先股,永绩债,资本公积金,减:库存股,其他综合收益,盈余公积金,未分配利润,一般风险准备,外币报表折算差额,未确认的投资损失,股东权益差额(特殊报表科目),股东权益差额(合计平衡项目),归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),负债及股东权益总计*,公告日期#
20220930,--,548126000000.0,97273000000.0,5169243000000.0,1513444000000.0,3003578000000.0,406461000000.0,245760000000.0,--,--,62495000000.0,65219000000.0,--,77870000000.0,--,--,12270000000.0,--,--,--,--,--,--,185666000000.0,--,--,280081000000.0,14514000000.0,--,40168000000.0,--,29564000000.0,23084000000.0,24767000000.0,85799000000.0,120633000000.0,291801000000.0,155757000000.0,3465796000000.0,--,10762211000000.0,--,119985000000.0,46262000000.0,117731000000.0,66107000000.0,315082000000.0,15610000000.0,9662000000.0,16877000000.0,42926000000.0,25549000000.0,--,--,--,--,81679000000.0,69923000000.0,--,867863000000.0,--,--,--,--,157329000000.0,940780000000.0,24767000000.0,13245000000.0,--,292974000000.0,6413642000000.0,--,9650517000000.0,--,18280000000.0,--,--,--,127237000000.0,10996000000.0,-10898000000.0,12164000000.0,600646000000.0,102366000000.0,--,--,--,--,838799000000.0,272895000000.0,1111694000000.0,--,--,10762211000000.0,20221027
20220630,--,573479000000.0,138322000000.0,5165398000000.0,1508583000000.0,2973698000000.0,405413000000.0,277704000000.0,--,--,28740000000.0,36783000000.0,--,80995000000.0,--,--,12229000000.0,--,--,--,--,--,--,183975000000.0,--,--,282715000000.0,14202000000.0,--,41120000000.0,--,28745000000.0,23162000000.0,28565000000.0,74234000000.0,120789000000.0,285039000000.0,167944000000.0,3397564000000.0,--,10696148000000.0,--,128105000000.0,48291000000.0,99608000000.0,31799000000.0,282490000000.0,15467000000.0,9822000000.0,17571000000.0,39865000000.0,22226000000.0,--,--,--,--,80238000000.0,69894000000.0,--,862951000000.0,--,--,--,--,151055000000.0,927063000000.0,28565000000.0,13724000000.0,--,301489000000.0,6436042000000.0,--,9578885000000.0,--,18280000000.0,--,--,--,126904000000.0,10996000000.0,-1024000000.0,12164000000.0,601368000000.0,102023000000.0,--,--,--,--,848719000000.0,268544000000.0,1117263000000.0,--,--,10696148000000.0,20220824
20220331,--,598238000000.0,131790000000.0,5036977000000.0,1478215000000.0,2845968000000.0,433067000000.0,279727000000.0,--,--,31230000000.0,70007000000.0,--,79279000000.0,--,--,18729000000.0,--,--,--,--,--,--,181473000000.0,--,--,281814000000.0,12598000000.0,--,44605000000.0,--,29163000000.0,23163000000.0,28848000000.0,68139000000.0,106578000000.0,288897000000.0,160095000000.0,3336447000000.0,--,10541097000000.0,--,124901000000.0,43630000000.0,87734000000.0,34290000000.0,184268000000.0,15952000000.0,10535000000.0,26495000000.0,37806000000.0,27066000000.0,--,--,--,--,77514000000.0,68990000000.0,--,848382000000.0,--,--,--,--,172139000000.0,1029398000000.0,28848000000.0,13303000000.0,--,289804000000.0,6309615000000.0,--,9444019000000.0,--,18280000000.0,--,--,--,125688000000.0,9895000000.0,-3833000000.0,12164000000.0,589469000000.0,101642000000.0,--,--,--,--,833515000000.0,263563000000.0,1097078000000.0,--,--,10541097000000.0,20220430
20211231,--,535067000000.0,95443000000.0,4892417000000.0,1426677000000.0,2768995000000.0,428530000000.0,268215000000.0,--,--,30957000000.0,61429000000.0,--,79834000000.0,--,--,16276000000.0,--,--,--,--,--,--,178298000000.0,--,--,284061000000.0,12606000000.0,--,45823000000.0,--,29638000000.0,23175000000.0,36002000000.0,65360000000.0,101690000000.0,242968000000.0,151239000000.0,3245558000000.0,--,10142026000000.0,--,116102000000.0,40998000000.0,57376000000.0,35049000000.0,127477000000.0,43784000000.0,9702000000.0,23028000000.0,45759000000.0,25915000000.0,--,--,--,--,74253000000.0,67276000000.0,--,825057000000.0,--,--,--,--,171682000000.0,1097523000000.0,36002000000.0,13605000000.0,--,288797000000.0,5950710000000.0,--,9064303000000.0,--,18280000000.0,--,--,--,130407000000.0,9895000000.0,-9166000000.0,12164000000.0,569507000000.0,101108000000.0,--,--,--,--,812405000000.0,265318000000.0,1077723000000.0,--,--,10142026000000.0,20220318
20210930,--,560400000000.0,118510000000.0,4810776000000.0,1365378000000.0,2778768000000.0,402829000000.0,263801000000.0,--,--,30415000000.0,70726000000.0,--,86878000000.0,--,--,17106000000.0,--,--,--,--,--,--,174965000000.0,--,--,279529000000.0,12691000000.0,--,41101000000.0,--,29545000000.0,23299000000.0,39871000000.0,65280000000.0,107302000000.0,258303000000.0,171803000000.0,3166361000000.0,--,10079460000000.0,--,126833000000.0,42489000000.0,53734000000.0,36702000000.0,155837000000.0,16287000000.0,10629000000.0,26725000000.0,42544000000.0,26577000000.0,--,--,--,--,71775000000.0,66808000000.0,--,815963000000.0,--,--,--,--,193518000000.0,1080407000000.0,39871000000.0,14028000000.0,--,296413000000.0,5898240000000.0,--,9030080000000.0,--,18280000000.0,--,--,--,129946000000.0,8862000000.0,-10123000000.0,12164000000.0,560363000000.0,90272000000.0,--,--,--,--,792040000000.0,257340000000.0,1049380000000.0,--,--,10079460000000.0,20211028
20210630,--,551319000000.0,106005000000.0,4755653000000.0,1304648000000.0,2723836000000.0,448548000000.0,278621000000.0,--,--,32277000000.0,104886000000.0,--,93371000000.0,--,--,14411000000.0,--,--,--,--,--,--,171800000000.0,--,--,269597000000.0,12640000000.0,--,41037000000.0,--,29190000000.0,23328000000.0,43820000000.0,60700000000.0,60269000000.0,253135000000.0,185582000000.0,3063699000000.0,--,9887668000000.0,--,130758000000.0,35374000000.0,56597000000.0,37838000000.0,159000000000.0,16117000000.0,11347000000.0,20907000000.0,37890000000.0,24309000000.0,--,--,--,--,69692000000.0,66547000000.0,--,806299000000.0,--,--,--,--,195625000000.0,1071481000000.0,43820000000.0,11313000000.0,--,271724000000.0,5777192000000.0,--,8858754000000.0,--,18280000000.0,--,--,--,129787000000.0,5995000000.0,-5377000000.0,12164000000.0,553623000000.0,89354000000.0,--,--,--,--,791836000000.0,237078000000.0,1028914000000.0,--,--,9887668000000.0,20210827
20210331,--,565054000000.0,78596000000.0,4708695000000.0,1238726000000.0,2673033000000.0,497295000000.0,299641000000.0,--,--,36160000000.0,113398000000.0,--,94368000000.0,--,--,13662000000.0,--,--,--,--,--,--,167070000000.0,--,--,268697000000.0,12589000000.0,--,41577000000.0,--,29679000000.0,23337000000.0,47869000000.0,55886000000.0,60428000000.0,260096000000.0,185421000000.0,2973310000000.0,--,9751371000000.0,--,144617000000.0,25189000000.0,60893000000.0,43314000000.0,219241000000.0,16131000000.0,11415000000.0,19581000000.0,35890000000.0,27676000000.0,--,--,--,--,66879000000.0,65606000000.0,--,795643000000.0,--,--,--,--,202092000000.0,955004000000.0,47869000000.0,14459000000.0,--,291958000000.0,5687916000000.0,--,8746630000000.0,--,18280000000.0,--,--,--,134701000000.0,5995000000.0,834000000.0,12164000000.0,522959000000.0,89236000000.0,--,--,--,--,772179000000.0,232562000000.0,1004741000000.0,--,--,9751371000000.0,20210423
20201231,--,526301000000.0,70996000000.0,4644966000000.0,1231331000000.0,2624848000000.0,511386000000.0,277401000000.0,--,--,37661000000.0,122765000000.0,--,94003000000.0,--,--,11840000000.0,--,--,--,--,--,--,161381000000.0,--,--,267819000000.0,12561000000.0,--,41849000000.0,--,27490000000.0,23031000000.0,53059000000.0,61901000000.0,57154000000.0,253518000000.0,184489000000.0,2858914000000.0,--,9527870000000.0,--,134753000000.0,41334000000.0,37217000000.0,48579000000.0,276602000000.0,48442000000.0,10001000000.0,15991000000.0,43495000000.0,26060000000.0,--,--,--,--,65094000000.0,63806000000.0,--,768975000000.0,--,--,--,--,205824000000.0,901285000000.0,53059000000.0,19267000000.0,--,269309000000.0,5495252000000.0,--,8539965000000.0,--,18280000000.0,--,--,--,134474000000.0,5995000000.0,-6829000000.0,12164000000.0,521677000000.0,88789000000.0,--,--,--,--,762560000000.0,225345000000.0,987905000000.0,--,--,9527870000000.0,20210204
20200930,--,508497000000.0,98797000000.0,4413947000000.0,1060413000000.0,2570357000000.0,536483000000.0,246694000000.0,--,--,31650000000.0,92917000000.0,--,98114000000.0,--,--,13864000000.0,--,--,--,--,--,--,156702000000.0,--,--,236685000000.0,12611000000.0,--,41303000000.0,--,28567000000.0,21224000000.0,50873000000.0,56243000000.0,51402000000.0,253265000000.0,203184000000.0,2751926000000.0,--,9138318000000.0,--,115811000000.0,62158000000.0,56681000000.0,42984000000.0,311723000000.0,16550000000.0,11133000000.0,17717000000.0,40393000000.0,27039000000.0,--,--,--,--,63581000000.0,63466000000.0,--,753281000000.0,--,--,--,--,210463000000.0,824973000000.0,50873000000.0,8718000000.0,--,267600000000.0,5241311000000.0,--,8202687000000.0,--,18280000000.0,--,--,--,128176000000.0,5995000000.0,-13364000000.0,12164000000.0,497369000000.0,73039000000.0,--,--,--,--,709669000000.0,225962000000.0,935631000000.0,--,--,9138318000000.0,20201028
20200630,--,473832000000.0,83818000000.0,4278126000000.0,1042849000000.0,2454217000000.0,501943000000.0,279117000000.0,--,--,35750000000.0,93896000000.0,--,95901000000.0,--,--,12159000000.0,--,--,--,--,--,--,152317000000.0,--,--,223585000000.0,12570000000.0,--,41555000000.0,--,27832000000.0,20859000000.0,50398000000.0,56219000000.0,53214000000.0,246706000000.0,216949000000.0,2656356000000.0,--,8848631000000.0,--,118692000000.0,39296000000.0,76464000000.0,46377000000.0,229989000000.0,16896000000.0,11554000000.0,16458000000.0,35290000000.0,23125000000.0,--,--,--,--,62731000000.0,63042000000.0,--,736582000000.0,--,--,--,--,216254000000.0,785825000000.0,50398000000.0,15741000000.0,--,256427000000.0,5109119000000.0,--,7926460000000.0,--,18280000000.0,--,--,--,125285000000.0,5995000000.0,1620000000.0,12164000000.0,477654000000.0,72964000000.0,--,--,--,--,701972000000.0,220199000000.0,922171000000.0,--,--,8848631000000.0,20200828
