报告期,经营活动产生的现金流量*,收到原保险合同保费取得的现金,收到再保业务现金净额,收到其他与经营活动有关的现金,保户储金净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付原保险合同赔付款项的现金,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付手续费的现金,支付的各项税费,支付其他与经营活动有关的现金,支付保单红利的现金,投资活动现金流出差额(合计平衡项目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差值(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,质押贷款净增加额,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差值(特殊报表科目),间接法-经营活动现金流量净额差值(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20221231,--,203818000000.0,--,5087000000.0,-11000000.0,--,263655000000.0,--,472549000000.0,72545000000.0,16499000000.0,--,40095000000.0,12202000000.0,61991000000.0,3130000000.0,--,--,332456000000.0,125994000000.0,140093000000.0,35347000000.0,564314000000.0,63387000000.0,267000000.0,139000000.0,263000000.0,--,628370000000.0,549016000000.0,3051000000.0,3336000000.0,--,--,--,593023000000.0,--,35347000000.0,--,733000000.0,52748000000.0,172933000000.0,6402000000.0,-45996000000.0,--,186820000000.0,264255000000.0,25902000000.0,6276000000.0,4457000000.0,--,300890000000.0,--,-114070000000.0,501000000.0,61871000000.0,0.0,61871000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20230316
20220930,--,182838000000.0,--,55833000000.0,464000000.0,--,37861000000.0,--,276996000000.0,71678000000.0,15932000000.0,--,35695000000.0,11810000000.0,54522000000.0,3240000000.0,--,--,249284000000.0,56407000000.0,27712000000.0,-3245000000.0,461173000000.0,55055000000.0,156000000.0,-1673000000.0,0.0,--,514711000000.0,513542000000.0,1715000000.0,2699000000.0,--,--,--,517956000000.0,--,-3245000000.0,--,16000000.0,27746000000.0,167220000000.0,2389000000.0,-14023000000.0,--,183348000000.0,206061000000.0,7085000000.0,7519000000.0,3266000000.0,--,223931000000.0,--,-40583000000.0,4502000000.0,-11614000000.0,0.0,-11614000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221027
20220630,--,185100000000.0,--,34074000000.0,3131000000.0,--,137170000000.0,--,359475000000.0,64007000000.0,18165000000.0,--,37093000000.0,26107000000.0,37624000000.0,2947000000.0,--,--,288091000000.0,102148000000.0,71384000000.0,-103082000000.0,503477000000.0,64079000000.0,43000000.0,3864000000.0,1000000.0,--,571464000000.0,670757000000.0,2172000000.0,1617000000.0,--,--,--,674546000000.0,--,-103082000000.0,--,2176000000.0,55119000000.0,186542000000.0,7194000000.0,84117000000.0,--,335148000000.0,362135000000.0,36165000000.0,5661000000.0,2061000000.0,--,406022000000.0,--,-70874000000.0,4597000000.0,-97975000000.0,0.0,-97975000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220824
20220331,--,223770000000.0,--,63487000000.0,16378000000.0,--,332544000000.0,--,636179000000.0,73683000000.0,29315000000.0,--,40578000000.0,11195000000.0,37388000000.0,9123000000.0,--,--,389463000000.0,188181000000.0,246716000000.0,-153069000000.0,434568000000.0,49127000000.0,102000000.0,1451000000.0,243000000.0,--,485491000000.0,634159000000.0,3182000000.0,1219000000.0,--,--,--,638560000000.0,--,-153069000000.0,--,179000000.0,50409000000.0,246563000000.0,3851000000.0,96614000000.0,--,397616000000.0,373775000000.0,8639000000.0,7945000000.0,12389000000.0,--,402748000000.0,--,-5132000000.0,-1031000000.0,87484000000.0,403125000000.0,490609000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20211231,--,208232000000.0,--,-6945000000.0,-1986000000.0,--,83767000000.0,--,283068000000.0,71844000000.0,16651000000.0,--,39234000000.0,12600000000.0,-13134000000.0,3235000000.0,--,--,242682000000.0,112252000000.0,40386000000.0,-28822000000.0,513370000000.0,61915000000.0,121000000.0,778000000.0,1309000000.0,--,577493000000.0,599922000000.0,3148000000.0,3115000000.0,--,130000000.0,--,606315000000.0,--,-28822000000.0,--,7850000000.0,32478000000.0,348549000000.0,5289000000.0,--,--,398466000000.0,383300000000.0,26949000000.0,1880000000.0,55948000000.0,--,468077000000.0,--,-69611000000.0,-1154000000.0,-59201000000.0,0.0,-59201000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220318
20210930,--,180217000000.0,--,22186000000.0,2567000000.0,--,151979000000.0,--,356949000000.0,69509000000.0,16171000000.0,--,38867000000.0,10546000000.0,60235000000.0,3032000000.0,--,--,326685000000.0,128325000000.0,30264000000.0,26531000000.0,541146000000.0,58459000000.0,212000000.0,2066000000.0,329000000.0,--,602212000000.0,569980000000.0,3164000000.0,2307000000.0,--,230000000.0,--,575681000000.0,--,26531000000.0,--,29000000.0,46972000000.0,313402000000.0,10921000000.0,--,--,370524000000.0,368020000000.0,12673000000.0,2220000000.0,34830000000.0,--,417743000000.0,--,-47219000000.0,539000000.0,10115000000.0,0.0,10115000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211028
20210630,--,183582000000.0,--,70776000000.0,3930000000.0,--,70973000000.0,--,329261000000.0,60231000000.0,17683000000.0,--,37671000000.0,21836000000.0,101829000000.0,2773000000.0,--,--,374667000000.0,132644000000.0,-45406000000.0,48859000000.0,481218000000.0,59492000000.0,325000000.0,485000000.0,3311000000.0,--,544831000000.0,489680000000.0,4403000000.0,1889000000.0,--,0.0,--,495972000000.0,--,48859000000.0,--,3566000000.0,66334000000.0,298656000000.0,1984000000.0,--,--,371340000000.0,267132000000.0,40354000000.0,5913000000.0,49334000000.0,--,362733000000.0,--,8607000000.0,-2594000000.0,9466000000.0,0.0,9466000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210827
20210331,--,215367000000.0,--,64243000000.0,16865000000.0,--,168369000000.0,--,464844000000.0,67133000000.0,30013000000.0,--,44569000000.0,12211000000.0,65123000000.0,8885000000.0,--,--,399972000000.0,172038000000.0,64872000000.0,-18635000000.0,476743000000.0,53161000000.0,21000000.0,674000000.0,285000000.0,--,530884000000.0,538997000000.0,5641000000.0,4875000000.0,--,6000000.0,--,549519000000.0,--,-18635000000.0,--,2938000000.0,52181000000.0,291569000000.0,4524000000.0,--,--,351212000000.0,316735000000.0,12853000000.0,1296000000.0,48517000000.0,--,379401000000.0,--,-28189000000.0,-51000000.0,17997000000.0,424748000000.0,442745000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210423
20201231,--,211300000000.0,--,29325000000.0,3395000000.0,--,157538000000.0,--,401558000000.0,61580000000.0,15545000000.0,--,41847000000.0,15272000000.0,79904000000.0,3258000000.0,--,--,353796000000.0,136390000000.0,47762000000.0,-113439000000.0,452307000000.0,63591000000.0,53000000.0,558000000.0,-75000000.0,--,516434000000.0,619966000000.0,4889000000.0,4376000000.0,--,642000000.0,--,629873000000.0,--,-113439000000.0,--,1093000000.0,19930000000.0,295948000000.0,1480000000.0,23820000000.0,--,342271000000.0,259213000000.0,16416000000.0,4260000000.0,7382000000.0,--,287271000000.0,--,55000000000.0,-2525000000.0,-13202000000.0,0.0,-13202000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210204
20200930,--,183363000000.0,--,29186000000.0,11106000000.0,--,224812000000.0,--,448467000000.0,63591000000.0,13432000000.0,--,47552000000.0,13447000000.0,67909000000.0,2678000000.0,--,--,314894000000.0,106285000000.0,133573000000.0,-102429000000.0,522273000000.0,52375000000.0,37000000.0,547000000.0,--,--,577083000000.0,672421000000.0,4528000000.0,2308000000.0,--,255000000.0,--,679512000000.0,--,-102429000000.0,--,844000000.0,42069000000.0,280745000000.0,4461000000.0,42628000000.0,--,370747000000.0,296460000000.0,14961000000.0,1899000000.0,1586000000.0,--,314906000000.0,--,55841000000.0,-2969000000.0,84016000000.0,0.0,84016000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201028
