报告期,营业收入*,已赚保费,保费业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保户红利支出,分保费用,营业税金及附加,手续费及佣金支出,管理费用,减:摊回分保费用,其他业务成本,资产减值损失,信用减值损失,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20221231,1110568000000.0,742418000000.0,769633000000.0,132000000.0,21967000000.0,5248000000.0,39710000000.0,10165000000.0,--,-32942000000.0,3342000000.0,2994000000.0,63309000000.0,311000000.0,1004249000000.0,54102000000.0,282122000000.0,14082000000.0,262301000000.0,43000000.0,19599000000.0,26000000.0,5062000000.0,70354000000.0,164700000000.0,6150000000.0,59643000000.0,--,80553000000.0,--,--,106319000000.0,359000000.0,863000000.0,--,--,--,105815000000.0,-1617000000.0,--,--,--,107432000000.0,23658000000.0,83774000000.0,5079000000.0,112511000000.0,24414000000.0,88097000000.0,--,4.8,4.73,20230316
20220930,870202000000.0,584289000000.0,604655000000.0,113000000.0,17191000000.0,3175000000.0,23907000000.0,8284000000.0,--,-9778000000.0,2571000000.0,2103000000.0,48290000000.0,123000000.0,769159000000.0,42255000000.0,209180000000.0,10950000000.0,212838000000.0,581000000.0,16470000000.0,22000000.0,3772000000.0,55247000000.0,119563000000.0,4982000000.0,46134000000.0,--,60087000000.0,--,--,101043000000.0,232000000.0,511000000.0,--,--,--,100764000000.0,5649000000.0,--,--,--,95115000000.0,18652000000.0,76463000000.0,-1769000000.0,93346000000.0,18861000000.0,74485000000.0,--,4.38,4.32,20221027
20220630,612102000000.0,412977000000.0,429289000000.0,55000000.0,11876000000.0,4436000000.0,5537000000.0,6100000000.0,--,12187000000.0,1275000000.0,1633000000.0,32258000000.0,109000000.0,533766000000.0,28410000000.0,138210000000.0,7974000000.0,160168000000.0,-668000000.0,13713000000.0,9000000.0,2443000000.0,39175000000.0,79406000000.0,3720000000.0,30437000000.0,--,39751000000.0,--,--,78336000000.0,146000000.0,397000000.0,--,--,--,78085000000.0,6409000000.0,--,--,--,71676000000.0,11403000000.0,60273000000.0,8461000000.0,80137000000.0,12058000000.0,68079000000.0,--,3.45,3.4,20220824
20220331,305940000000.0,235989000000.0,246607000000.0,33000000.0,7084000000.0,3534000000.0,-9898000000.0,3115000000.0,--,-10732000000.0,497000000.0,819000000.0,16268000000.0,81000000.0,277165000000.0,14859000000.0,74184000000.0,3845000000.0,84104000000.0,120000000.0,10350000000.0,5000000.0,1270000000.0,22738000000.0,40130000000.0,2142000000.0,11695000000.0,--,17501000000.0,--,--,28775000000.0,66000000.0,220000000.0,--,--,--,28621000000.0,1371000000.0,--,--,--,27250000000.0,6592000000.0,20658000000.0,5192000000.0,32442000000.0,6613000000.0,25829000000.0,--,1.18,1.17,20220430
20211231,1180444000000.0,739933000000.0,760843000000.0,148000000.0,30208000000.0,-9298000000.0,103378000000.0,7346000000.0,--,-22613000000.0,1267000000.0,2984000000.0,67055000000.0,14000000.0,1040759000000.0,52931000000.0,268854000000.0,16248000000.0,266815000000.0,3956000000.0,19405000000.0,24000000.0,4570000000.0,80687000000.0,172597000000.0,5908000000.0,67970000000.0,--,90494000000.0,--,--,139685000000.0,579000000.0,684000000.0,--,--,--,139580000000.0,17778000000.0,--,--,--,121802000000.0,20184000000.0,101618000000.0,-2076000000.0,119726000000.0,20445000000.0,99281000000.0,--,5.77,5.72,20220318
20210930,904629000000.0,575592000000.0,591765000000.0,136000000.0,24543000000.0,-8370000000.0,77522000000.0,5685000000.0,--,-18218000000.0,820000000.0,2221000000.0,49634000000.0,26000000.0,790855000000.0,39612000000.0,197024000000.0,11223000000.0,217834000000.0,3864000000.0,16202000000.0,22000000.0,3367000000.0,64268000000.0,123207000000.0,4502000000.0,49874000000.0,--,65240000000.0,--,--,113774000000.0,312000000.0,383000000.0,--,--,--,113703000000.0,16155000000.0,--,--,--,97548000000.0,15910000000.0,81638000000.0,-3031000000.0,94517000000.0,16173000000.0,78344000000.0,--,4.63,4.59,20211028
20210630,635649000000.0,410290000000.0,422498000000.0,99000000.0,13135000000.0,-927000000.0,47442000000.0,2266000000.0,--,-2232000000.0,534000000.0,1300000000.0,33509000000.0,27000000.0,556757000000.0,26154000000.0,127967000000.0,6172000000.0,163403000000.0,2755000000.0,13408000000.0,16000000.0,2243000000.0,46156000000.0,80792000000.0,2977000000.0,33950000000.0,--,47983000000.0,--,--,78892000000.0,196000000.0,267000000.0,--,--,--,78821000000.0,10858000000.0,--,--,--,67963000000.0,9958000000.0,58005000000.0,1723000000.0,69686000000.0,10229000000.0,59457000000.0,--,3.29,3.26,20210827
20210331,340308000000.0,235281000000.0,243941000000.0,82000000.0,7278000000.0,1382000000.0,20501000000.0,2558000000.0,--,-4059000000.0,312000000.0,500000000.0,16199000000.0,33000000.0,301572000000.0,13107000000.0,67880000000.0,3046000000.0,95133000000.0,687000000.0,10163000000.0,13000000.0,1131000000.0,26555000000.0,40918000000.0,1667000000.0,14490000000.0,--,22628000000.0,--,--,38736000000.0,86000000.0,169000000.0,--,--,--,38653000000.0,5642000000.0,--,--,--,33011000000.0,5788000000.0,27223000000.0,7734000000.0,40745000000.0,5859000000.0,34886000000.0,--,1.54,1.53,20210423
20201231,1218315000000.0,757599000000.0,797880000000.0,172000000.0,23077000000.0,17204000000.0,124701000000.0,16845000000.0,--,-4770000000.0,2219000000.0,3398000000.0,64181000000.0,7000000.0,1030011000000.0,36914000000.0,237136000000.0,11503000000.0,303911000000.0,1358000000.0,19001000000.0,18000000.0,4615000000.0,102003000000.0,176426000000.0,6356000000.0,89621000000.0,--,77042000000.0,--,--,188304000000.0,379000000.0,919000000.0,--,--,--,187764000000.0,28405000000.0,--,--,--,159359000000.0,16260000000.0,143099000000.0,-21250000000.0,138109000000.0,15298000000.0,122811000000.0,--,8.1,8.04,20210204
20200930,917070000000.0,588606000000.0,626696000000.0,105000000.0,17672000000.0,20418000000.0,92592000000.0,12969000000.0,--,-14946000000.0,1222000000.0,2394000000.0,46538000000.0,35000000.0,779420000000.0,27052000000.0,175883000000.0,8071000000.0,232631000000.0,805000000.0,15971000000.0,13000000.0,3497000000.0,82116000000.0,130430000000.0,5007000000.0,45627000000.0,--,-57910000000.0,--,--,137650000000.0,261000000.0,538000000.0,--,--,--,137373000000.0,22481000000.0,--,--,--,114892000000.0,11851000000.0,103041000000.0,-27616000000.0,87276000000.0,11059000000.0,76217000000.0,--,5.83,5.79,20201028
20200630,629956000000.0,415754000000.0,445505000000.0,67000000.0,12069000000.0,17682000000.0,55945000000.0,8007000000.0,--,-4863000000.0,140000000.0,1501000000.0,30889000000.0,59000000.0,538931000000.0,17300000000.0,113098000000.0,4885000000.0,177676000000.0,963000000.0,13374000000.0,5000000.0,2388000000.0,57349000000.0,80884000000.0,3400000000.0,30772000000.0,--,40526000000.0,--,--,91025000000.0,150000000.0,415000000.0,--,--,--,90760000000.0,14792000000.0,--,--,--,75968000000.0,7285000000.0,68683000000.0,-12013000000.0,63955000000.0,7111000000.0,56844000000.0,--,3.88,3.86,20200828
20200331,328172000000.0,240722000000.0,257940000000.0,24000000.0,6608000000.0,10610000000.0,23881000000.0,4623000000.0,--,-16841000000.0,-44000000.0,727000000.0,15268000000.0,36000000.0,290699000000.0,6936000000.0,52470000000.0,2219000000.0,112584000000.0,738000000.0,10199000000.0,3000000.0,1200000000.0,29463000000.0,39820000000.0,1790000000.0,19016000000.0,--,16705000000.0,--,--,37473000000.0,76000000.0,197000000.0,--,--,--,37352000000.0,7018000000.0,--,--,--,30334000000.0,4271000000.0,26063000000.0,-2874000000.0,27460000000.0,4994000000.0,22466000000.0,--,1.47,1.46,20200424
20191231,1168867000000.0,748779000000.0,795064000000.0,115000000.0,21370000000.0,24915000000.0,77497000000.0,23224000000.0,--,44091000000.0,779000000.0,3036000000.0,60172000000.0,105000000.0,983839000000.0,26661000000.0,225030000000.0,11263000000.0,287028000000.0,107000000.0,19329000000.0,13000000.0,4272000000.0,114753000000.0,172892000000.0,7572000000.0,85537000000.0,--,65270000000.0,--,--,185028000000.0,427000000.0,716000000.0,--,--,--,184739000000.0,20374000000.0,--,--,--,164365000000.0,14958000000.0,149407000000.0,9232000000.0,173597000000.0,15671000000.0,157926000000.0,--,8.41,8.38,20200221
