报告期,营业收入*,已赚保费,保费业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保户红利支出,分保费用,营业税金及附加,手续费及佣金支出,管理费用,减:摊回分保费用,其他业务成本,资产减值损失,信用减值损失,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20221231,139384000000.0,128067000000.0,121437000000.0,1967000000.0,10219000000.0,-16849000000.0,10628000000.0,5063000000.0,--,274000000.0,-253000000.0,88000000.0,539000000.0,41000000.0,138349000000.0,5753000000.0,101138000000.0,50992000000.0,-1254000000.0,9166000000.0,535000000.0,249000000.0,636000000.0,11895000000.0,29118000000.0,21584000000.0,2795000000.0,484000000.0,--,--,--,1035000000.0,176000000.0,60000000.0,--,--,--,1151000000.0,-97000000.0,--,--,--,1248000000.0,337000000.0,911000000.0,-325000000.0,923000000.0,346000000.0,577000000.0,--,0.02,0.02,20230325
20220930,144610000000.0,129888000000.0,121749000000.0,1104000000.0,11697000000.0,-19836000000.0,13596000000.0,3240000000.0,--,-945000000.0,686000000.0,28000000.0,1157000000.0,200000000.0,134785000000.0,6699000000.0,87940000000.0,-33728000000.0,15505000000.0,-7738000000.0,454000000.0,214000000.0,464000000.0,12158000000.0,21468000000.0,-16083000000.0,1631000000.0,493000000.0,--,--,--,9825000000.0,110000000.0,70000000.0,--,--,--,9865000000.0,1595000000.0,--,--,--,8270000000.0,2625000000.0,5645000000.0,-8177000000.0,93000000.0,579000000.0,-486000000.0,--,0.13,0.12,20221028
20220630,147297000000.0,129064000000.0,148639000000.0,1894000000.0,17471000000.0,2104000000.0,15861000000.0,3973000000.0,--,774000000.0,643000000.0,8000000.0,946000000.0,1000000.0,133051000000.0,11487000000.0,72833000000.0,7120000000.0,23680000000.0,2514000000.0,470000000.0,500000000.0,549000000.0,11189000000.0,21331000000.0,3221000000.0,2168000000.0,946000000.0,--,--,--,14246000000.0,177000000.0,31000000.0,--,--,--,14392000000.0,1903000000.0,--,--,--,12489000000.0,3383000000.0,9106000000.0,6234000000.0,18723000000.0,4682000000.0,14041000000.0,--,0.2,0.2,20220827
20220331,189568000000.0,172709000000.0,233984000000.0,1548000000.0,15392000000.0,45883000000.0,16571000000.0,3190000000.0,--,-682000000.0,-17000000.0,157000000.0,823000000.0,7000000.0,173953000000.0,6930000000.0,96361000000.0,5872000000.0,38989000000.0,194000000.0,2539000000.0,350000000.0,520000000.0,14691000000.0,20512000000.0,3605000000.0,1558000000.0,729000000.0,--,--,--,15615000000.0,21000000.0,74000000.0,--,--,--,15562000000.0,3244000000.0,--,--,--,12318000000.0,3574000000.0,8744000000.0,-18380000000.0,-6062000000.0,-931000000.0,-5131000000.0,--,0.2,0.2,20220429
20211231,144981000000.0,131146000000.0,127178000000.0,527000000.0,8955000000.0,-12923000000.0,11916000000.0,3751000000.0,--,1015000000.0,-239000000.0,60000000.0,951000000.0,132000000.0,142745000000.0,5770000000.0,98776000000.0,45072000000.0,9047000000.0,7864000000.0,503000000.0,120000000.0,573000000.0,11306000000.0,25846000000.0,20226000000.0,2471000000.0,252000000.0,--,--,--,2236000000.0,98000000.0,66000000.0,--,--,--,2268000000.0,401000000.0,--,--,--,1867000000.0,1004000000.0,863000000.0,6742000000.0,8609000000.0,2804000000.0,5805000000.0,--,0.02,0.02,20220326
20210930,138985000000.0,123037000000.0,114116000000.0,1186000000.0,9756000000.0,-18677000000.0,15024000000.0,3392000000.0,--,-260000000.0,15000000.0,39000000.0,1123000000.0,7000000.0,133053000000.0,6590000000.0,86237000000.0,-29417000000.0,17988000000.0,-4133000000.0,789000000.0,197000000.0,440000000.0,12059000000.0,20619000000.0,-15914000000.0,1572000000.0,-352000000.0,--,--,--,5932000000.0,119000000.0,153000000.0,--,--,--,5898000000.0,444000000.0,--,--,--,5454000000.0,1563000000.0,3891000000.0,-1963000000.0,3491000000.0,1082000000.0,2409000000.0,--,0.09,0.09,20211029
20210630,139963000000.0,120740000000.0,139375000000.0,1209000000.0,14701000000.0,3934000000.0,17900000000.0,3785000000.0,--,268000000.0,-197000000.0,144000000.0,1070000000.0,38000000.0,128480000000.0,5924000000.0,73655000000.0,5527000000.0,20719000000.0,1416000000.0,397000000.0,308000000.0,582000000.0,12830000000.0,20485000000.0,3337000000.0,1935000000.0,1284000000.0,--,--,--,11483000000.0,103000000.0,31000000.0,--,--,--,11555000000.0,2118000000.0,--,--,--,9437000000.0,2587000000.0,6850000000.0,3394000000.0,12831000000.0,3594000000.0,9237000000.0,--,0.15,0.15,20210821
20210331,173762000000.0,155091000000.0,204754000000.0,1300000000.0,13646000000.0,36017000000.0,17995000000.0,2643000000.0,--,-387000000.0,90000000.0,133000000.0,798000000.0,42000000.0,157585000000.0,6622000000.0,78030000000.0,5718000000.0,41166000000.0,-1352000000.0,1995000000.0,371000000.0,411000000.0,14744000000.0,19438000000.0,3421000000.0,1898000000.0,334000000.0,--,--,--,16177000000.0,33000000.0,38000000.0,--,--,--,16172000000.0,2328000000.0,--,--,--,13844000000.0,3810000000.0,10034000000.0,-5916000000.0,7928000000.0,2364000000.0,5564000000.0,--,0.23,0.23,20210429
20201231,130631000000.0,114663000000.0,107475000000.0,584000000.0,9388000000.0,-16576000000.0,14976000000.0,3529000000.0,--,123000000.0,-494000000.0,55000000.0,1255000000.0,53000000.0,130071000000.0,3061000000.0,94178000000.0,39398000000.0,2159000000.0,5944000000.0,387000000.0,93000000.0,504000000.0,10815000000.0,27650000000.0,21120000000.0,2942000000.0,899000000.0,--,--,--,560000000.0,261000000.0,66000000.0,--,--,--,755000000.0,-1522000000.0,--,--,--,2277000000.0,944000000.0,1333000000.0,6473000000.0,8750000000.0,2756000000.0,5994000000.0,--,0.03,0.03,20210324
20200930,142788000000.0,125836000000.0,119290000000.0,660000000.0,10097000000.0,-16643000000.0,16826000000.0,2448000000.0,--,-331000000.0,-512000000.0,30000000.0,935000000.0,4000000.0,133339000000.0,3245000000.0,82828000000.0,-24562000000.0,8996000000.0,-4395000000.0,507000000.0,144000000.0,409000000.0,16600000000.0,28681000000.0,-15369000000.0,2022000000.0,109000000.0,--,--,--,9449000000.0,96000000.0,45000000.0,--,--,--,9500000000.0,1199000000.0,--,--,--,8301000000.0,2167000000.0,6134000000.0,-698000000.0,7603000000.0,2057000000.0,5546000000.0,--,0.14,0.14,20201029
20200630,141396000000.0,125438000000.0,142664000000.0,1330000000.0,36631000000.0,59321000000.0,14899000000.0,3233000000.0,--,115000000.0,-42000000.0,155000000.0,805000000.0,26000000.0,132081000000.0,4799000000.0,72741000000.0,12491000000.0,15686000000.0,1773000000.0,388000000.0,359000000.0,584000000.0,17667000000.0,25702000000.0,9119000000.0,1907000000.0,2213000000.0,--,--,--,9315000000.0,57000000.0,53000000.0,--,--,--,9319000000.0,1499000000.0,--,--,--,7820000000.0,2279000000.0,5541000000.0,5450000000.0,13270000000.0,3753000000.0,9517000000.0,--,0.12,0.12,20200822
20200331,168881000000.0,154814000000.0,194177000000.0,359000000.0,-11680000000.0,-27683000000.0,13165000000.0,2203000000.0,--,-57000000.0,232000000.0,111000000.0,594000000.0,22000000.0,156760000000.0,34216000000.0,59062000000.0,-3821000000.0,25863000000.0,360000000.0,1808000000.0,109000000.0,490000000.0,17407000000.0,21656000000.0,-2949000000.0,1650000000.0,618000000.0,--,--,--,12121000000.0,29000000.0,80000000.0,--,--,--,12070000000.0,2194000000.0,--,--,--,9876000000.0,2815000000.0,7061000000.0,-3085000000.0,6791000000.0,2094000000.0,4697000000.0,--,0.16,0.16,20200430
