报告期,流动资产*,货币资金,交易性金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收账款融资,预付款项,其他应收款（合计）,应收股利,应收利息,其他应收款,买入返售金融资产,存货,其中：消耗性生物资产,合同资产,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,其他流动资产,其他金融类流动资产,结算备付金,拆出资金,应收保费,应收分保账款,应收分保合同准备金,流动资产差额（特殊报表科目）,流动资产差额（合计平衡项目）,流动资产总计*,非流动资产*,发放贷款及垫款,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,债权投资,其他债权投资,可供出售金融资产,其他权益工具投资,持有至到期投资,其他非流动金融资产,长期应收款,长期股权投资,投资性房地产,固定资产（合计）,固定资产,固定资产清理,在建工程（合计）,在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动性资产,非流动性资产差额（特殊报表科目）,非流动性资产差额（合计平衡项目）,非流动资产合计*,资产差额（特殊报表科目）,资产差额（合计平衡项目）,资产总计*,流动负债*,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付款项,预收款项,合同负债,应付手续费及佣金,应付职工薪酬,应交税费,其他应付款（合计）,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,预提费用,递延收益-流动负债,应付短期债券,其他流动负债,其他金融类流动负债,向中央银行借款,吸收存款及同业存放,拆入资金,卖出回购金融资产款,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,流动负债差额（特殊报表科目）,流动负债差额（合计平衡项目）,流动负债合计*,非流动负债*,长期借款,应付债券,长期应付款（合计）,长期应付款,专项应付款,长期应付职工薪酬,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债差额（特殊报表科目）,非流动负债差额（合计平衡项目）,非流动负债合计*,负债差额（特殊报表科目）,负债差额（合计平衡项目）,负债合计*,所得者权益(或股东权益)*,实收资本（或股本）,其他权益工具,其中：优先股,永续债,资本公积金,减：库存股,其他综合收益,专项储备,盈余公积金,一般风险准备,未分配利润,外币报表折算差额,未确认的投资损失,股东权益差额（特殊报表科目）,股权权益差额（合计平衡项目）,归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额（特殊报表项目）,负债及股东权益差额（合计平衡项目）,负债及股东权益总计,公告日期#
20220930,--,1431363546.66,18459878.15,--,80958779.64,--,80958779.64,--,32852323.36,17788507.16,--,--,--,--,120683.05,--,--,--,22470416.66,--,6984556.31,0.0,--,--,--,--,--,--,--,1610998690.99,--,--,--,--,20693222.22,--,--,--,--,1469907.98,--,--,116999988.15,30264894.85,30264894.85,--,166538.46,166538.46,--,--,--,24709897.26,--,361562589.54,5664688.44,1693.0,179082.63,--,--,647924538.5,--,--,2258923229.49,--,--,--,--,152640849.63,--,--,745356.14,171359783.72,--,6867890.09,16794391.99,163401634.3,--,--,--,--,28071176.58,--,--,--,999987.46,0.0,--,--,--,--,--,--,--,--,--,--,540881069.91,--,--,--,--,--,--,--,--,1443133.14,223267.6,12997660.13,--,--,72642522.31,--,--,613523592.22,--,2035870200.0,--,--,--,1399740547.32,129221844.0,47128742.89,--,35061708.21,--,-1747747473.98,--,--,--,--,1640831880.44,4567756.83,1645399637.27,--,--,2258923229.49,20221028
20220630,--,1400786454.47,18362128.68,--,89406500.27,--,89406500.27,--,37826205.41,17417542.57,--,--,17417542.57,--,237101.52,--,--,--,22259583.34,--,57875428.21,0.0,--,--,--,--,--,--,--,1644170944.47,--,--,--,--,--,--,--,--,--,1046657.11,--,--,119617357.49,27301650.87,27301650.87,--,166538.46,166538.46,--,--,--,25254566.89,--,359237641.54,5533091.03,1693.0,179082.63,--,--,626220759.26,--,--,2270391703.73,--,1500000.0,--,--,154910852.5,--,--,756778.9,172451505.21,--,5435532.3,18647956.23,173700683.04,--,--,173700683.04,--,28916003.36,--,--,--,1106630.95,0.0,--,--,--,--,--,--,--,--,--,--,557425942.49,--,--,--,--,--,--,--,--,1234675.51,324057.91,12721176.45,--,--,76321346.67,--,--,633747289.16,--,2035980200.0,--,--,--,1392398436.73,129675044.0,23586678.95,--,35061708.21,--,-1731140864.02,--,--,--,--,1626211115.87,10433298.7,1636644414.57,--,--,2270391703.73,20220826
20220331,--,1489936690.19,21260167.52,--,67142431.82,--,67142431.82,--,21192886.77,23946274.48,--,--,--,--,154641.17,--,--,--,22051041.66,--,10836995.6,0.0,--,--,--,--,--,--,--,1656521129.21,--,--,--,--,--,--,--,--,--,1269308.13,--,--,122234726.82,27933874.95,27933874.95,--,166538.46,166538.46,--,--,--,25794187.13,--,356218816.92,5913321.43,--,299301.15,--,--,630823231.5,--,--,2287344360.71,--,4500000.0,--,--,161832798.44,--,--,1407362.81,188553959.32,--,4888034.42,12382445.27,248458169.05,--,--,--,--,25617355.84,--,--,--,589574.55,0.0,--,--,--,--,--,--,--,--,--,--,648229699.7,--,--,--,--,--,--,--,--,1360172.21,523842.32,13587163.62,--,--,81953305.29,--,--,730183004.99,--,2035980200.0,--,--,--,1373180712.74,196277316.0,4447985.22,--,35061708.21,--,-1707392248.71,--,--,--,--,1545001041.46,12160314.26,1557161355.72,--,--,2287344360.71,20220429
20211231,--,1616303015.29,18157852.59,--,68202639.68,--,68202639.68,--,16196780.86,16237067.62,--,--,16237067.62,--,158568.67,--,--,--,21844791.66,--,9659755.25,0.0,--,--,--,--,--,--,--,1766760471.62,--,--,--,--,--,--,--,--,--,1964961.48,--,--,124852096.15,28392563.7,28392563.7,0.0,166538.46,166538.46,0.0,--,--,10537787.62,--,292577111.35,6333092.05,--,849436.62,--,--,561410349.5,--,--,2328170821.12,--,--,--,--,156189626.85,--,--,1010307.87,200509076.83,--,62960680.01,14927701.0,201418799.49,0.0,0.0,201418799.49,--,24913531.22,--,--,--,410935.2,0.0,--,--,--,--,--,--,--,--,--,--,662340658.47,--,--,--,--,--,--,--,--,1166486.7,789612.14,16029411.82,--,--,89423704.69,--,--,751764363.16,--,2028224000.0,--,--,--,1331425531.21,166958880.0,9104312.53,--,35061708.21,--,-1660450213.99,--,--,--,--,1576406457.96,--,1576406457.96,--,--,2328170821.12,20220415
20210930,--,1259950803.35,18911918.5,--,66306810.75,--,66306810.75,--,17429610.01,14883072.2,--,--,--,--,241487.4,--,--,--,100301888.9,--,159124440.0,0.0,--,--,--,--,--,--,--,1637150031.11,--,--,--,--,21633958.34,--,--,--,--,1283089.31,--,--,127469465.48,25598338.2,25598338.2,--,1589784.01,1589784.01,--,--,--,9040012.18,--,293306932.59,4176111.88,--,1275597.58,--,--,588147794.65,--,--,2225297825.76,--,--,--,--,148625351.04,--,--,1081665.46,185661909.77,--,5533927.9,18115632.94,196401225.1,--,--,--,--,22509286.31,--,--,--,395695.65,0.0,--,--,--,--,--,--,--,--,--,--,578324694.17,--,--,--,--,--,--,--,237310.41,1507613.26,1055381.96,14431382.06,--,--,95074426.1,--,--,673399120.27,--,2028224000.0,--,--,--,1308147701.99,166958880.0,16370660.12,--,35061708.21,--,-1668946484.83,--,--,--,--,1551898705.49,--,1551898705.49,--,--,2225297825.76,20211029
20210630,--,1201034084.13,18782891.17,--,65310779.08,--,65310779.08,--,13053043.62,17190667.4,--,--,17190667.4,--,296100.94,--,--,--,100278666.7,--,184645757.49,0.0,--,--,--,--,--,--,--,1600591990.53,--,--,--,--,21423125.0,--,--,--,--,1387428.23,--,--,130095335.01,24808490.49,24808490.49,0.0,1219094.68,1219094.68,0.0,--,--,9152568.09,--,293260669.66,4080397.11,--,1187544.48,--,--,579179390.72,--,--,2179771381.25,--,--,--,--,151811226.0,--,--,891615.52,181766705.06,--,3934133.13,16273328.11,198077499.43,--,--,198077499.43,--,18629182.61,--,--,--,392556.32,0.0,--,--,--,--,--,--,--,--,--,--,571776246.18,--,--,--,--,--,--,--,608304.11,1381151.62,1321151.78,15142380.77,--,--,89994600.48,--,--,661770846.66,--,2028224000.0,--,--,--,1284825337.95,166958880.0,17316269.17,--,35061708.21,--,-1680467900.74,--,--,--,--,1518000534.59,--,1518000534.59,--,--,2179771381.25,20210827
20210331,--,1021125431.98,18652762.65,--,70265092.69,--,70265092.69,--,14119232.0,13304954.18,--,--,--,--,103942.45,--,--,--,100267055.6,--,202759834.74,0.0,--,--,--,--,--,--,--,1440598306.29,--,--,--,--,--,--,--,--,--,1511102.66,--,--,132721204.33,21714709.25,21714709.25,--,1156809.04,1156809.04,--,--,--,9460426.57,--,293879082.22,3768577.83,--,1221172.8,--,--,565165045.91,--,--,2005763352.2,--,--,--,--,152070446.87,--,--,821448.86,173574547.71,--,2928906.74,11669973.85,29333963.99,--,--,--,--,26079667.48,--,--,--,384136.0,0.0,--,--,--,--,--,--,--,--,--,--,396863091.5,--,--,--,--,--,--,--,608304.11,1543768.17,1586921.6,15402996.06,--,--,95528139.44,--,--,492391230.94,--,1987700000.0,--,--,--,1145307255.9,--,23766634.34,--,35061708.21,--,-1678463477.19,--,--,--,--,1513372121.26,--,1513372121.26,--,--,2005763352.2,20210430
20201231,--,1107046250.42,22848958.35,--,67202816.88,--,67202816.88,--,10921470.21,13991525.6,--,--,13991525.6,--,123983.8,--,--,--,100267055.6,--,184353649.84,0.0,--,--,--,--,--,--,--,1506755710.7,--,--,--,--,--,--,--,--,--,1783019.79,--,--,135347073.65,21908104.01,21908104.01,0.0,1503609.02,1503609.02,0.0,--,--,10288525.54,--,293711969.21,2959494.08,--,1263907.84,--,--,468765703.14,--,--,1975521413.84,--,--,--,--,148823470.27,--,--,804195.89,190245810.6,--,53338493.25,10650653.89,33102340.21,0.0,0.0,33102340.21,--,--,--,--,--,120671.06,0.0,--,--,--,--,--,--,--,--,--,--,437085635.17,--,--,--,--,--,--,--,608304.11,1422713.74,1852691.42,17698271.97,--,--,21581981.24,--,--,458667616.41,--,1987700000.0,--,--,--,1145307255.9,--,24336438.1,--,35061708.21,--,-1675551604.78,--,--,--,--,1516853797.43,--,1516853797.43,--,--,1975521413.84,20210402
20200930,--,1091647690.41,128903522.28,--,68878880.17,--,68878880.17,--,14604648.45,15023045.12,--,--,--,--,289219.53,--,--,--,243833.35,--,4496159.25,0.0,--,--,--,--,--,--,--,1324086998.56,--,--,--,--,100000000.0,--,--,--,--,1347694.15,--,--,137972942.97,21687245.24,21687245.24,--,2090367.99,2090367.99,--,--,--,9669684.24,--,295462407.22,3380496.93,205763.61,854382.05,--,--,572670984.4,--,--,1896757982.96,--,--,--,--,148279425.37,--,--,11315104.81,188896100.35,--,4438085.06,14028496.09,24946850.03,--,--,--,--,--,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,391904061.71,--,--,--,--,--,--,--,25908007.03,1624464.12,2118461.24,--,--,--,29650932.39,--,--,421554994.1,--,1987700000.0,--,--,--,1145307255.9,--,38935004.86,--,35061708.21,--,-1731800980.11,--,--,--,--,1475202988.86,--,1475202988.86,--,--,1896757982.96,20201031
20200630,--,1083604063.2,127845837.03,--,75030997.09,--,75030997.09,--,13913676.05,15700443.36,--,--,15700443.36,--,295704.19,--,--,--,220611.15,--,5222773.18,0.0,--,--,--,--,--,--,--,1321834105.25,--,--,--,--,100000000.0,--,--,--,--,1347694.15,--,--,140598812.3,21662259.69,21662259.69,0.0,1395722.92,1395722.92,0.0,--,--,10262876.1,--,297101436.54,3848187.34,206478.44,798489.16,--,--,577221956.64,--,--,1899056061.89,--,--,--,--,148582898.58,--,--,10292034.82,175354852.73,--,3404084.01,11931803.38,60930314.8,--,--,60930314.8,--,--,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,410495988.32,--,--,--,--,--,--,--,33669726.01,1667469.55,2384231.06,--,--,--,37721426.62,--,--,448217414.94,--,1987700000.0,--,--,--,1145307255.9,--,52572647.2,--,35061708.21,--,-1769802964.36,--,--,--,--,1450838646.95,--,1450838646.95,--,--,1899056061.89,20200831
