报告期,经营活动产生的现金流量*,收到原保险合同保费取得的现金,收到再保业务现金净额,收到其他与经营活动有关的现金,保户储金净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付原保险合同赔付款项的现金,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付手续费的现金,支付的各项税费,支付其他与经营活动有关的现金,支付保单红利的现金,投资活动现金流出差额(合计平衡项目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差值(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,质押贷款净增加额,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差值(特殊报表科目),间接法-经营活动现金流量净额差值(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,294510000000.0,3000000.0,7305000000.0,12081000000.0,--,123000000.0,--,314022000000.0,105952000000.0,19751000000.0,--,20575000000.0,9206000000.0,40928000000.0,7306000000.0,--,--,203718000000.0,--,110304000000.0,-137254000000.0,301041000000.0,57500000000.0,21000000.0,--,2152000000.0,--,360714000000.0,488290000000.0,2435000000.0,6707000000.0,76000000.0,460000000.0,--,497968000000.0,--,-137254000000.0,--,43000000.0,--,--,4562000000.0,43503000000.0,--,48108000000.0,12875000000.0,12249000000.0,1272000000.0,--,--,26396000000.0,--,21712000000.0,591000000.0,-4647000000.0,45627000000.0,40980000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221029
20220630,--,206231000000.0,1504000000.0,4686000000.0,10771000000.0,--,75000000.0,--,223267000000.0,69257000000.0,13823000000.0,--,14089000000.0,6464000000.0,25349000000.0,5430000000.0,--,--,134412000000.0,--,88855000000.0,-107280000000.0,181280000000.0,39965000000.0,17000000.0,--,2147000000.0,--,223409000000.0,322719000000.0,1749000000.0,5923000000.0,73000000.0,225000000.0,--,330689000000.0,--,-107280000000.0,--,--,--,--,1267000000.0,20863000000.0,--,22130000000.0,4675000000.0,1397000000.0,984000000.0,--,--,7056000000.0,--,15074000000.0,334000000.0,-3017000000.0,45627000000.0,42610000000.0,--,13631000000.0,1354000000.0,928000000.0,457000000.0,--,--,--,--,--,1065000000.0,--,-40304000000.0,--,--,--,-22430000000.0,2076000000.0,--,132078000000.0,--,88855000000.0,--,--,--,33310000000.0,32195000000.0,9300000000.0,13432000000.0,--,--,-3017000000.0,20220829
20220331,--,112507000000.0,1844000000.0,2129000000.0,9905000000.0,--,10000000.0,--,126395000000.0,38199000000.0,7888000000.0,--,7467000000.0,1998000000.0,14584000000.0,3870000000.0,--,--,74006000000.0,--,52389000000.0,-67088000000.0,88701000000.0,19571000000.0,2000000.0,--,1000000.0,--,108275000000.0,168929000000.0,566000000.0,5578000000.0,65000000.0,225000000.0,--,175363000000.0,--,-67088000000.0,--,--,--,--,319000000.0,15156000000.0,--,15475000000.0,2387000000.0,775000000.0,847000000.0,--,--,4009000000.0,--,11466000000.0,-41000000.0,-3274000000.0,45628000000.0,42354000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220429
20211231,--,364782000000.0,--,6903000000.0,10881000000.0,--,58000000.0,--,382624000000.0,146899000000.0,25446000000.0,--,31656000000.0,9845000000.0,47705000000.0,9141000000.0,--,--,274217000000.0,3525000000.0,108407000000.0,-66094000000.0,412671000000.0,73326000000.0,26000000.0,--,3646000000.0,--,489669000000.0,540976000000.0,4657000000.0,3688000000.0,74000000.0,6368000000.0,--,555763000000.0,--,-66094000000.0,--,34000000.0,--,--,14367000000.0,--,--,14401000000.0,11340000000.0,15710000000.0,1846000000.0,16876000000.0,--,45772000000.0,--,-31371000000.0,-82000000.0,10860000000.0,34767000000.0,45627000000.0,--,27618000000.0,4441000000.0,1783000000.0,866000000.0,--,--,--,-10000000.0,--,-1163000000.0,--,-95457000000.0,--,--,--,-8504000000.0,20726000000.0,--,158107000000.0,--,108407000000.0,--,--,--,32195000000.0,20440000000.0,13432000000.0,14327000000.0,--,--,10860000000.0,20220328
20210930,--,268963000000.0,--,4381000000.0,10023000000.0,--,15000000.0,--,283382000000.0,109889000000.0,19914000000.0,--,24955000000.0,7900000000.0,37034000000.0,7953000000.0,--,--,208636000000.0,991000000.0,74746000000.0,-72396000000.0,277893000000.0,53297000000.0,11000000.0,--,3643000000.0,--,334844000000.0,398456000000.0,3520000000.0,1818000000.0,28000000.0,3418000000.0,--,407240000000.0,--,-72396000000.0,--,34000000.0,--,--,8435000000.0,1339000000.0,--,9808000000.0,5850000000.0,14894000000.0,1135000000.0,--,--,21879000000.0,--,-12071000000.0,-19000000.0,-9740000000.0,34767000000.0,25027000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211030
20210630,--,188500000000.0,--,2999000000.0,9232000000.0,--,15000000.0,--,200746000000.0,72933000000.0,14192000000.0,--,18389000000.0,5066000000.0,24814000000.0,5919000000.0,--,--,141642000000.0,329000000.0,59104000000.0,-49119000000.0,182582000000.0,37302000000.0,8000000.0,--,3635000000.0,--,223527000000.0,266282000000.0,2621000000.0,1211000000.0,27000000.0,2505000000.0,--,272646000000.0,--,-49119000000.0,--,--,--,--,2362000000.0,12669000000.0,--,15031000000.0,4050000000.0,14084000000.0,1347000000.0,--,--,19481000000.0,--,-4450000000.0,-28000000.0,5507000000.0,34767000000.0,40274000000.0,--,17795000000.0,1725000000.0,905000000.0,414000000.0,--,--,--,-1000000.0,--,277000000.0,--,-50453000000.0,--,--,--,-20284000000.0,-2914000000.0,--,111640000000.0,--,59104000000.0,--,--,--,24451000000.0,20440000000.0,15823000000.0,14327000000.0,--,--,5507000000.0,20210830
20210331,--,101827000000.0,--,1641000000.0,8688000000.0,--,11000000.0,--,112167000000.0,39082000000.0,8277000000.0,--,10523000000.0,2305000000.0,11683000000.0,4114000000.0,--,--,76112000000.0,128000000.0,36055000000.0,-10175000000.0,90896000000.0,16834000000.0,5000000.0,--,3636000000.0,--,111371000000.0,118312000000.0,875000000.0,395000000.0,28000000.0,1936000000.0,--,121546000000.0,--,-10175000000.0,--,--,--,--,74000000.0,--,--,74000000.0,2500000000.0,894000000.0,680000000.0,18599000000.0,--,22673000000.0,--,-22599000000.0,17000000.0,3298000000.0,34767000000.0,38065000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,368440000000.0,--,5556000000.0,6891000000.0,--,14000000.0,--,380901000000.0,137595000000.0,23310000000.0,--,40705000000.0,11811000000.0,45403000000.0,9439000000.0,--,--,272838000000.0,4575000000.0,108063000000.0,-136068000000.0,347837000000.0,67578000000.0,21000000.0,--,318000000.0,--,415754000000.0,538924000000.0,5230000000.0,3628000000.0,9000000.0,4031000000.0,--,551822000000.0,--,-136068000000.0,--,13915000000.0,--,--,13232000000.0,12433000000.0,--,39580000000.0,2290000000.0,13824000000.0,2018000000.0,--,--,18132000000.0,--,21448000000.0,-1222000000.0,-7779000000.0,42546000000.0,34767000000.0,--,25352000000.0,4394000000.0,1755000000.0,750000000.0,--,--,--,-4000000.0,--,-81000000.0,--,-87413000000.0,--,--,--,-8757000000.0,24378000000.0,--,147689000000.0,--,108063000000.0,--,--,--,20440000000.0,14501000000.0,14327000000.0,28045000000.0,--,--,-7779000000.0,20210329
20200930,--,274890000000.0,--,4011000000.0,7159000000.0,--,12000000.0,--,286072000000.0,99622000000.0,17962000000.0,--,32314000000.0,7500000000.0,35849000000.0,7773000000.0,--,--,204197000000.0,3177000000.0,81875000000.0,-116075000000.0,278210000000.0,49105000000.0,11000000.0,--,318000000.0,--,327644000000.0,437830000000.0,3862000000.0,1737000000.0,9000000.0,281000000.0,--,443719000000.0,--,-116075000000.0,--,13915000000.0,--,--,7485000000.0,31238000000.0,--,52638000000.0,2290000000.0,13227000000.0,1655000000.0,--,--,17172000000.0,--,35466000000.0,-238000000.0,1028000000.0,42546000000.0,43574000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201031
20200630,--,189182000000.0,--,2472000000.0,6058000000.0,--,9000000.0,--,197721000000.0,63341000000.0,12506000000.0,--,21998000000.0,5201000000.0,20512000000.0,5395000000.0,--,--,130436000000.0,1483000000.0,67285000000.0,-68279000000.0,202770000000.0,34667000000.0,6000000.0,--,318000000.0,--,237761000000.0,302844000000.0,2133000000.0,1045000000.0,9000000.0,9000000.0,--,306040000000.0,--,-68279000000.0,--,12831000000.0,--,--,4290000000.0,22020000000.0,--,39141000000.0,2290000000.0,12485000000.0,910000000.0,--,--,15685000000.0,--,23456000000.0,12000000.0,22474000000.0,42546000000.0,65020000000.0,--,14591000000.0,2838000000.0,882000000.0,388000000.0,--,--,--,-1000000.0,--,414000000.0,--,-40943000000.0,--,--,--,-19542000000.0,2862000000.0,--,105796000000.0,--,67285000000.0,--,--,--,36412000000.0,14501000000.0,28608000000.0,28045000000.0,--,--,22474000000.0,20200824
