报告期,资产*,货币资金,其中:客户资金存款,结算备付金,其中:客户备付金,拆出资金,融出资金,金融投资,其中:交易性金融资产,债权投资,其他债权投资,其他权益工具投资,以摊余成本计量的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,衍生金融资产,买入返售金融资产,持有待售资产,应收款项,合同资产,应收利息,存出保证金,代理业务资产,可供出售金融资产,持有至到期投资,长期股权投资,固定资产,在建工程,无形资产,其中:交易席位费,商誉,递延所得税资产,投资性房地产,其他资产,资产差额(特殊报表科目),资产差额(合计平衡项目),资产总计*,负债*,短期借款,其中:质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,代理买卖证券款,代理承销证券款,应付职工薪酬,长期应付职工薪酬,应交税费,应付款项,应付利息,合同负债,持有待售的负债,代理业务负债,长期借款,应付债券,递延所得税负债,预计负债,其他负债,负债差额(特殊报表科目),负债差额(合计平衡项目),负债合计*,所得者权益(或股东权益)*,股本,其他权益工具,其中:优先股,永续债,资本公积金,减:库存股,其他综合收益,盈余公积金,未分配利润,一般风险准备,外币报表折算差额,未确认的投资损失,股东权益差额(特殊报表科目),股东权益差额(合计平衡项目),归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),负债及股东权益总计*,公告日期#
20220930,--,68785777344.97,56201694603.51,8804423724.44,9126885659.12,--,37364672479.24,110097822021.31,87669439302.77,4042255807.48,15908665924.93,2477460986.13,--,--,1393962130.39,312841697.0,--,1994897820.11,--,--,11253635280.56,--,--,--,1053381013.68,804397177.1,158511.5,213424768.24,--,845038242.2,2234029182.71,12330962.67,4136580249.88,49435918.09,--,250001518854.27,--,3860318336.55,--,3239200886.39,9049794768.04,148505956.73,1612740876.8,27872405946.81,72855912030.22,--,1203355890.26,--,296775876.03,931506446.83,--,44942933.18,--,--,2628738185.3,45151313019.93,18637411.97,5284293318.32,10044909135.73,--,--,184909839987.63,--,4610787639.0,9498943396.22,--,9498943396.22,24198179990.74,--,-320147218.24,3748566127.45,13517537369.9,9059922692.35,--,--,--,--,64313789997.42,777888869.22,65091678866.64,--,--,250001518854.27,20221028
20220630,--,77962271400.83,57820364715.83,6707686319.94,6271581340.35,--,40081496395.2,101469673767.31,81703187683.75,4473016056.18,12900730513.97,2392739513.41,--,--,709357123.82,469860592.58,--,2136182934.76,--,--,11316353054.48,--,--,--,1027277045.37,802728164.01,232847.79,210200693.44,--,799533653.19,2235608276.38,--,4372485061.15,53996082.41,--,251008811611.04,--,2993500302.35,--,2121127769.61,14640436075.76,148505866.74,1084230699.47,22354790992.46,73923327264.85,--,2223087393.76,--,737489708.46,1028581899.64,--,42789452.32,--,--,3867188963.75,48071282670.43,18749001.29,5284293318.32,7942432612.68,--,--,187167114720.9,--,4610787639.0,9498943396.22,--,9498943396.22,24198686523.37,--,-259240049.8,3748566127.45,12260832830.24,9018260285.39,--,--,--,--,63076836751.87,764860138.27,63841696890.14,--,--,251008811611.04,20220826
20220331,--,85729518077.28,58701477903.21,6761456576.26,6258304687.51,--,44005612789.58,83719654322.22,65286762270.29,4054847252.28,12820860304.87,1557184494.78,--,--,427126370.31,4006093779.64,--,3005708907.25,--,--,11378957929.81,--,--,--,1030305227.39,823786583.09,232847.79,237474225.05,--,920915495.98,2245764608.7,--,4160349462.44,56657022.46,--,249185088957.45,--,4153666863.38,--,5733631578.1,15644345421.96,343514894.28,963353585.5,21297136188.02,74179706905.07,--,2031191098.51,--,906720767.6,1670220066.07,--,43066404.0,--,--,3169573054.73,44822612179.62,18470890.49,5284293318.32,4438865351.75,--,--,185395191192.65,--,4610787639.0,9498943396.22,--,9498943396.22,24198686523.47,--,-292228222.73,3748566127.45,12282321216.75,8996146766.56,--,--,--,--,63043223446.72,746674318.08,63789897764.8,--,--,249185088957.45,20220429
20211231,--,67605143355.12,55369863817.83,7167716237.59,6764401246.47,--,48445767652.25,86544458887.26,68750196803.69,4136619307.08,13098078717.3,559564059.19,--,--,547338248.14,6792386886.54,--,1939085407.8,--,--,10245461698.39,--,--,--,1004203770.13,836035275.27,859128.54,257413334.25,--,928322333.37,2156068892.81,--,3878380855.44,62058049.13,--,239107601376.24,--,3790856459.67,--,7244955835.27,13692414901.75,342424526.06,512045561.35,19863912094.2,69803417762.41,--,1822758782.41,--,1262054800.88,876619031.15,--,50851210.49,--,--,3963149409.15,47826703516.86,18102801.62,5284293318.32,3446886864.28,--,--,180512339237.42,--,4610787639.0,4999056603.77,--,4999056603.77,24198686523.37,--,-303881039.62,3748566127.45,11637279759.13,8975098959.09,--,--,--,--,57865594572.19,729667566.63,58595262138.82,--,--,239107601376.24,20220325
20210930,--,80850296009.31,57066420422.41,9475720527.93,8579543786.3,--,48169772951.47,84100825237.15,65159932146.91,3925899175.69,14429485890.95,585508023.6,--,--,192519723.14,4132706213.38,--,2069508324.2,--,--,10801882534.54,--,--,--,1093770198.96,835191107.44,--,214512258.49,--,945698616.55,2123734067.66,--,4531827147.16,61811569.96,--,250338458861.39,--,3913427681.81,--,10057648192.3,15051039757.8,1277695140.99,450486644.91,20231177784.27,72752981346.56,--,1219891670.67,--,746861134.33,1112838236.37,--,--,--,--,3338598982.57,50094098628.03,15179412.6,4551170390.27,6453289913.22,--,--,192014874663.82,--,4610787639.0,5000000000.0,--,5000000000.0,24213326400.69,--,-316516608.6,3441295836.62,12504572131.36,8160724338.71,--,--,--,--,57614189737.78,709394459.79,58323584197.57,--,--,250338458861.39,20211029
20210630,--,79923900899.62,54835456316.07,4411598209.32,2843166638.42,--,54695678146.66,81039000416.14,59165915922.5,4273965900.38,17031532413.62,567586179.64,--,--,180935939.56,2315457612.25,--,2434035898.91,--,--,10265273430.13,--,--,--,1077842633.74,846045619.2,--,212101277.94,--,944597144.52,1844761006.9,--,5064620653.21,64760344.8,--,246100592660.1,--,9635952043.24,--,9289390156.4,10658958366.37,1289393201.51,323412870.44,23650887656.03,67280335282.13,--,1459530456.14,--,945273465.09,1629557744.57,--,571890.76,--,--,4668900033.36,47260448936.06,14788163.57,4551170390.27,5270305628.76,--,--,188720278273.71,--,4610787639.0,5000000000.0,--,5000000000.0,24198686523.37,--,-331500677.62,3441295836.62,11539167428.01,8134043010.73,--,--,--,--,56592479760.11,787834626.28,57380314386.39,--,--,246100592660.1,20210827
20210331,--,74775606584.2,52740555680.43,6063309404.2,1984132413.18,--,45592040336.71,85332260668.15,59467145774.85,4315045039.14,20971791858.18,578277995.98,--,--,94709242.33,2643526673.55,--,2638873584.2,--,--,8873748231.45,--,--,--,1094487065.16,866353053.58,--,212586647.82,--,959320903.22,2104658144.63,--,4447435736.46,70966704.78,--,236593475880.33,--,5348515623.34,--,8849966630.66,10704083164.91,2501882760.13,334185905.26,26955936321.49,64702867700.69,--,1972771877.36,--,1727893755.18,1396359262.77,--,--,--,--,1628975597.84,47384284271.43,14304068.74,4551170390.27,3937803648.04,--,--,182844630159.62,--,4610787639.0,2000000000.0,--,2000000000.0,24192646294.4,--,-311208750.18,3441295836.62,10934502778.54,8112501507.92,--,--,--,--,52980525306.3,768320414.41,53748845720.71,--,--,236593475880.33,20210430
20201231,--,64530998545.26,48423908687.58,5006245870.35,3954399614.94,--,46815971843.05,85721607932.72,58452676403.22,4451961806.95,17638386721.12,5178583001.43,--,--,65945606.43,5279946429.35,--,2850487788.5,--,--,7858108007.91,--,--,--,1093419186.32,883098046.36,--,216240467.04,--,955342116.81,1749541797.62,--,4809970946.98,77191541.11,--,228736384297.4,--,3262883774.03,--,10324937422.74,17722780520.02,2612195048.37,307646937.4,21655857332.77,59725584472.71,--,1710190505.71,--,1989426818.99,1482288445.39,--,945679.53,--,--,3744632739.24,42019166654.46,14002030.21,4551975155.56,3593135752.88,--,--,175541283454.43,--,4610787639.0,2000000000.0,--,2000000000.0,24198686523.37,--,-152203528.76,3441295836.62,10259982214.53,8090331010.27,--,--,--,--,52448879695.03,746221147.94,53195100842.97,--,--,228736384297.4,20210326
20200930,--,58531424997.5,45811003429.55,7028895245.81,6783358193.85,--,57641008491.3,82056686718.88,58207707686.45,4787064187.53,13907891543.22,5154023301.68,--,--,58704284.73,3705765062.4,--,2880303529.51,--,--,6686497505.77,--,--,--,1050734369.19,856540326.69,3105418.2,212668213.45,--,1005755302.05,1579348018.72,--,5234221564.35,72853145.75,--,229465345789.7,--,15005793566.87,--,11837954183.25,8384473575.88,509257540.26,319306318.7,23271302889.86,58373647659.41,--,1522238412.9,--,1098909511.19,1411252741.83,--,27068.86,--,--,1731665741.06,41543182535.98,27533191.32,3002823199.79,6486043918.32,--,--,175386265980.39,--,4610787639.0,2000000000.0,--,2000000000.0,23296380193.36,--,-159498536.55,2971443494.2,12822707882.93,6959608069.36,--,--,--,--,52501428742.3,1577651067.01,54079079809.31,--,--,229465345789.7,20201029
20200630,--,53817870000.79,45757057215.73,2124008785.77,1356217959.79,--,37079445308.59,87392641070.1,65315107309.43,6260734552.82,10802140792.12,5014658415.73,--,--,30086206.63,5309684078.0,--,3206431441.99,--,--,5385000825.7,--,--,--,1040224919.93,851870176.76,3105418.2,240547865.21,--,1036041801.92,1486580977.26,--,5264867970.32,81825930.79,--,205038131656.16,--,6559735839.48,--,11888735479.53,7483055822.41,561256280.76,178980704.67,19241790868.16,52976950859.1,--,2129806573.69,--,689382241.07,1255197187.63,--,4404569.29,--,--,3380813045.02,37369108874.39,64793979.03,3002823199.79,6635720777.23,--,--,154109675580.72,--,4610787639.0,--,--,--,23243332206.05,--,-107916530.44,2971443494.2,11716437322.95,6919020341.07,--,--,--,--,49353104472.83,1575351602.61,50928456075.44,--,--,205038131656.16,20200827
