报告期,营业收入*,利息净收入,利息收入,减:利息支出,手续费及佣金净收入,手续费及佣金收入,减:手续费及佣金支出,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1207872000.0,1089658000.0,2255127000.0,1165469000.0,-7395000.0,26205000.0,33600000.0,81527000.0,42806000.0,--,30561000.0,140000.0,--,2821000.0,10382000.0,624590000.0,15464000.0,415208000.0,--,--,--,--,583282000.0,1735000.0,94000.0,--,--,--,584923000.0,134100000.0,--,--,--,450823000.0,--,450823000.0,49035000.0,499858000.0,--,499858000.0,--,0.12,0.11,20221028
20220630,1093404000.0,958806000.0,2127281000.0,1168475000.0,23451000.0,39889000.0,16438000.0,104829000.0,8935000.0,--,-13640000.0,521000.0,--,76000.0,--,547687000.0,15245000.0,425664000.0,--,--,--,--,545717000.0,-9832000.0,9513000.0,--,--,--,526372000.0,66705000.0,--,--,--,459667000.0,--,459667000.0,93906000.0,553573000.0,--,553573000.0,--,0.13,0.12,20220831
20220331,1074414000.0,991600000.0,2119139000.0,1127539000.0,27471000.0,65842000.0,38371000.0,44575000.0,20190000.0,--,10042000.0,296000.0,--,430000.0,--,635520000.0,15422000.0,349971000.0,--,--,--,--,438894000.0,14431000.0,539000.0,--,--,--,452786000.0,88245000.0,--,--,--,364541000.0,--,364541000.0,-107818000.0,256723000.0,--,256723000.0,--,0.1,0.09,20220430
20211231,1193880000.0,1013523000.0,2132582000.0,1119059000.0,50979000.0,51428000.0,449000.0,133972000.0,24120000.0,--,-41982000.0,-73000.0,29437000.0,2812000.0,5212000.0,772927000.0,18284000.0,549678000.0,--,--,--,--,420953000.0,-8760000.0,407000.0,--,--,--,411786000.0,85635000.0,--,--,--,326151000.0,--,326151000.0,-132590000.0,193561000.0,--,193561000.0,--,0.09,0.06,20220430
20210930,1197648000.0,957553000.0,2166508000.0,1208955000.0,33653000.0,50597000.0,16944000.0,78699000.0,29966000.0,--,122505000.0,257000.0,--,2669000.0,2263000.0,685794000.0,15087000.0,365008000.0,--,--,--,--,511854000.0,10549000.0,7174000.0,--,--,--,515229000.0,74993000.0,--,--,--,440236000.0,--,440236000.0,57002000.0,497238000.0,--,497238000.0,--,0.12,0.12,20211030
20210630,1071889000.0,976363000.0,2115305000.0,1138942000.0,16202000.0,33381000.0,17179000.0,72777000.0,5876000.0,--,5108000.0,679000.0,--,541000.0,6066000.0,602938000.0,14695000.0,372165000.0,--,--,--,--,468951000.0,9324000.0,371000.0,--,--,--,477904000.0,58890000.0,--,--,--,419014000.0,--,419014000.0,60659000.0,479673000.0,--,479673000.0,--,0.11,0.12,20210828
20210331,1038684000.0,1011448000.0,2115711000.0,1104263000.0,22496000.0,27211000.0,4715000.0,43287000.0,18958000.0,--,-49748000.0,403000.0,5847000.0,327000.0,4624000.0,662994000.0,16463000.0,327340000.0,--,--,--,--,375690000.0,492000.0,2150000.0,--,--,--,374032000.0,44229000.0,--,--,--,329803000.0,--,329803000.0,49491000.0,379294000.0,--,379294000.0,--,0.09,0.08,20210428
20201231,973492000.0,935989000.0,2013971000.0,1077982000.0,-20826000.0,-8607000.0,12219000.0,53870000.0,20345000.0,--,-6925000.0,2037000.0,10000000.0,-605000.0,-48000.0,739122000.0,13182000.0,463678000.0,--,--,--,--,234370000.0,9408000.0,262000.0,--,--,--,243516000.0,-39333000.0,--,--,--,282849000.0,--,282849000.0,-62495000.0,220354000.0,--,220354000.0,--,0.07,0.06,20210428
20200930,1037510000.0,936727000.0,1947193000.0,1010466000.0,55082000.0,60552000.0,5470000.0,52673000.0,32721000.0,--,-12896000.0,1332000.0,0.0,4544000.0,48000.0,624366000.0,14235000.0,290651000.0,--,--,--,--,413144000.0,15056000.0,206000.0,--,--,--,427994000.0,-1692000.0,--,--,--,429686000.0,--,429686000.0,-77605000.0,352081000.0,--,352081000.0,--,0.12,0.11,20201031
20200630,1131706000.0,978221000.0,1898374000.0,920153000.0,49931000.0,57142000.0,7211000.0,120490000.0,2857000.0,--,-40953000.0,646000.0,--,1145000.0,--,619725000.0,14247000.0,321746000.0,--,--,--,--,511981000.0,19772000.0,5541000.0,--,--,--,526212000.0,120025000.0,--,--,--,406187000.0,--,406187000.0,-442319000.0,-36132000.0,--,-36132000.0,--,0.11,0.11,20200827
20200331,1334042000.0,989459000.0,1963277000.0,973818000.0,41446000.0,43680000.0,2234000.0,311449000.0,19520000.0,--,-12255000.0,1592000.0,--,2351000.0,--,931502000.0,15608000.0,283071000.0,--,--,--,--,402540000.0,868000.0,838000.0,--,--,--,402570000.0,79796000.0,--,--,--,322774000.0,--,322774000.0,133379000.0,456153000.0,--,456153000.0,--,0.09,0.09,20200430
20191231,1092063000.0,921809000.0,1969601000.0,1047792000.0,104049000.0,74746000.0,-29303000.0,135713000.0,30231000.0,--,-83061000.0,2026000.0,--,5254000.0,4659000.0,803972000.0,13411000.0,401724000.0,--,--,--,--,288091000.0,16366000.0,1760000.0,--,--,--,302697000.0,23409000.0,--,--,--,279288000.0,--,279288000.0,88907000.0,368195000.0,--,368195000.0,--,0.08,0.08,20200325
20190930,1178286000.0,1047666000.0,2073837000.0,1026171000.0,12380000.0,39285000.0,26905000.0,78444000.0,35923000.0,--,28185000.0,2182000.0,--,736000.0,8693000.0,675023000.0,13716000.0,368258000.0,--,--,--,--,503263000.0,1507000.0,6449000.0,--,--,--,498321000.0,75534000.0,--,--,--,422787000.0,--,422787000.0,7092000.0,429879000.0,--,429879000.0,--,0.11,0.11,20191023
20190630,1195654000.0,949712000.0,2009421000.0,1059709000.0,30003000.0,45294000.0,15291000.0,179527000.0,--,--,15888000.0,926000.0,--,530000.0,19068000.0,720347000.0,13703000.0,301190000.0,--,--,--,--,475307000.0,436000.0,396000.0,--,--,--,475347000.0,51879000.0,--,--,--,423468000.0,--,423468000.0,99725000.0,523193000.0,--,523193000.0,--,0.12,0.12,20190829
20190331,1209224000.0,1113974000.0,2169451000.0,1055477000.0,77636000.0,89493000.0,11857000.0,-4197000.0,--,--,11319000.0,2139000.0,--,3406000.0,4947000.0,835730000.0,14216000.0,316929000.0,--,--,--,--,373494000.0,2203000.0,155000.0,--,--,--,375542000.0,83993000.0,--,--,--,291549000.0,--,291549000.0,-53741000.0,237808000.0,--,237808000.0,--,0.08,0.08,20190422
20181231,1297804000.0,1093817000.0,2203352000.0,1109535000.0,135742000.0,147683000.0,11941000.0,10976000.0,10979000.0,--,30413000.0,4070000.0,163000.0,191000.0,22432000.0,997976000.0,13986000.0,432031000.0,--,--,--,--,299828000.0,12169000.0,362000.0,--,--,--,311635000.0,45339000.0,--,--,--,266296000.0,--,266296000.0,161406000.0,427702000.0,--,427702000.0,--,0.08,0.08,20190330
