报告期,营业收入*,手续费及佣金净收入,代理买卖证券业务净收入,证券承销业务净收入,受托客户资产管理业务净收入,利息净收入,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20221231,7776967803.03,4748312304.62,3599958185.64,533183002.68,234964050.34,1767095145.63,948864216.93,-90057083.83,--,71482396.87,5775405.73,54329977.97,180045843.06,1062512.22,5524050604.72,5524050604.72,61264189.15,5140150784.24,--,152765722.31,--,--,2252917198.31,11713274.68,16162490.21,--,--,--,2248467982.78,45784980.14,--,--,--,2202683002.64,54639643.96,2148043358.68,-183054851.35,2019628151.29,54639643.96,1964988507.33,--,0.26,0.26,20230228
20220930,5905407247.06,3538196955.85,2737283462.48,337174134.75,197167142.71,1324055515.68,453851789.79,-78259461.03,--,527437609.67,6097837.88,28872837.5,25898170.22,996530.47,3722976292.37,3722976292.37,47021442.18,3652943735.21,--,1974706.4,--,--,2182430954.69,9904004.12,5083190.32,--,--,--,2187251768.49,158532122.22,--,--,--,2028719646.27,88110079.35,1940609566.92,-72766172.59,1955953473.68,88110079.35,1867843394.33,--,0.24,0.24,20221028
20220630,4075854273.75,2337314663.38,1792931540.01,223995572.2,135430099.56,849346826.24,481776311.03,-48074778.19,--,373571585.16,2449076.36,21786909.95,8495278.56,1113623.07,2382131056.84,2382131056.84,31396269.87,2354242538.81,--,5554.18,--,--,1693723216.91,2274749.82,1385715.16,--,--,--,1694612251.57,199605818.06,--,--,--,1495006433.51,73669739.51,1421336694.0,-46803091.84,1448203341.67,73669739.51,1374533602.16,--,0.17,0.17,20220823
20220331,1667661360.94,1204599515.23,888761802.52,144856958.81,82816166.74,418441743.39,-208608533.49,-16820428.04,--,237172928.11,-841294.59,13725046.6,2879473.53,292482.16,1137935509.26,1137935509.26,12703590.34,1126155590.99,--,5554.18,--,--,529725851.68,436796.67,183217.58,--,--,--,529979430.77,67289607.34,--,--,--,462689823.43,-14355272.87,477045096.3,-15866774.61,446823048.82,-14355272.87,461178321.69,--,0.06,0.06,20220429
20211231,8621202071.85,5691078821.62,4701077403.06,438796719.9,257591216.5,2060629221.75,752078294.97,28915461.65,--,6546039.66,-154469.8,92013202.37,17930199.98,1080761.3,5931509022.11,5931509022.11,58524008.27,5397549064.64,191774763.5,761984.11,--,--,2689693049.74,29434387.5,30832964.31,--,--,--,2688294472.93,815859317.94,--,--,--,1872435154.99,50153085.51,1822282069.48,-60343907.24,1812091247.75,50153085.51,1761938162.24,--,0.22,0.22,20220331
20210930,6458626853.43,4241976241.14,3568399285.22,311111424.7,184033873.26,1616945225.89,553741091.27,7499869.3,--,-9539353.22,540438.75,17010591.91,37283834.83,668782.86,3845986456.27,3845986456.27,44087200.9,3576015833.55,--,3217577.69,--,--,2612640397.16,27802540.11,20308913.59,--,--,--,2620134023.68,648444255.71,--,--,--,1971689767.97,43412695.78,1928277072.19,-125867511.39,1845822256.58,43412695.78,1802409560.8,--,0.23,0.23,20211030
20210630,4079949848.55,2558070847.91,2127544592.16,195437295.9,120772996.4,930725013.28,699040072.78,15923187.29,--,-151416014.92,1672066.48,13136565.18,28042548.61,678749.23,2381615986.09,2381615986.09,25621626.27,2236826321.07,--,723414.47,--,--,1698333862.46,1534076.17,17605012.49,--,--,--,1682262926.14,341910178.57,--,--,--,1340352747.57,39805588.44,1300547159.13,-149122414.32,1191230333.25,39805588.44,1151424744.81,--,0.16,0.16,20210831
20210331,2048606121.69,1299544404.58,1074681786.99,96753140.99,68614523.01,445136416.46,436161844.41,49210533.77,--,-152228164.25,1044630.33,9877603.04,9477150.99,-407763.87,929307627.76,929307627.76,12470269.48,924861163.35,--,718470.17,--,--,1119298493.93,668057.11,795689.05,--,--,--,1119170861.99,224810768.77,--,--,--,894360093.22,5832287.17,888527806.05,-170304131.16,724055962.06,5832287.17,718223674.89,--,0.11,0.11,20210430
20201231,7541809241.46,5238940907.22,4148640930.64,655146543.73,259405126.92,1560455807.96,1254728040.03,17975957.68,--,-619277200.12,6155833.15,53918734.38,45324123.61,1562995.23,5942853872.36,5942853872.36,59360410.19,4899293308.24,650000.0,13617319.29,--,--,1598955369.1,33680522.88,84605754.66,--,--,--,1548030137.32,349887040.37,--,--,--,1198143096.95,101650826.05,1096492270.9,-106644667.74,1091498429.21,101650826.05,989847603.16,--,0.13,0.13,20210430
20200930,5724543460.0,4020186536.06,3163025986.84,499732198.25,204779173.16,1138695422.06,1083191077.57,170866921.62,--,-582957505.98,5305236.48,22586092.7,35564978.04,1971623.07,3753648905.81,3753648905.81,45997966.95,3420239138.26,--,7968442.48,--,--,1970894554.19,7807049.46,64521076.8,--,--,--,1914180526.85,416019696.41,--,--,--,1498160830.44,15734323.18,1482426507.26,-187138896.15,1311021934.29,15734323.18,1295287611.11,--,0.18,0.18,20201031
