报告期,经营活动产生的现金流量*,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,支付手续费的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,32339171000.0,--,--,15214176000.0,--,--,--,48467354000.0,28129225000.0,2250655000.0,1549233000.0,--,2147604000.0,1120302000.0,8393254000.0,16492998000.0,--,60083271000.0,--,-12585716000.0,--,54201916000.0,8047155000.0,9095000.0,--,--,--,62258166000.0,74623302000.0,220580000.0,--,--,74843882000.0,--,--,--,--,--,--,--,125980124000.0,--,125980124000.0,105070000000.0,1864644000.0,--,47280000.0,--,106981924000.0,--,18998200000.0,348795000.0,-4854638000.0,17028563000.0,12173925000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221027
20220630,--,32886593000.0,201019000.0,--,10081976000.0,--,1000037000.0,--,45327776000.0,23308205000.0,982415000.0,1111504000.0,--,1351540000.0,454105000.0,5056723000.0,17303296000.0,--,49567788000.0,--,-11581684000.0,--,34497560000.0,5161462000.0,8212000.0,--,--,--,39667234000.0,51088408000.0,160510000.0,--,--,51248918000.0,--,--,--,--,--,--,--,82273692000.0,--,82273692000.0,72510000000.0,509586000.0,--,31813000.0,--,73051399000.0,--,9222293000.0,51484000.0,-6547919000.0,17028563000.0,10480644000.0,--,2896970000.0,--,109246000.0,54342000.0,9620000.0,--,--,-5522000.0,--,260037000.0,--,-912031000.0,-320221000.0,--,--,-36107857000.0,30817232000.0,--,-1041828000.0,--,-4240012000.0,--,--,--,--,--,--,--,--,--,--,20220831
20220331,--,14215225000.0,--,--,4966982000.0,--,2000037000.0,--,21608290000.0,11809361000.0,478198000.0,733657000.0,--,633373000.0,585960000.0,2530939000.0,30176368000.0,--,46947856000.0,--,13018737000.0,--,26706120000.0,2695578000.0,13007000.0,--,--,--,29414705000.0,16316134000.0,79834000.0,--,--,16395968000.0,--,--,--,--,--,--,1651000.0,48464545000.0,--,48466196000.0,36390000000.0,429399000.0,--,14906000.0,--,36834305000.0,--,11631891000.0,-4014000.0,-692952000.0,17028563000.0,16335611000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20211231,--,5366149000.0,22687576000.0,--,20767092000.0,--,16738675000.0,--,66326740000.0,39025158000.0,--,1931856000.0,--,3372691000.0,3535974000.0,11690551000.0,1685301000.0,--,61241531000.0,--,-15841481000.0,--,54820365000.0,9741725000.0,69918000.0,--,--,--,64632008000.0,80123830000.0,349659000.0,--,--,80473489000.0,--,--,--,3714628000.0,--,--,--,125942895000.0,--,129657523000.0,110940000000.0,2405829000.0,--,37958000.0,--,113383787000.0,--,16273736000.0,-13122000.0,5504342000.0,11524221000.0,17028563000.0,--,4859025000.0,9485000.0,205027000.0,92131000.0,12119000.0,--,--,-20873000.0,--,-396016000.0,--,-1634236000.0,-595820000.0,--,--,-29480128000.0,32273229000.0,--,-238734000.0,--,5085209000.0,--,--,--,--,--,--,--,--,--,--,20220401
20210930,--,7769993000.0,9185459000.0,--,15145746000.0,--,5849424000.0,--,39052805000.0,34656805000.0,--,1500603000.0,--,2455560000.0,1885585000.0,8663671000.0,--,--,49162224000.0,--,-8292978000.0,--,42990628000.0,6855487000.0,68395000.0,--,--,--,49914510000.0,58011893000.0,195595000.0,--,--,58207488000.0,--,--,--,--,--,--,--,105648218000.0,--,105648218000.0,82920000000.0,1804872000.0,--,31731000.0,--,84756603000.0,--,20891615000.0,-35373000.0,2453845000.0,11524221000.0,13978066000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211030
20210630,--,11989253000.0,3839915000.0,--,9964339000.0,--,26050000.0,--,26431232000.0,30203353000.0,1424690000.0,1088757000.0,--,1592078000.0,1537853000.0,5276597000.0,7772226000.0,--,47470864000.0,--,-96347000.0,--,30405907000.0,4381306000.0,40594000.0,--,--,--,34827807000.0,34799965000.0,124189000.0,--,--,34924154000.0,--,--,--,3705288000.0,--,70979602000.0,--,70979602000.0,--,74684890000.0,49990000000.0,510427000.0,--,18195000.0,--,50518622000.0,--,24166268000.0,-42953000.0,2987336000.0,11524221000.0,14511557000.0,--,2754310000.0,7916000.0,101508000.0,42794000.0,6964000.0,--,--,-560000.0,--,-283232000.0,--,-917133000.0,-291791000.0,--,--,-38624340000.0,16458686000.0,--,-294754000.0,--,-21039632000.0,--,--,--,--,--,--,--,--,--,--,20210831
20210331,--,9145227000.0,1635457000.0,--,4390677000.0,--,18052000.0,--,16182408000.0,16381919000.0,689469000.0,738807000.0,--,744709000.0,271790000.0,2508661000.0,2707862000.0,--,24043217000.0,--,-2382270000.0,--,14965096000.0,2324774000.0,43612000.0,--,--,--,17333482000.0,19616364000.0,99388000.0,--,--,19715752000.0,--,--,--,3705289000.0,--,--,--,30609432000.0,--,34314721000.0,25810000000.0,417042000.0,--,10806000.0,--,26237848000.0,--,8076873000.0,13959000.0,-2152247000.0,11524221000.0,9371974000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,36923907000.0,15319224000.0,--,18686750000.0,--,13988623000.0,--,86268697000.0,37531136000.0,--,1627379000.0,--,3160144000.0,1016460000.0,10563923000.0,158592000.0,--,54057634000.0,--,-21680985000.0,--,63771833000.0,9909755000.0,53107000.0,--,17507000.0,--,73752202000.0,94988330000.0,444857000.0,--,--,95433187000.0,--,--,--,--,--,--,--,123831323000.0,--,123831323000.0,130720000000.0,1785790000.0,--,40131000.0,--,132545921000.0,--,-8714598000.0,-249938000.0,1565542000.0,9958679000.0,11524221000.0,--,4565695000.0,119303000.0,177592000.0,79381000.0,10142000.0,--,--,-34322000.0,--,248532000.0,--,-1392608000.0,-749372000.0,--,--,-30920091000.0,60512195000.0,--,-405384000.0,--,32211063000.0,--,--,--,11524221000.0,9958679000.0,--,--,--,--,1565542000.0,20210331
20200930,--,32772505000.0,7298466000.0,--,13907129000.0,4229279000.0,4626599000.0,--,59510859000.0,21781916000.0,--,1268263000.0,--,2560207000.0,1172627000.0,7920098000.0,158592000.0,--,34861703000.0,--,-19178712000.0,--,39850952000.0,6225498000.0,80284000.0,--,--,--,46156734000.0,65042713000.0,292733000.0,--,--,65335446000.0,--,--,--,--,--,--,--,95874710000.0,--,95874710000.0,97090000000.0,1242609000.0,--,28105000.0,--,98360714000.0,--,-2486004000.0,-97705000.0,2886735000.0,9958679000.0,12845414000.0,--,4006170000.0,7695000.0,129992000.0,57635000.0,7825000.0,--,--,-31052000.0,--,221434000.0,--,-1122861000.0,-654354000.0,--,--,-19443630000.0,41854985000.0,--,-523086000.0,--,24510753000.0,--,--,--,12825613000.0,9958679000.0,--,--,--,--,2866934000.0,20201222
20200630,--,19902118000.0,--,--,9136339000.0,10608058000.0,11570309000.0,--,41096473000.0,19207931000.0,--,903816000.0,--,1621768000.0,574674000.0,4975427000.0,3086600000.0,--,30370216000.0,--,-9480438000.0,--,27574515000.0,3932794000.0,11595000.0,--,--,--,31518904000.0,40872118000.0,127224000.0,--,--,40999342000.0,--,--,--,--,--,60776578000.0,--,60776578000.0,--,60776578000.0,59560000000.0,1236167000.0,--,16035000.0,--,60812202000.0,--,-35624000.0,40713000.0,1250908000.0,9958679000.0,11209587000.0,--,2620168000.0,2428000.0,84091000.0,37195000.0,4647000.0,--,--,-3759000.0,--,219666000.0,--,-792867000.0,-426527000.0,--,--,-17544753000.0,26723151000.0,--,-197183000.0,--,10726257000.0,--,--,--,11209587000.0,9958679000.0,--,--,--,--,1250908000.0,20201222
