报告期,经营活动产生的现金流量*,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,支付手续费的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,3449867000.0,-464350000.0,--,1390375000.0,32886000.0,-3363120000.0,--,1204573000.0,2516074000.0,481605000.0,143002000.0,--,70654000.0,20531000.0,602697000.0,-1973552000.0,--,1861011000.0,--,-84611000.0,--,22409359000.0,279707000.0,977000.0,--,--,--,22690043000.0,22730601000.0,44053000.0,--,--,22774654000.0,--,--,--,--,--,4300000000.0,--,--,--,4300000000.0,3370000000.0,99789000.0,--,--,--,3474356000.0,--,825644000.0,-10866000.0,73729000.0,0.0,73729000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221028
20220630,--,7255189000.0,-214104000.0,--,1356767000.0,878061000.0,2922548000.0,--,12507090000.0,5951051000.0,-306885000.0,173318000.0,--,214234000.0,273026000.0,567746000.0,3306609000.0,--,10179099000.0,--,-222731000.0,--,23458964000.0,414573000.0,--,--,--,--,23880660000.0,24086696000.0,16695000.0,--,--,24103391000.0,--,--,--,--,--,2060000000.0,--,--,--,2060000000.0,3040000000.0,339421000.0,--,--,--,3386875000.0,--,-1326875000.0,31469000.0,809854000.0,0.0,809854000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220818
20220331,--,2344167000.0,385798000.0,--,1303989000.0,733683000.0,-917113000.0,--,3891277000.0,3368149000.0,-149872000.0,333403000.0,--,64607000.0,138860000.0,873396000.0,-1535949000.0,--,3092594000.0,--,-1886583000.0,--,27811789000.0,296116000.0,--,--,--,--,28107905000.0,29898800000.0,95688000.0,--,--,29994488000.0,--,--,--,--,--,2780000000.0,--,--,--,2780000000.0,2120000000.0,55913000.0,3859000.0,--,--,2179772000.0,--,600228000.0,3456000.0,-484216000.0,4094080000.0,3609864000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220428
20211231,--,3534328000.0,--,--,1315496000.0,--,3218672000.0,--,10515182000.0,3404473000.0,-106563000.0,140863000.0,--,75010000.0,91119000.0,519985000.0,3280270000.0,--,8966867000.0,--,-3371927000.0,--,83783120000.0,292272000.0,4382000.0,--,--,--,84079774000.0,87378557000.0,73144000.0,--,--,87451701000.0,--,--,--,--,--,5240000000.0,--,--,--,5240000000.0,3730000000.0,94264000.0,--,--,--,3832412000.0,--,1407588000.0,18144000.0,-397880000.0,0.0,-397880000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220428
20210930,--,2758910000.0,-734556000.0,--,1252852000.0,-580576000.0,809087000.0,--,3506451000.0,5251014000.0,-353741000.0,140893000.0,--,147464000.0,38092000.0,536320000.0,-2533131000.0,--,3226911000.0,--,2611005000.0,--,27476172000.0,404437000.0,305000.0,--,--,--,27880914000.0,25233973000.0,35936000.0,--,--,25269909000.0,--,--,--,--,--,2620000000.0,--,--,--,2620000000.0,4910000000.0,49086000.0,--,--,--,4962203000.0,--,-2342203000.0,-71109000.0,477233000.0,0.0,477233000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211030
20210630,--,1734555000.0,-139142000.0,--,1312742000.0,1212176000.0,1621893000.0,--,5828677000.0,6000863000.0,162125000.0,194935000.0,--,187728000.0,93024000.0,534211000.0,2815876000.0,--,9988762000.0,--,769773000.0,--,19971345000.0,339650000.0,--,--,--,--,20312207000.0,19495378000.0,47056000.0,--,--,19542434000.0,--,--,--,--,--,8016721000.0,--,--,--,8016721000.0,4910000000.0,385870000.0,--,--,--,5307242000.0,--,2709479000.0,74310000.0,-606523000.0,-2000.0,-606525000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210820
20210331,--,6535908000.0,-237546000.0,--,1156862000.0,-2003489000.0,-3320651000.0,--,2247289000.0,2415243000.0,448541000.0,301972000.0,--,53785000.0,109314000.0,606921000.0,-2241778000.0,--,1693998000.0,--,-2773461000.0,--,18928477000.0,324747000.0,--,--,--,--,19253224000.0,21954927000.0,71758000.0,--,--,22026685000.0,--,--,--,--,--,5422744000.0,--,--,--,5422744000.0,4360000000.0,20189000.0,--,--,--,4380189000.0,--,1042555000.0,-5375000.0,-1182990000.0,5804242000.0,4621252000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,1086935000.0,1298396000.0,--,1169913000.0,1086151000.0,-145587000.0,--,4321243000.0,2868592000.0,285456000.0,122323000.0,--,10393000.0,-151247000.0,441767000.0,2490595000.0,--,6067879000.0,--,1214951000.0,--,63382773000.0,290149000.0,6712000.0,--,--,--,63679634000.0,62389078000.0,75605000.0,--,--,62464683000.0,--,--,--,--,--,4485580000.0,--,--,--,4485580000.0,2220000000.0,-80045000.0,--,--,--,2139955000.0,--,2345625000.0,33796000.0,1847736000.0,0.0,1847736000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20200930,--,2264657000.0,95097000.0,--,1199437000.0,551722000.0,-1735878000.0,--,2661486000.0,2558158000.0,-798476000.0,158016000.0,--,143950000.0,300735000.0,384530000.0,-964882000.0,--,-454554000.0,--,-2244727000.0,--,14493822000.0,355255000.0,99000.0,--,--,--,14849176000.0,17035846000.0,58057000.0,--,--,17093903000.0,--,--,--,--,--,1855296000.0,--,--,--,1855296000.0,4040000000.0,25160000.0,--,--,--,4065160000.0,--,-2209864000.0,13459000.0,-1325092000.0,0.0,-1325092000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201029
20200630,--,6232691000.0,-383998000.0,--,1117427000.0,936755000.0,--,--,9904971000.0,3440400000.0,-422467000.0,169111000.0,--,262922000.0,-239546000.0,392580000.0,3480784000.0,--,9320369000.0,--,-831784000.0,--,7256787000.0,410806000.0,--,--,--,--,7677009000.0,8478708000.0,30085000.0,--,--,8508793000.0,--,--,--,--,--,5539694000.0,--,--,--,5539694000.0,6700000000.0,330536000.0,--,--,--,7030536000.0,--,-1490842000.0,-2863000.0,-1740887000.0,0.0,-1740887000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200828
