报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1691179093.52,1691179093.52,0.0,--,--,--,1651411261.86,1618537907.13,2362088.44,4151588.18,7541088.7,20486513.19,-1667923.78,4402102.08,377110.78,--,5918806.47,0.0,--,--,--,--,--,--,--,5163589.63,-938516.28,559995.42,--,334500.0,--,--,--,--,50246211.48,13443.69,11807.81,--,--,--,50247847.36,11402962.27,--,--,--,38844885.09,38844885.09,--,-987993.16,39832878.25,--,38844885.09,-987993.16,39832878.25,--,0.16,0.16,20221028
20220630,1951519852.77,1951519852.77,0.0,--,--,--,1892766442.88,1864885287.8,3574383.31,5596375.25,7661478.53,14015266.19,-2966348.2,6820816.56,231105.82,--,7304.0,0.0,--,--,--,--,--,--,--,3144973.92,-317348.82,655057.52,--,--,--,--,--,--,60945488.99,6909.19,1289.07,--,--,--,60951109.11,13025740.37,--,--,--,47925368.74,47925368.74,--,-1287494.58,49212863.32,--,47925368.74,-1287494.58,49212863.32,--,0.2,0.2,20220822
20220331,1725776963.59,1725776963.59,0.0,--,--,--,1698720935.49,1665108670.21,2574300.81,3152140.35,9177805.32,10765439.64,7942579.16,7407373.28,158425.18,--,2201155.13,0.0,--,--,--,--,--,--,--,2994927.87,109863.36,109863.36,--,--,--,--,--,--,32361974.46,15992.5,503418.8,--,--,--,31874548.16,6347723.84,--,--,--,25526824.32,25526824.32,--,-598515.85,26125340.17,--,25526824.32,-598515.85,26125340.17,--,0.11,0.11,20220427
20211231,1915051277.54,1915051277.54,0.0,--,--,--,1874996623.82,1835770076.17,3031598.05,3961991.49,9123669.51,15557414.18,7551874.42,5487598.28,276999.98,--,-7888332.33,0.0,--,--,--,--,--,--,--,2967730.24,977276.54,1267598.15,--,--,4429.38,--,--,--,36115757.55,0.36,361469.21,--,--,--,35754288.7,5885905.09,--,--,--,29868383.61,29868383.61,--,-507169.49,30375553.1,--,29868383.61,-507169.49,30375553.1,--,0.12,0.12,20220328
20210930,1767306337.46,1767306337.46,0.0,--,--,--,1714761707.97,1683067879.77,2553902.75,3304066.42,7410031.38,13165493.99,5260333.66,5462145.97,259611.31,--,4093966.06,0.0,--,--,--,--,--,--,--,3453206.67,-65051.95,318316.93,--,--,--,--,--,--,59979895.15,0.0,197264.66,--,--,--,59782630.49,12624415.78,--,--,--,47158214.71,47158214.71,--,-108061.25,47266275.96,--,47158214.71,-108061.25,47266275.96,--,0.19,0.19,20211026
20210630,1780771427.35,1780771427.35,0.0,--,--,--,1727890537.51,1693272423.12,2666181.85,3475470.39,7081137.73,14862271.28,6533053.14,5000187.49,191113.83,--,-8301900.77,0.0,--,--,--,--,--,--,--,2056684.33,-276789.3,220761.0,--,--,--,--,--,--,46358884.1,0.0,9632.98,--,--,--,46349251.12,7735328.14,--,--,--,38613922.98,38613922.98,--,194481.4,38419441.58,--,38613922.98,194481.4,38419441.58,--,0.16,0.16,20210816
20210331,1316660619.32,1316660619.32,0.0,--,--,--,1289499890.69,1262126477.81,2165023.76,3178053.62,5235681.47,13643641.27,3151012.76,3493166.6,213682.09,--,-3445373.68,0.0,--,--,--,--,--,--,--,1307937.53,-397223.13,-21012.66,--,--,--,--,--,--,24626069.35,181.71,897.44,--,--,--,24625353.62,3258135.13,--,--,--,21367218.49,21367218.49,--,-113141.88,21480360.37,--,21367218.49,-113141.88,21480360.37,--,0.09,0.09,20210428
20201231,1234899217.52,1234899217.52,0.0,--,--,--,1217437209.21,1186396301.97,3252144.99,3233886.17,6835070.31,13553445.28,4166360.49,2930169.39,335153.81,--,-3033002.62,0.0,--,--,--,--,--,--,--,3650840.86,-90980.44,100958.15,--,--,0.0,--,--,--,15150729.19,-1635550.29,249753.07,--,--,--,13265425.83,1920508.76,--,--,--,11344917.07,11344917.07,--,-167168.26,11512085.33,--,11344917.07,-167168.26,11512085.33,--,0.05,0.05,20210428
20200930,1055988016.63,1055988016.63,0.0,--,--,--,1030118087.36,1004290173.27,2776130.98,2798434.81,6515305.63,10078572.61,3659470.06,2791139.61,383336.67,--,-1832589.52,0.0,--,--,--,--,--,--,--,415991.87,-227712.02,-35363.87,--,--,0.0,--,--,--,24225619.6,506614.21,9052.97,--,--,--,24723180.84,3976094.89,--,--,--,20747085.95,20747085.95,--,-104245.85,20851331.8,--,20747085.95,-104245.85,20851331.8,--,0.09,0.09,20201029
20200630,892109779.96,892109779.96,0.0,--,--,--,881847723.41,864581938.14,1858673.7,2078844.97,4725454.44,6974345.29,1628466.87,2190011.81,640805.2,--,-855808.56,0.0,--,--,--,--,--,--,--,553393.51,-35932.81,-35932.81,--,--,--,--,--,--,9920750.29,--,1306.12,--,--,--,11633980.25,477191.91,--,--,--,11156788.34,11156788.34,--,--,11210010.94,--,11156788.34,--,11210010.94,--,0.01,0.01,20200831
