报告期,经营活动产生的现金流量*,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入（金融类）,保户储金净增加额,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,收到原保险合同保费取得的现金,收到再保业务现金净额,处置交易性金融资产净增加额,拆入资金净增加额,回购业务资金净增加额,经营活动现金流入差额（特殊报表项目）,经营活动现金流入差额（合计平衡项目）,经营活动现金流入小计*,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出（金融类）,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付原保险合同赔付款项的现金,支付手续费的现金,支付保单红利的现金,经营活动现金流出差额（特殊报表科目）,经营活动现金流出差额（合计平衡项目）,经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目)）,经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额（特殊报表科目）,投资活动现金流入差额（合计平衡项目）,投资活动现金流入小计*,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出差额（特殊报表科目）,投资活动现金流出差额（合计平衡项目）,投资活动现金流出小计*,投资活动产生的现金流量净额差额（合计平衡项目）,投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,发行债券收到的现金,筹资活动现金流入差额（特殊报表科目）,筹资活动现金流入差额（合计平衡项目）,筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出差额（特殊报表科目）,筹资活动现金流出差额（合计平衡项目）,筹资活动现金流出小计*,筹资活动产生的现金流量净额差额（合计平衡项目）,筹资活动产生的现金流量净额*,汇率变动对现金的影响*,直接法-现金及现金等价物净增加额差值（特殊报表科目）,直接法-现金及现金等价物净增加额差值（合计平衡项目）,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,未确认投资损失,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),公告日期#
20220930,--,140803085.47,32905573.52,5225365.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,178934024.79,65616583.87,58366103.9,13054142.87,34283335.48,0.0,--,--,--,--,--,--,--,171320166.12,--,7613858.67,--,90292392.84,--,0.0,--,0.0,--,--,88832898.43,6238199.21,108400000.0,--,0.0,--,--,114638199.21,--,-25805300.78,--,--,--,100000000.0,--,--,--,--,100000000.0,--,770946.79,--,--,--,--,770946.79,--,99229053.21,192380.27,--,--,81229991.37,0.0,81229991.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221028
20220630,--,116412501.54,5545372.08,3576102.81,0.0,--,--,--,--,--,--,--,--,--,--,--,--,125533976.43,78627377.96,53133662.86,9961138.74,19454294.85,0.0,--,--,--,--,--,--,--,161176474.41,--,-35642497.98,--,171700000.0,216939.56,820366.54,--,0.0,--,--,172737306.1,20268364.54,111700000.0,--,0.0,--,--,131968364.54,--,40768941.56,--,--,--,-10000000.0,--,--,--,--,-10000000.0,--,43230443.61,--,--,--,--,43230443.61,--,-53230443.61,-1586491.08,--,--,-49690491.11,0.0,-49690491.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220825
20220331,--,125202010.78,10623394.54,2104062.47,0.0,--,--,--,--,--,--,--,--,--,--,--,--,137929467.79,101692960.28,68391613.82,14333169.8,19646762.57,0.0,--,--,--,--,--,--,--,204064506.47,--,-66135038.68,--,567391000.0,1242554.85,177102.05,--,665000.0,--,--,569475656.9,18159063.46,347391000.0,--,665000.0,--,--,366215063.46,--,203260593.44,--,--,--,50000000.0,--,--,--,--,50000000.0,--,741333.33,--,--,--,--,741333.33,--,49258666.67,-2305629.24,--,--,184078592.19,316546882.62,500625474.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220427
20211231,--,157387470.11,8456980.91,10642286.69,0.0,--,--,--,--,--,--,--,--,--,--,--,--,176486737.71,85645495.66,54799941.38,11802159.36,24093236.58,0.0,--,--,--,--,--,--,--,176340832.98,--,145904.73,--,553288000.0,2136374.16,70661.76,--,--,--,--,559025035.92,16153882.72,603288000.0,--,--,--,--,619971882.72,--,-60946846.8,--,-288679.16,--,--,--,--,--,--,-288679.16,0.0,0.0,--,8460.92,--,--,8460.92,--,-297140.08,-6700354.42,--,--,-67798436.57,0.0,-67798436.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220427
20210930,--,125450706.05,6786642.3,15868544.51,0.0,--,--,--,--,--,--,--,--,--,--,--,--,148105892.86,36348650.32,49546267.09,26248941.58,20486572.75,0.0,--,--,--,--,--,--,--,132630431.74,--,15475461.12,--,36000000.0,366142.97,259240.88,--,--,--,--,36625383.85,13359283.53,--,--,--,--,--,329359283.53,--,-292733899.68,--,--,--,--,--,--,--,--,--,0.0,22082.56,--,207053.05,--,--,229135.61,--,418959440.0,-1360069.46,--,--,140340931.98,0.0,140340931.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,120929214.12,10031950.48,8074370.16,0.0,--,--,--,--,--,--,--,--,--,--,--,--,139035534.76,22468269.42,43562664.3,17329097.38,19060274.9,0.0,--,--,--,--,--,--,--,102420306.0,--,36615228.76,--,0.0,106187.2,--,--,--,--,--,303368.81,17120163.59,--,--,--,--,--,17120163.59,--,-16816794.78,--,--,--,--,--,--,--,--,--,--,--,--,0.0,--,--,52228817.7,--,-52228817.7,-1428310.75,--,--,-33858694.47,0.0,-33858694.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210824
20210331,--,106901443.75,11466505.41,4333612.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,122701561.16,25561454.6,49726854.06,39663249.12,14609917.51,0.0,--,--,--,--,--,--,--,129561475.29,--,-6859914.13,--,80000000.0,1179540.12,--,--,--,--,--,81179540.12,16457113.09,--,--,--,--,--,16457113.09,--,64722427.03,--,--,--,--,--,--,--,--,--,--,--,--,270666.64,--,--,270666.64,--,-270666.64,-1156731.84,--,--,56435114.42,221427967.26,277863081.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210428
20201231,--,159094030.21,7406590.65,3230784.97,0.0,--,--,--,--,--,--,--,--,--,--,--,--,169731405.83,15177412.32,40789287.6,19472361.79,19740441.29,0.0,--,--,--,--,--,--,--,95179503.0,--,74551902.83,--,10000000.0,1155289.42,-111792.56,--,--,--,--,11043496.86,10303002.06,80000000.0,--,--,--,--,93303002.06,--,-82259505.2,--,--,--,--,--,--,--,--,--,0.0,0.0,--,--,--,--,427798.75,--,-427798.75,-3415078.43,--,--,-11550479.55,0.0,-11550479.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210330
20200930,--,101182444.47,16435670.32,16363405.68,0.0,--,--,--,--,--,--,--,--,--,--,--,--,133981520.47,24307733.17,37587969.72,26146242.25,20312510.41,0.0,--,--,--,--,--,--,--,108354455.55,--,25627064.92,--,70000000.0,46599.73,154841.36,--,--,--,--,70201441.09,4933438.79,70000000.0,--,--,--,--,74933438.79,--,-4731997.7,--,--,--,--,--,--,--,--,--,0.0,1980000.0,--,--,--,--,1980000.0,--,-1980000.0,-1345686.21,--,--,17569381.01,0.0,17569381.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201029
20200630,--,93414362.68,0.0,10752166.78,0.0,--,--,--,--,--,--,--,--,--,--,--,--,104166529.46,31583128.68,31479151.87,15782172.96,21919985.97,0.0,--,--,--,--,--,--,--,100764439.48,--,3402089.98,--,190000000.0,630131.5,199543.3,--,--,--,--,190829674.8,3244818.12,10000000.0,--,--,--,--,13244818.12,--,177584856.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,340359.57,--,--,95070540.43,0.0,95070540.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200812
