timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
2009-09-10,19802309,4.06,4.14,4.04,4.06,-0.01,-0.25,1.13,80991627,,,150.6945,4.083,2.5182,28.1956,7090304087.02,,,,,,,
2009-09-11,20036090,4.05,4.12,4.03,4.1,0.04,0.99,1.15,82021573,,,152.1791,4.1233,2.543,28.4734,7160159299.7,,,,,,,
2009-09-14,47243134,4.11,4.26,4.11,4.24,0.14,3.41,2.71,198644599,,,157.3755,4.2641,2.6298,29.4456,7404652544.08,,,,,,,
2009-09-15,28050750,4.22,4.24,4.13,4.2,-0.04,-0.94,1.61,117390235,,,155.8908,4.2238,2.605,29.1678,7334797331.4,,,,,,,
2009-09-16,23941604,4.19,4.24,4.13,4.18,-0.02,-0.48,1.37,100154271,,,155.1485,4.2037,2.5926,29.0289,7299869725.06,,,,,,,
2009-09-17,60877444,4.18,4.37,4.18,4.35,0.17,4.07,3.49,262785647,,,161.4584,4.3747,2.698,30.2095,7596754378.95,,,,,,,
2009-09-18,47729725,4.35,4.39,4.1,4.16,-0.19,-4.37,2.73,203141544,,,154.4061,4.1836,2.5802,28.89,7264942118.72,,,,,,,
2009-09-21,19345117,4.12,4.2,4.08,4.2,0.04,0.96,1.11,79985276,,,155.8908,4.2238,2.605,29.1678,7334797331.4,,,,,,,
2009-09-22,18002278,4.18,4.23,4.08,4.09,-0.11,-2.62,1.03,74581879,,,151.808,4.1132,2.5368,28.4039,7142695496.53,,,,,,,
2009-09-23,19338458,4.08,4.13,3.9,3.94,-0.15,-3.67,1.11,77669108,,,146.2404,3.9624,2.4437,27.3622,6880738448.98,,,,,,,
2009-09-24,13503705,3.9,4,3.85,3.95,0.01,0.25,0.77,52927398,,,146.6116,3.9724,2.4499,27.4317,6898202252.15,,,,,,,
2009-09-25,9442577,3.96,3.97,3.88,3.9,-0.05,-1.27,0.54,37021452,,,144.7558,3.9221,2.4189,27.0844,6810883236.3,,,,,,,
2009-09-28,11059749,3.91,3.97,3.78,3.81,-0.09,-2.31,0.63,43044093,,,141.4152,3.8316,2.3631,26.4594,6653709007.77,,,,,,,
2009-09-29,11773875,3.81,3.86,3.66,3.74,-0.07,-1.84,0.67,43957857,,,138.8171,3.7612,2.3197,25.9733,6531462385.58,,,,,,,
2009-09-30,10376852,3.78,3.83,3.73,3.75,0.01,0.27,0.59,39239650,,,421.1988,3.7957,2.3445,24.7764,6548926188.75,,,,,,,
2009-10-09,12829768,3.81,3.92,3.81,3.92,0.17,4.53,0.73,49715156,,,440.2932,3.9678,2.4508,25.8996,6845810842.64,,,,,,,
2009-10-12,17542614,3.93,4.03,3.91,3.95,0.03,0.77,1,69913022,,,443.6628,3.9981,2.4696,26.0978,6898202252.15,,,,,,,
2009-10-13,9456250,3.94,4,3.94,3.98,0.03,0.76,0.54,37514176,,,447.0324,4.0285,2.4883,26.296,6950593661.66,,,,,,,
2009-10-14,15978122,3.98,4.05,3.96,3.99,0.01,0.25,0.91,64098999,,,448.1556,4.0386,2.4946,26.3621,6968057464.83,,,,,,,
2009-10-15,17716325,3.99,4.06,3.99,4.06,0.07,1.75,1.01,71446459,,,456.018,4.1095,2.5383,26.8246,7090304087.02,,,,,,,
2009-10-16,15506413,4.07,4.09,3.99,4.07,0.01,0.25,0.89,62480762,,,457.1411,4.1196,2.5446,26.8906,7107767890.19,,,,,,,
2009-10-19,29847077,4.1,4.13,4.05,4.12,0.05,1.23,1.71,122122253,,,462.7571,4.1702,2.5759,27.221,7195086906.04,,,,,,,
2009-10-20,55069190,4.2,4.24,4.17,4.22,0.1,2.43,3.15,231552909,,,473.9891,4.2714,2.6384,27.8817,7369724937.74,,,,,,,
2009-10-21,24302731,4.21,4.21,4.13,4.14,-0.08,-1.9,1.39,101141099,,,465.0035,4.1904,2.5884,27.3531,7230014512.38,,,,,,,
2009-10-22,16131208,4.14,4.18,4.11,4.12,-0.02,-0.48,0.92,66732284,,,462.7571,4.1702,2.5759,27.221,7195086906.04,,,,,,,
2009-10-23,68179800,4.12,4.45,4.12,4.3,0.18,4.37,3.9,294543613,,,482.9747,4.3524,2.6884,28.4102,7509435363.1,,,,,,,
2009-10-26,33050778,4.29,4.29,4.18,4.23,-0.07,-1.63,1.89,139294650,,,475.1123,4.2815,2.6446,27.9478,7387188740.91,,,,,,,
2009-10-27,21318871,4.21,4.21,4.1,4.11,-0.12,-2.84,1.22,88405337,,,461.6339,4.1601,2.5696,27.1549,7177623102.87,,,,,,,
2009-10-28,20219159,4.11,4.24,4.07,4.22,0.11,2.68,1.16,83842910,,,473.9891,4.2714,2.6384,27.8817,7369724937.74,,,,,,,
2009-10-29,27169698,4.17,4.26,4.13,4.16,-0.06,-1.42,1.56,113994819,,,467.2499,4.2107,2.6009,27.4853,7264942118.72,,,,,,,
2009-10-30,29747750,4.2,4.32,4.16,4.19,0.03,0.72,1.7,126191714,,,470.6195,4.241,2.6196,27.6835,7317333528.23,,,,,,,
2009-11-02,47340362,4.09,4.35,4.04,4.34,0.15,3.58,2.71,201165948,,,487.4675,4.3929,2.7134,28.6745,7579290575.78,,,,,,,
2009-11-03,79250045,4.32,4.45,4.28,4.44,0.1,2.3,4.54,347626357,,,498.6994,4.4941,2.7759,29.3352,7753928607.48,,,,,,,
2009-11-04,112285407,4.54,4.56,4.41,4.44,0,0,6.43,504419108,,,498.6994,4.4941,2.7759,29.3352,7753928607.48,,,,,,,
2009-11-05,69487935,4.43,4.58,4.36,4.51,0.07,1.58,3.98,311409118,,,506.5618,4.5649,2.8197,29.7977,7876175229.67,,,,,,,
2009-11-06,51596493,4.53,4.57,4.46,4.48,-0.03,-0.67,2.95,232418238,,,503.1922,4.5346,2.8009,29.5995,7823783820.16,,,,,,,
2009-11-09,29395497,4.48,4.54,4.44,4.49,0.01,0.22,1.68,131578784,,,504.3154,4.5447,2.8072,29.6656,7841247623.33,,,,,,,
2009-11-10,44617971,4.49,4.55,4.42,4.49,0,0,2.55,200490123,,,504.3154,4.5447,2.8072,29.6656,7841247623.33,,,,,,,
2009-11-11,111519725,4.47,4.77,4.44,4.71,0.22,4.9,6.39,515258331,,,529.0258,4.7674,2.9447,31.1191,8225451293.07,,,,,,,
2009-11-12,76460091,4.7,4.71,4.6,4.66,-0.05,-1.06,4.38,355756668,,,523.4098,4.7168,2.9135,30.7888,8138132277.22,,,,,,,
2009-11-13,61450497,4.66,4.73,4.59,4.68,0.02,0.43,3.52,286459941,,,525.6562,4.737,2.926,30.9209,8173059883.56,,,,,,,
2009-11-16,88112453,4.7,4.88,4.68,4.86,0.18,3.85,5.05,423024067,,,545.8737,4.9192,3.0385,32.1102,8487408340.62,,,,,,,
2009-11-17,42176928,4.86,4.87,4.76,4.83,-0.03,-0.62,2.42,203280537,,,542.5041,4.8888,3.0198,31.912,8435016931.11,,,,,,,
2009-11-18,39236324,4.82,4.85,4.75,4.79,-0.04,-0.83,2.25,187870578,,,538.0113,4.8484,2.9947,31.6477,8365161718.43,,,,,,,
2009-11-19,75999615,4.79,4.9,4.73,4.89,0.1,2.09,4.35,367162441,,,549.2433,4.9496,3.0573,32.3084,8539799750.13,,,,,,,
2009-11-20,44085731,4.88,4.9,4.81,4.83,-0.06,-1.23,2.52,214095926,,,542.5041,4.8888,3.0198,31.912,8435016931.11,,,,,,,
2009-11-23,80443976,4.83,5.08,4.81,5.04,0.21,4.35,4.61,397358086,,,566.0913,5.1014,3.151,33.2994,8801756797.68,,,,,,,
2009-11-24,106074236,5.03,5.09,4.71,4.72,-0.32,-6.35,6.07,525056869,,,530.1489,4.7775,2.951,31.1852,8242915096.24,,,,,,,
2009-11-25,47659575,4.69,4.88,4.66,4.87,0.15,3.18,2.73,227746331,,,546.9969,4.9293,3.0448,32.1763,8504872143.79,,,,,,,
2009-11-26,50128212,4.88,4.9,4.59,4.6,-0.27,-5.54,2.87,237500631,,,516.6706,4.656,2.876,30.3924,8033349458.2,,,,,,,
2009-11-27,36887550,4.59,4.66,4.48,4.49,-0.11,-2.39,2.11,168028356,,,504.3154,4.5447,2.8072,29.6656,7841247623.33,,,,,,,
2009-11-30,27606186,4.52,4.65,4.52,4.64,0.15,3.34,1.58,127117197,,,521.1634,4.6965,2.901,30.6566,8103204670.88,,,,,,,
2009-12-01,42398574,4.65,4.85,4.61,4.83,0.19,4.09,2.43,201950252,,,542.5041,4.8888,3.0198,31.912,8435016931.11,,,,,,,
2009-12-02,47388334,4.85,4.93,4.81,4.86,0.03,0.62,2.71,231062245,,,545.8737,4.9192,3.0385,32.1102,8487408340.62,,,,,,,
2009-12-03,64320629,4.84,4.99,4.8,4.96,0.1,2.06,3.68,316639388,,,557.1057,5.0204,3.101,32.7709,8662046372.32,,,,,,,
2009-12-04,72721229,4.95,5.05,4.78,4.86,-0.1,-2.02,4.16,357221827,,,545.8737,4.9192,3.0385,32.1102,8487408340.62,,,,,,,
2009-12-07,29159633,4.86,4.93,4.82,4.88,0.02,0.41,1.67,141949426,,,548.1201,4.9394,3.051,32.2423,8522335946.96,,,,,,,
2009-12-08,29078656,4.89,4.89,4.77,4.83,-0.05,-1.02,1.67,140041223,,,542.5041,4.8888,3.0198,31.912,8435016931.11,,,,,,,
2009-12-09,28633596,4.77,4.85,4.69,4.75,-0.08,-1.66,1.64,136400901,,,533.5185,4.8079,2.9697,31.3834,8295306505.75,,,,,,,
2009-12-10,19569057,4.75,4.84,4.73,4.78,0.03,0.63,1.12,93504049,,,536.8881,4.8382,2.9885,31.5816,8347697915.26,,,,,,,
2009-12-11,23943467,4.8,4.85,4.75,4.79,0.01,0.21,1.37,114988406,,,538.0113,4.8484,2.9947,31.6477,8365161718.43,,,,,,,
2009-12-14,24647106,4.79,4.8,4.6,4.73,-0.06,-1.25,1.41,115148679,,,531.2721,4.7876,2.9572,31.2513,8260378899.41,,,,,,,
2009-12-15,18714472,4.68,4.75,4.65,4.69,-0.04,-0.85,1.07,87851960,,,526.7794,4.7471,2.9322,30.987,8190523686.73,,,,,,,
2009-12-16,28326358,4.69,4.7,4.57,4.59,-0.1,-2.13,1.62,130860661,,,515.5474,4.6459,2.8697,30.3263,8015885655.03,,,,,,,
2009-12-17,26253959,4.6,4.62,4.45,4.46,-0.13,-2.83,1.5,118165242,,,500.9458,4.5143,2.7884,29.4674,7788856213.82,,,,,,,
2009-12-18,20733293,4.42,4.49,4.37,4.38,-0.08,-1.79,1.19,91622569,,,491.9603,4.4334,2.7384,28.9388,7649145788.46,,,,,,,
