timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
2010-06-02,8088752,2.9241,2.98,2.8988,2.9749,0.0254,0.86,0.43,46783162,,,93.6862,1.1617,0.325,-3.1093,11123518909.48,,,,,,,
2010-06-03,14896245,2.9851,3.0663,2.9546,2.9851,0.0102,0.34,0.79,88650389,,,94.0059,1.1657,0.3261,-3.1199,11161483137.84,,,,,,,
2010-06-04,10680464,3.0155,3.0511,2.9851,3.0308,0.0457,1.53,0.56,63546526,,,95.4448,1.1835,0.3311,-3.1676,11332322165.46,,,,,,,
2010-06-07,10099102,2.9546,3.0054,2.9445,2.98,-0.0508,-1.68,0.53,59147893,,,93.846,1.1637,0.3256,-3.1146,11142501023.66,,,,,,,
2010-06-08,10004821,2.9749,3.0003,2.9546,2.9851,0.0051,0.17,0.53,58710129,,,94.0059,1.1657,0.3261,-3.1199,11161483137.84,,,,,,,
2010-06-09,17046386,2.9952,3.0764,2.9851,3.0714,0.0863,2.89,0.9,102018133,,,96.7238,1.1994,0.3356,-3.2101,11484179078.9,,,,,,,
2010-06-10,18662131,3.046,3.1475,3.0308,3.1069,0.0355,1.16,0.99,113780468,,,97.8429,1.2133,0.3395,-3.2472,11617053878.16,,,,,,,
2010-06-11,14699143,3.1018,3.1374,3.0815,3.0968,-0.0101,-0.33,0.78,90044000,,,97.5231,1.2093,0.3383,-3.2366,11579089649.8,,,,,,,
2010-06-17,7460814,3.1171,3.1272,3.0612,3.0612,-0.0356,-1.15,0.39,45307344,,,96.404,1.1954,0.3345,-3.1995,11446214850.54,,,,,,,
2010-06-18,11703439,3.0511,3.0764,2.9445,2.9546,-0.1066,-3.48,0.62,69526995,,,93.0467,1.1538,0.3228,-3.088,11047590452.76,,,,,,,
2010-06-21,18114741,2.9546,3.1323,2.9546,3.1069,0.1523,5.15,0.96,109716633,,,97.8429,1.2133,0.3395,-3.2472,11617053878.16,,,,,,,
2010-06-22,13902841,3.1221,3.1323,3.0917,3.1069,0,0,0.73,85123237,,,97.8429,1.2133,0.3395,-3.2472,11617053878.16,,,,,,,
