timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
2016-11-29,8146,5.7835,6.9402,5.7835,6.9402,2.119,43.95,0.03,115214.82,,,23.5208,2.7457,2.7727,41.5773,1464000000,,,,,,,
2016-11-30,2217,7.6323,7.6323,7.6323,7.6323,0.6921,9.97,0.01,35693.7,,,25.8665,3.0195,3.0492,45.7237,1610000000,,,,,,,
2016-12-01,300,8.3956,8.3956,8.3956,8.3956,0.7633,10,0,5313,,,28.4531,3.3215,3.3542,50.2961,1771000000,,,,,,,
2016-12-02,2258,9.2347,9.2347,9.2347,9.2347,0.8391,9.99,0.01,43985.84,,,31.2968,3.6535,3.6894,55.3228,1948000000,,,,,,,
2016-12-05,10700,10.1591,10.1591,10.1591,10.1591,0.9244,10.01,0.04,229301,,,34.4297,4.0192,4.0587,60.8608,2143000000,,,,,,,
2016-12-06,3300,11.1736,11.1736,11.1736,11.1736,1.0145,9.99,0.01,77781,,,37.8679,4.4205,4.464,66.9383,2357000000,,,,,,,
2016-12-07,5046,12.2923,12.2923,12.2923,12.2923,1.1187,10.01,0.02,130842.78,,,41.6595,4.8631,4.911,73.6407,2593000000,,,,,,,
2016-12-08,5611,13.5202,13.5202,13.5202,13.5202,1.2279,9.99,0.02,160025.72,,,45.8206,5.3489,5.4015,80.9962,2852000000,,,,,,,
2016-12-09,15839,14.8712,14.8712,14.8712,14.8712,1.351,9.99,0.06,496869.43,,,50.3995,5.8834,5.9413,89.0902,3137000000,,,,,,,
2016-12-12,29970,16.3598,16.3598,16.3598,16.3598,1.4886,10.01,0.12,1034264.7,,,55.4442,6.4723,6.536,98.0077,3451000000,,,,,,,
2016-12-13,49774,17.9953,17.9953,17.9953,17.9953,1.6355,10,0.2,1889421.04,,,60.9871,7.1194,7.1894,107.8057,3796000000,,,,,,,
2016-12-14,33092,19.7967,19.7967,19.7967,19.7967,1.8014,10.01,0.13,1381921.92,,,67.0922,7.832,7.9091,118.5976,4176000000,,,,,,,
2016-12-15,21674,21.7783,21.7783,21.7783,21.7783,1.9816,10.01,0.09,995703.56,,,73.8078,8.616,8.7007,130.4687,4594000000,,,,,,,
2016-12-16,100653,23.9542,23.9542,23.9542,23.9542,2.1759,9.99,0.4,5085996.09,,,81.1822,9.4768,9.5701,143.5042,5053000000,,,,,,,
2016-12-19,64882,26.3482,26.3482,26.3482,26.3482,2.394,9.99,0.26,3606141.56,,,89.2956,10.424,10.5265,157.8461,5558000000,,,,,,,
2016-12-20,79256,28.984,28.984,28.984,28.984,2.6358,10,0.32,4845711.84,,,98.2284,11.4667,11.5795,173.6364,6114000000,,,,,,,
2016-12-21,13059908,28.984,29.0266,26.0875,26.0875,-2.8965,-9.99,52.24,746347043.22,,,88.4119,10.3208,10.4223,156.2841,5503000000,,,,,,,
2016-12-22,10258103,24.8028,25.9595,24.1296,24.3809,-1.7066,-6.54,41.03,534437251.17,,,82.6281,9.6456,9.7405,146.0602,5143000000,,,,,,,
2016-12-23,8582348,24.0585,24.177,22.0532,22.1954,-2.1855,-8.96,34.33,418165702.63,,,75.2217,8.781,8.8674,132.9679,4682000000,,,,,,,
2016-12-26,5496482,21.8067,22.4988,21.1146,22.2097,0.0143,0.06,21.99,253032533.1,,,75.2698,8.7867,8.8731,133.0531,4685000000,,,,,,,
2016-12-27,4348957,22.186,22.5415,21.8683,22.1148,-0.0949,-0.43,17.4,203368083.55,,,74.9485,8.7492,8.8352,132.4851,4665000000,,,,,,,
2016-12-28,3993089,22.0911,22.1386,21.5602,21.5981,-0.5167,-2.34,15.97,183943438.18,,,73.1973,8.5447,8.6288,129.3895,4556000000,,,,,,,
2016-12-29,4592284,21.6218,22.3566,21.4369,22.0864,0.4883,2.26,18.37,213173315.52,,,74.8521,8.7379,8.8238,132.3147,4659000000,,,,,,,
2016-12-30,4687419,21.9015,22.6363,21.9015,22.276,0.1896,0.86,18.75,219998067.38,,,75.4948,8.8129,8.8996,133.4507,4699000000,,,,,,,
2017-01-03,4351772,22.2191,23.172,22.2191,22.897,0.621,2.79,17.41,207898198.2,,,74.4022,8.7401,8.7965,130.1129,4830000000,,,,,,,
2017-01-04,3101510,22.7691,22.8828,22.3803,22.5652,-0.3318,-1.45,12.41,147549811.6,,,73.3239,8.6134,8.669,128.2272,4760000000,,,,,,,
2017-01-05,2588730,22.5415,22.6505,22.0532,22.1907,-0.3745,-1.66,10.35,122183136.14,,,72.107,8.4705,8.5251,126.0991,4681000000,,,,,,,
2017-01-06,5272954,22.1954,23.1341,21.7593,22.6363,0.4456,2.01,21.09,250132447.62,,,73.555,8.6405,8.6963,128.6313,4775000000,,,,,,,
2017-01-09,5060313,22.1386,23.4422,22.0722,23.3142,0.6779,2.99,20.24,245937752.62,,,75.7578,8.8993,8.9568,132.4835,4918000000,,,,,,,
2017-01-10,2723889,23.2004,23.4659,22.7691,23.0724,-0.2418,-1.04,10.9,132674778.92,,,74.9722,8.807,8.8639,131.1097,4867000000,,,,,,,
2017-01-11,3851378,23.0867,23.684,22.8022,23.4185,0.3461,1.5,15.41,189498379.14,,,76.0967,8.9391,8.9968,133.0762,4940000000,,,,,,,
2017-01-12,5027952,23.2289,25.1014,23.2289,24.3097,0.8912,3.81,20.11,257702850.91,,,78.9927,9.2793,9.3392,138.1406,5128000000,,,,,,,
2017-01-13,7292164,24.177,25.5423,22.0959,24.8928,0.5831,2.4,29.17,373301897.67,,,80.8874,9.5019,9.5632,141.454,5251000000,,,,,,,
2017-01-16,8430153,24.1296,26.187,23.7029,24.7222,-0.1706,-0.69,33.72,447601021.54,,,80.3329,9.4367,9.4977,140.4843,5215000000,,,,,,,
2017-01-17,9057869,24.5373,27.1968,24.3097,27.1968,2.4746,10.01,36.23,503474204.55,,,88.3738,10.3813,10.4484,154.5462,5737000000,,,,,,,
2017-01-18,9265287,27.4954,29.7709,27.2252,29.0361,1.8393,6.76,37.06,567518374.67,,,94.3507,11.0834,11.155,164.9983,6125000000,,,,,,,
2017-01-19,5637340,27.6376,30.8328,27.5239,29.6761,0.64,2.2,22.55,350992615.9,,,96.4302,11.3277,11.4008,168.635,6260000000,,,,,,,
2017-01-20,5130301,29.349,31.2879,29.0361,31.122,1.4459,4.87,20.52,325274900.66,,,101.1285,11.8796,11.9563,176.8512,6565000000,,,,,,,
2017-01-23,6138870,30.591,31.2879,29.0361,29.5339,-1.5881,-5.1,24.56,391418844.22,,,95.9681,11.2734,11.3462,167.8268,6230000000,,,,,,,
2017-01-24,5209729,29.3917,32.3782,29.3917,30.9086,1.3747,4.65,20.84,344861260.77,,,100.4353,11.7982,11.8744,175.639,6520000000,,,,,,,
2017-01-25,2855551,31.0035,31.5154,29.9984,31.2879,0.3793,1.23,11.42,186099959.59,,,101.6677,11.943,12.0201,177.7941,6600000000,,,,,,,
2017-01-26,2197389,31.1457,31.5723,31.0651,31.5107,0.2228,0.71,8.79,145212167.24,,,102.3917,12.028,12.1057,179.0602,6647000000,,,,,,,
2017-02-03,6605470,31.2879,34.6016,31.2879,34.1322,2.6215,8.32,26.42,459600905.09,,,110.9102,13.0287,13.1128,193.9572,7200000000,,,,,,,
2017-02-06,5860937,32.9945,37.4507,30.719,32.2313,-1.9009,-5.57,23.44,405239093.69,,,104.7331,12.3031,12.3825,183.1548,6799000000,,,,,,,
2017-02-07,5032864,31.999,35.4549,31.5297,35.4549,3.2236,10,20.13,368327294.15,,,115.2079,13.5335,13.6209,201.473,7479000000,,,,,,,
2017-02-08,8449799,36.877,39.0008,35.5639,39.0008,3.5459,10,33.8,672197880.02,,,126.7303,14.8871,14.9832,221.623,8227000000,,,,,,,
