报告期,营业总收入*,营业总成本*,营业利润*,利润总额*,营业成本,净利润*,持续经营净利润,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,减：所得税,综合收益总额*,基本每股收益,稀释每股收益,货币资金,应收票据及应收账款,预付款项,交易性金融资产,其他应收款,存货,其他流动资产,流动资产总计*,长期应收款,债权投资,其他债权投资,长期股权投资,投资性房地产,固定资产,在建工程,无形资产,开发支出,商誉,非流动资产合计*,资产总计*,短期借款,流动负债合计*,长期借款,应付债券,长期应付款,非流动负债合计*,负债合计*,归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,经营活动产生的现金流量净额*,购建固定资产、无形资产和其他长期资产支付的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,投资活动产生的现金流量净额*,偿还债务支付的现金,筹资活动产生的现金流量净额*,息税前利润EBIT,毛利率,营业利润率,净利率,息税前利润率,净资产收益率,总资产报酬率,流动比率,速动比率,现金比率,资产负债率,权益乘数,利息保障倍数,自由现金流量,现金流量比率,债务保障倍数率,自由现金流与经营活动净现金流比率,存货_期初,存货_同期,应收票据及应收账款_期初,应收票据及应收账款_同期,固定资产_期初,固定资产_同期,资产总计*_期初,资产总计*_同期,所有者权益合计*_期初,所有者权益合计*_同期,负债合计*_期初,负债合计*_同期,存货周转率,应收账款周转率,固定资产周转率,总资产周转率,营业总收入*_同期,净利润*_同期,营业收入增长率,净利润增长率,净资产增长率,总资产增长率,固定资产增长率,存货增长率,经营性资产,经营性负债,经营性净资产,经营性净资产_期初,经营性净资产_同期,资产收益率ROA,权益收益率ROE,投资资本收益率ROIC,经营性资产周转率
2022-09-30,1937082234.12,1812368214.3,107210890.06,106195630.82,1617228601.39,92596538.12,92596538.12,43140280.61,57613286.51,80062762.67,3598963.14,9062082.89,1021901.59,13599092.7,92596538.12,0.1489,0.1489,171087414.56,1339811594.46,20032881.54,0.0,15071270.84,437439888.62,2223257.86,2199670940.43,0.0,0.0,0.0,7695373.69,0.0,569566502.06,117339611.84,95868189.85,0.0,171279813.35,997375220.11,3197046160.54,294278621.35,1035235289.19,39784962.48,0.0,0.0,75354885.74,1110590174.93,2051449889.24,35006096.37,2086455985.61,54551579.42,56344657.15,236805.31,-51887851.84,304000000.0,6972374.26,115257713.71,0.16512134957208288,0.05534658682609053,0.0478020687449368,0.05950068183985002,0.0443798185816646,0.028963153320363665,2.124802895920492,1.7001041331648232,0.16526427986613948,0.34738008748125637,1.5586275895743493,12.718677936303889,-1556272.4199999943,0.028161726156547155,0.050744699307065474,-0.02852845759089837,504468534.69,397729173.52,1259722911.37,1233638270.54,591481352.28,606204495.87,3138855878.39,3010353798.63,2015930218.67,2004779857.58,1122925659.72,1005573941.05,3.4339402034580586,1.4903300800783277,3.336782763740842,0.6114621792502121,1861978145.52,142821551.35,0.0403356445298263,-0.3516627060499997,0.04074069665114875,0.062016750986200624,-0.0604383406253342,0.0998436065138258,3018263372.29,776526591.1,2241736781.19,2123389412.77,2112884396.35,0.029229157127447506,0.04514276984619073,0.06899550052593702,0.8875263385513709
2022-06-30,1266967632.83,1188466974.36,73240475.56,72514025.84,1056218687.46,63769333.5,63769333.5,32288781.78,39525810.28,49563935.52,3776473.86,6027443.3,716647.38,8744692.34,63769333.5,0.1026,0.1026,162059828.44,1256258612.05,31582158.3,0.0,14918166.32,402659057.38,4817668.07,2119406513.83,0.0,0.0,0.0,7947933.15,0.0,575179925.44,99115732.74,96920153.92,0.0,171279813.35,983474060.8,3102880574.63,284266488.01,968021645.92,39784962.48,0.0,0.0,77230147.72,1045251793.64,2023609712.22,34019068.77,2057628780.99,29467423.88,39367555.35,215805.31,-34931750.04,250000000.0,1148825.73,78541469.14,0.16634122286080366,0.05780769268462229,0.05033225147003932,0.06199169347725444,0.030991660929877863,0.020551655781210373,2.189420580379412,1.7684829627471765,0.16741343452705507,0.33686497707525853,1.5234248846716016,13.030644210290623,-9684326.16,0.023258229426255515,0.029239165167593676,-0.3286451574266356,504468534.69,385291592.51,1259722911.37,1204853210.24,591481352.28,609153568.29,3138855878.39,2970853310.73,2015930218.67,1972130667.77,1122925659.72,998722642.96,2.3287103086563268,1.007135880002646,2.1719545458918943,0.4059663980900669,1220972806.52,110172361.54,0.03767063939867241,-0.4211857437870439,0.04335316853861291,0.04444085590599499,-0.055771885151013445,0.04507615844108834,2932872813.04,721200343.1499999,2211672469.8900003,2123389412.77,2059333891.6799998,0.02043320283705534,0.031308903838300865,0.046947268323374175,0.5845211289360358
2022-03-31,670440899.8,624242871.06,49439846.31,49363798.36,559555297.07,41154800.29,41154800.29,17030554.68,20767060.78,19486078.05,3373428.08,2865714.41,319957.85,8208998.07,41154800.29,0.067,0.067,160159357.09,1264148633.42,33914513.77,0.0,13935603.05,444664956.09,1116683.17,2111391124.81,0.0,0.0,0.0,8168617.98,0.0,584824901.7,72913199.21,97919249.32,0.0,171279813.35,968049410.2,3079440535.01,234240660.66,938266819.89,44153087.48,0.0,0.0,84088696.15,1022355516.04,2017262968.46,39822050.51,2057085018.97,25589201.74,20129035.09,42400.0,-16866635.09,55000000.0,-8007486.53,52229512.769999996,0.16539206179557112,0.0737422885816609,0.06138468029363504,0.07790323171748717,0.02000636819114387,0.013364375711144022,2.2503099119049463,1.7751981102190866,0.17069702742848422,0.33199391396485595,1.5121183473864437,18.22565172151959,5502566.6499999985,0.03816772178969622,0.026047112388534455,0.21503471291949722,504468534.69,398429822.78,1259722911.37,1051123797.62,591481352.28,611719602.72,3138855878.39,2901692391.53,2015930218.67,1936829789.01,1122925659.72,964862602.52,1.1790866142762622,0.5312797326662553,1.1399087568081552,0.2156349119528127,558721991.01,51179854.32,0.19995437907866495,-0.19587890905899713,0.062088692895139665,0.061256714873997115,-0.043965733483794185,0.11604335485581746,2911112559.94,743961767.9000003,2167150792.04,2123389412.77,1954530834.4500003,0.013236680130369547,0.020208517714186625,0.0304238535525768,0.3125205068808763
2021-12-31,2522935052.09,2315949830.66,185742326.58,181347658.42,1994468542.13,154237926.96,154237926.96,112632760.26,85424178.8,96196772.56,13159461.17,11265446.05,1277813.55,27109731.46,154237926.96,0.25,0.25,164582631.33,1259722911.37,17609277.38,0.0,14407893.33,504468534.69,5350188.31,2177742827.13,0.0,0.0,0.0,11494831.57,0.0,591481352.28,56271503.72,81778098.26,0.0,171279813.35,961113051.26,3138855878.39,239391111.1,1037490603.28,44145545.9,0.0,0.0,85435056.44,1122925659.72,1976969981.08,38960237.59,2015930218.67,137782924.31,93012501.63,7224920.76,-85713380.87,275500000.0,-74966122.8,192613104.47,0.20946496800312725,0.07362152522560222,0.06113432322890328,0.0763448525202578,0.07650955649732644,0.049138263410524165,2.099048242215517,1.607652251361989,0.15863529829540263,0.3577499901957836,1.6090177594771953,17.0976900173429,51995343.44000001,0.05461215666089406,0.127383801303659,0.3773714609439908,413404677.83,413404677.83,1219361947.74,1219361947.74,624744566.17,624744566.17,2996109541.94,2996109541.94,1885649934.69,1885649934.69,1110459607.25,1110459607.25,4.345847585320051,2.0353761129385,4.148793433551088,0.8224773504768317,2263275352.16,197072693.24,0.11472740145479389,-0.217355157509492,0.06909038713032281,0.04764389767857775,-0.053242902285521754,0.22027776109840547,2962778415.49,839389002.7199999,2123389412.77,2020392714.88,2020392714.88,0.050281596192502595,0.07906433849740184,0.11555586143732513,1.2176967680107225
2021-09-30,1861978145.52,1684392036.9,170560694.34,169930828.92,1459170640.33,142821551.35,142821551.35,76357971.62,60965569.73,68992860.46,8105169.11,7582273.78,1025449.29,27109277.57,142821551.35,0.2295,0.2295,159810769.39,1233638270.54,20250974.14,0.0,18254693.37,397729173.52,1059707.25,2065463637.73,0.0,0.0,0.0,11152671.1,0.0,606204495.87,47510780.66,83164009.25,0.0,175555273.97,944890160.9,3010353798.63,224246406.81,914349566.57,54821572.45,0.0,0.0,91224374.48,1005573941.05,1966627741.3,38152116.28,2004779857.58,61017729.87,33514105.14,90400.0,-33353705.14,191500000.0,-73311730.16,177513102.7,0.2163331004497407,0.09160187768603859,0.07670420391003774,0.09533576058725726,0.07124051591500029,0.047443443828761096,2.2589430927147203,1.8227982140487011,0.17478082260103014,0.33403845804025845,1.5475687568563008,23.41159233371813,27594024.729999997,0.03277037918882737,0.06295867408071963,0.452229618977793,413404677.83,365029173.91,1219361947.74,1227545379.78,624744566.17,587254277.84,2996109541.94,2921160231.63,1885649934.69,1850433521.5,1110459607.25,1070726710.13,3.5978541344352686,1.5181230981101062,3.0252724551156036,0.6199915124574131,1633412448.08,161040233.8,0.13993140416474012,-0.11313124689465034,0.08341090576163124,0.030533609910960005,0.0322691868668908,0.0895818798802704,2839390358.1400003,726505961.7900004,2112884396.35,2020392714.88,2007311990.0,0.047555955394026114,0.07342199138705754,0.10408255697915807,0.9009694222828935
2021-06-30,1220972806.52,1090731793.54,131006431.88,130745997.85,943858060.07,110172361.54,110172361.54,50618370.86,41716977.21,41415447.02,5471571.4,4997470.24,706163.3,20573636.31,110172361.54,0.1782,0.1782,170434254.43,1204853210.24,25623579.57,0.0,20329544.34,385291592.51,619215.45,2031927164.92,0.0,0.0,0.0,11377167.59,0.0,609153568.29,39132867.93,84601750.43,0.0,175555273.97,938926145.81,2970853310.73,214193073.48,911575919.81,54821572.45,0.0,0.0,87146723.15,998722642.96,1935789781.79,36340885.98,1972130667.77,102057230.04,22673637.32,28500.0,-22575137.32,131500000.0,-90105772.74,135743468.09,0.226962259085711,0.10729676466209984,0.09023326396106378,0.11117648760490759,0.05586463581775651,0.037084416501509586,2.229026810343471,1.8056821392375961,0.1869666044551985,0.33617366409605504,1.54018780064142,27.16243650707563,79412092.72,0.08358681659002884,0.1056058514818067,0.7781133457068692,413404677.83,338253046.38,1219361947.74,1101798040.19,624744566.17,586876435.75,2996109541.94,2763027238.55,1885649934.69,1769508332.76,1110459607.25,993518905.79,2.3634968513580406,1.007313894974064,1.9790496029144955,0.4092443129501498,992926895.31,80115045.06,0.22967039395060623,0.3751769278478142,0.11450770321830513,0.07521680180361312,0.037958812422807284,0.13906318548615815,2789041888.71,729707997.0300002,2059333891.6799998,2020392714.88,1915215878.6600003,0.036927450114995056,0.05711696588953044,0.08119389899347379,0.598556189797981
2021-03-31,558721991.01,503989398.77,61519273.33,61323619.52,433672027.67,51179854.32,51179854.32,24651821.26,21535236.67,18886262.34,2171883.19,2637130.82,404245.88,10143765.2,51179854.32,0.0837,0.0837,236125249.9,1051123797.62,18730330.66,0.0,22682489.4,398429822.78,209463.98,1965751578.19,0.0,0.0,0.0,11544179.44,0.0,611719602.72,34447916.58,84754413.7,0.0,175555273.97,935940813.34,2901692391.53,210633527.78,876828876.31,54736947.0,0.0,0.0,88033726.21,964862602.52,1901816754.42,35013034.59,1936829789.01,108601622.55,10934697.47,15000.0,-10919697.47,75000000.0,-67754979.23,63960750.34,0.22381428573081139,0.11010712719360088,0.09160164651382763,0.11447688003899463,0.026424549338514822,0.017637932425019716,2.241887364000333,1.787249865703502,0.2692945639446741,0.332517190773364,1.5182251319943085,24.253916360508807,97681925.08,0.19437506362275303,0.11657965527773587,0.8994518017907828,413404677.83,345931566.71,1219361947.74,1046819488.41,624744566.17,559748122.12,2996109541.94,2714620595.58,1885649934.69,1754544351.13,1110459607.25,960076244.45,1.0683754566827244,0.49216075648289176,0.9037414994590205,0.18946787203525947,443844656.16,26981951.79,0.25882329156304684,0.8968180922689285,0.10389332008769138,0.06891268571917356,0.0928479766991666,0.1517590793152743,2654022962.19,699492127.7399999,1954530834.4500003,2020392714.88,1879760610.75,0.017355569039900966,0.026778352284082256,0.04053487399010302,0.2811233897085524
2020-12-31,2263275352.16,1996784095.04,231447498.42,229989601.56,1700526860.99,197072693.24,197072693.24,83137794.25,89689266.71,89824705.01,19537862.65,15850634.17,593133.56,32916908.32,197072693.24,0.33,0.33,184191031.99,1219361947.74,15418831.75,0.0,17857618.25,413404677.83,5243149.77,2048895462.92,0.0,0.0,0.0,11679131.93,0.0,624744566.17,28850953.01,86822230.49,0.0,175555273.97,947214079.02,2996109541.94,275794043.74,1021368943.76,54818900.37,0.0,0.0,89090663.49,1110459607.25,1851518094.9,34131839.79,1885649934.69,167948911.22,94257118.44,2131385.18,-84148133.26,357300000.0,-69921831.57,245840235.73,0.24864340551092473,0.10226219191540864,0.08707411276843532,0.10862144347367088,0.10451181293753693,0.06577619759269356,2.0060287474351157,1.5961398134140583,0.18033741197566802,0.370633847563187,1.6584187503856362,15.509804408664868,75823177.96000001,0.0742061327446149,0.1560591044919035,0.45146573091312003,422125866.78,422125866.78,1106982458.21,1106982458.21,573463088.16,573463088.16,2843445071.86,2843445071.86,1727562399.34,1727562399.34,1115882672.52,1115882672.52,4.070531884106652,1.9457784035513481,3.7777681422433447,0.7751534155743458,2241199353.12,229445789.19,0.00985008272881558,-0.14109256946612517,0.09150901606239874,0.05368996629857055,0.08942420021232844,-0.02066016237414142,2800239378.02,779846663.1399999,2020392714.88,1885849667.53,1885849667.53,0.06749579592055839,0.10908447941679353,0.15580706013039614,1.1587992400838407
2020-09-30,1633412448.08,1432497929.81,188378517.14,187242823.74,1170060796.92,161040233.8,161040233.8,107609831.5,62104445.95,71306638.78,12108161.48,10386684.84,406308.06,26202589.94,161040233.8,0.2657,0.2657,162671190.37,1227545379.78,19453689.76,0.0,16787525.08,365029173.91,1765172.24,1959695941.5,0.0,0.0,0.0,15687288.13,0.0,587254277.84,58581906.34,87741394.18,0.0,194166392.67,961464290.13,2921160231.63,280500000.0,980089770.02,54736947.0,0.0,0.0,90636940.11,1070726710.13,1815768602.21,34664919.29,1850433521.5,78695073.5,48437403.63,895808.0,-43581595.63,276500000.0,-57765861.15,197629508.58,0.28367094404395415,0.11532819978287183,0.09859128598493007,0.12099179776198245,0.08702838114900634,0.055128860120808906,1.9995065773005771,1.6252609139237264,0.16597580685561128,0.36654158800886355,1.6328471559264406,19.02719795818894,31153477.869999997,0.04817832360253063,0.0760466194056324,0.39587583420962175,422125866.78,353083617.76,1106982458.21,1287376502.29,573463088.16,365932736.9,2843445071.86,2766395020.1,1727562399.34,1656489920.1,1115882672.52,1109905100.0,2.9728852295587274,1.399351441862735,2.8144878261087376,0.5667040021252111,1592422080.21,158209853.04,0.025740893937236976,0.017890041015867823,0.1170810634261463,0.055944726044368655,0.6048148160094284,0.03383208834718505,2742801753.13,735489763.1300001,2007311990.0,1885849667.53,1906492378.52,0.0558720763423311,0.0900170024577294,0.13034064935201456,0.8391187378108063
2020-06-30,992926895.31,894156188.38,93423132.37,92621763.56,738690432.86,80115045.06,80115045.06,58957436.74,40028112.66,45990330.18,4899676.46,5451340.98,304108.93,12506718.5,80115045.06,0.1313,0.1313,180404410.81,1101798040.19,19009398.37,0.0,20122272.07,338253046.38,2701569.94,1809373000.3,0.0,0.0,0.0,15924990.29,0.0,586876435.75,52456497.04,89394540.27,0.0,194166392.67,953654238.25,2763027238.55,267300000.0,897189988.71,74736947.0,0.0,0.0,96328917.08,993518905.79,1734960193.65,34548139.11,1769508332.76,64205955.2,37589738.84,694808.0,-32934930.84,191500000.0,-46896040.52,98073104.54,0.2560475133173074,0.09408863110796543,0.08068574377269479,0.09877172730765922,0.04527531381275845,0.028995387357108833,2.0167110902581036,1.6366861004449291,0.20107715542991014,0.35957622564422687,1.580195226357801,17.99063843186709,27311024.36,0.0646633256720822,0.06606047516637355,0.4253659068684021,422125866.78,315763424.98,1106982458.21,1202458459.43,573463088.16,366050275.14,2843445071.86,2670576669.3,1727562399.34,1602964151.11,1115882672.52,1067612518.19,1.9429534935158408,0.8990724936491045,1.7114419958119345,0.35420736617796206,1038285101.23,104966499.3,-0.04368569467698869,-0.23675605460531915,0.10389763335298156,0.03461820449222779,0.6032672985303524,0.0712230094458357,2566697837.4500003,651481958.7900001,1915215878.6600003,1885849667.53,1792260167.48,0.02857948478983613,0.04581837268809871,0.06877442097662677,0.5224466051658913
