报告期,营业总收入,营业总成本,营业利润,利润总额,营业成本,净利润,持续经营净利润,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,减：所得税,综合收益总额,基本每股收益,稀释每股收益,货币资金,应收票据及应收账款,预付款项,交易性金融资产,其他应收款,存货,其他流动资产,流动资产总计,长期应收款,债权投资,其他债权投资,长期股权投资,投资性房地产,固定资产,在建工程,无形资产,开发支出,商誉,非流动资产合计,资产总计,短期借款,流动负债合计,长期借款,应付债券,长期应付款,非流动负债合计,负债合计,归属于母公司所有者权益合计,少数股东权益,所有者权益合计,经营活动产生的现金流量净额,购建固定资产、无形资产和其他长期资产支付的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,投资活动产生的现金流量净额,偿还债务支付的现金,筹资活动产生的现金流量净额,息税前利润EBIT,毛利率,营业利润率,净利率,息税前利润率,净资产收益率,总资产报酬率,流动比率,速动比率,现金比率,资产负债率,权益乘数,利息保障倍数,自由现金流量,现金流量比率,债务保障倍数率,自由现金流与经营活动净现金流比率,存货_期初,存货_同期,应收票据及应收账款_期初,应收票据及应收账款_同期,固定资产_期初,固定资产_同期,资产总计_期初,资产总计_同期,所有者权益合计_期初,所有者权益合计_同期,负债合计_期初,负债合计_同期,存货周转率,应收账款周转率,固定资产周转率,总资产周转率,营业总收入_同期,净利润_同期,营业收入增长率,净利润增长率,净资产增长率,总资产增长率,固定资产增长率,存货增长率,经营性资产,经营性负债,经营性净资产,经营性净资产_期初,经营性净资产_同期,资产收益率ROA,权益收益率ROE,投资资本收益率ROIC,经营性资产周转率
2022-09-30,692945704.73,265798181.62,428461040.91,427207923.37,185850253.93,310250710.78,310250710.78,1831871.1,76789312.57,0.0,-19111905.65,18857468.07,732138.53,116957212.59,310250710.78,0.4,0.4,70817270.38,45075206.85,1341135.67,0.0,12994049.96,73970471.61,1587668926.83,2223021456.34,696460018.09,0.0,0.0,0.0,65061927.8,119640865.96,0.0,61554612.21,0.0,0.0,2165441709.57,4388463165.91,218375089.08,465091339.21,66900000.0,0.0,19242487.94,123975421.48,589066760.69,3763692998.07,35703407.15,3799396405.22,-108754583.91,34486129.57,0.0,540188140.96,242600000.0,-846773383.08,446065391.44,0.7317968021716581,0.6183183444032545,0.4477273019549004,0.6437234380633117,0.08165789448917354,0.07069689297840234,4.779752424794675,1.207036146606296,0.15226529588852286,0.13423076334921227,1.0995065250543234,23.654574929369083,-143240713.48,-0.1569453178909237,-0.20442923764792695,1.3171004690573689,69777425.52,3424043785.81,43896395.65,45222833.98,110264682.06,41289446.02,5389065437.7,7821452665.32,4183208637.88,6996617782.78,1205856799.82,824834882.54,2.5857804898797827,15.576783721075497,6.0280903240292325,0.14174250627590182,1438703042.75,832733198.21,-0.5183539033840693,-0.6274308368551911,-0.4569667054600248,-0.43891967979704516,1.8976137364993397,-0.9783967506734143,4252583967.7299995,303791671.6099998,3948792296.12,3810942200.34,7109077670.44,0.06346198990723506,0.07773169513082057,0.17338976840765172,0.1786003644960076
2022-06-30,514369211.38,174413785.16,342124604.29,342167345.97,128145008.13,248677061.29,248677061.29,1298902.95,56697219.3,0.0,-27363400.61,11909208.5,672731.67,93490284.68,248677061.29,0.32,0.32,54452238.8,16717544.9,1795637.66,0.0,18388513.33,64250796.03,1594716154.12,2181475279.88,696460018.09,0.0,0.0,0.0,65817277.99,115180238.51,0.0,66449033.89,0.0,0.0,2171120153.88,4352595433.76,143192520.83,487309212.54,67200000.0,0.0,23733314.73,128766248.27,616075460.81,3701304935.58,35215037.37,3736519972.95,-198579711.36,17510989.46,0.0,562163281.07,140300000.0,-795267501.18,354076554.47,0.7508695985395393,0.6651342979338026,0.4834602378762618,0.68837042854888,0.06655311977194338,0.0571330520087367,4.476573033597097,1.072231585786224,0.11174063079205664,0.14154209142240487,1.0991779258213348,29.731325509163774,-216090700.82000002,-0.38606453684743486,-0.35811796606656976,1.0881811608047651,69777425.52,3416946641.22,43896395.65,52387641.71,110264682.06,41917332.99,5389065437.7,7986481017.82,4183208637.88,6995937121.87,1205856799.82,990543895.95,1.9122093339453103,16.971977294751216,4.563147487018141,0.1056019539515977,963735255.93,575608042.83,-0.46627540269486545,-0.567975005930478,-0.46590143566767284,-0.4550045978888346,1.747795012089103,-0.9811964298022928,4232325916.9700003,405682939.9800004,3826642976.99,3810942200.34,7193515941.379999,0.05105434577763747,0.06279938960280565,0.1412871194194435,0.13469419965534624
2022-03-31,200256606.11,116935018.35,84721071.15,84650023.15,54167830.55,58355163.95,58355163.95,800360.63,30553575.4,0.0,11571885.65,10527737.77,334350.04,26294859.2,58355163.95,0.08,0.08,475678205.28,21152085.97,3650459.94,0.0,26021444.21,67938717.52,1588587122.38,2601624535.34,915223085.52,0.0,0.0,0.0,66573391.75,107513651.08,0.0,62502987.2,0.0,0.0,2422573247.47,5024197782.81,55030844.44,647190221.91,67500000.0,0.0,33686170.97,140519104.51,787709326.42,4201932561.25,34555895.14,4236488456.39,-175858710.55,32068.32,0.0,327156109.41,111644770.33,-161814289.84,95177760.92,0.7295078968818343,0.4230625535692097,0.29140194215588466,0.47527900711409893,0.013774418259533192,0.011614822201000683,4.019876146555547,1.4603105291838419,0.7349897899819461,0.15678310458141229,1.193439081372465,9.040666000555218,-175890778.87,-0.8781668378690172,-0.24606284675340875,1.0001823527529554,69777425.52,3942206019.7,43896395.65,64638350.64,110264682.06,26445983.31,5389065437.7,8217246324.92,4183208637.88,7127596098.15,1205856799.82,1089650226.77,0.7866591287597535,6.157149286892149,1.8390865906872744,0.03846183504044609,479961677.2,309044811.5,-0.5827654256101095,-0.8111757202239909,-0.4056216993707598,-0.38857890050424965,3.065405692037397,-0.9827663198776277,4481946185.780001,665178481.9800009,3816767703.7999997,3810942200.34,7444742130.889999,0.01120785342966525,0.013861582737866767,0.03979485218881016,0.0525076618347295
2021-12-31,1743365379.54,489788145.4,1461813216.14,1451071802.92,278239352.06,1087680162.18,1087680162.18,2190558.51,94539248.41,0.0,63626866.79,45431212.62,1890482.84,363391640.74,940648568.78,1.1889,1.1889,485849912.67,43896395.65,2740481.1,0.0,319391554.57,69777425.52,1618655670.34,2958907939.89,915223085.52,0.0,0.0,0.0,67404614.45,110264682.06,0.0,65243448.07,0.0,0.0,2430157497.81,5389065437.7,95138089.58,1047230094.52,85850000.0,0.0,33443771.76,158626705.3,1205856799.82,4141732975.01,41475662.87,4183208637.88,842366841.08,20686227.36,1510.0,895993715.39,712200000.0,-377550914.56,1496503015.54,0.8404010109840454,0.838500771723315,0.6238968462635139,0.8583989524530213,0.2600109763426056,0.20183094355673872,2.8254611430415597,1.2131764076282823,0.463938073602335,0.22375991046318558,1.010973602805096,32.93997516767141,821682123.72,0.48318433471603345,0.7434309764631837,0.9754445256493238,2950072938.82,2950072938.82,40703747.8,40703747.8,95411707.9,95411707.9,8442523993.98,8442523993.98,6477931124.32,6477931124.32,1964592869.66,1964592869.66,0.18427360199405793,41.21424168909019,16.95250854878433,0.2520846050486403,1606555616.65,1020833392.62,0.08515719062081177,0.06548254597004884,-0.35423693805958467,-0.36167602940273424,0.15567244824468754,-0.9763472202324902,4835810910.58,1024868710.2399997,3810942200.34,6842799456.77,6842799456.77,0.15727479008143017,0.20404575616510812,0.7004988339059874,0.32727757733388024
2021-09-30,1438703042.75,355922017.5,1114572837.98,1108506645.23,207643166.44,832733198.21,832733198.21,1332155.34,57196434.52,0.0,51512421.18,34297272.22,1415457.75,275773447.02,832733198.21,1.06,1.06,88714996.2,45222833.98,2120451.02,0.0,1121722026.34,3424043785.81,499964.47,6348406216.77,0.0,0.0,0.0,0.0,47145091.14,41289446.02,0.0,11091771.58,0.0,0.0,1473046448.55,7821452665.32,170219975.0,661121054.47,78100000.0,0.0,0.0,163713828.07,824834882.54,6314799822.61,681817960.17,6996617782.78,986680969.19,58623228.14,0.0,456281841.54,300550000.0,-393440642.86,1142803917.45,0.8556733667268113,0.7747066662551548,0.5788082553980545,0.7943292559287249,0.11901939252127135,0.10646784348670994,9.602486827256346,4.422582591676753,0.1341887323057954,0.10545801628350754,1.1609223758427603,33.32054835496769,928057741.0500001,0.6858128049163049,1.3347576658208438,0.9405854273361269,2950072938.82,9821143.95,40703747.8,55832581.37,95411707.9,37562279.95,8442523993.98,8151085175.99,6477931124.32,6929643250.84,1964592869.66,1221441925.15,0.06515198117965218,33.48679798373797,21.04887927415675,0.17691897533895276,185160509.78,341530374.38,6.770031765733455,1.4382405217155552,0.00966493216398709,-0.04044032218445861,0.09922630029277549,347.64001619790946,7685592577.98,576514907.5400001,7109077670.44,6842799456.77,7415783306.43,0.10240216346275068,0.12360090181144645,0.1519209709350707,0.20623791761240975
2021-06-30,963735255.93,222350397.64,773662514.38,767822312.97,124647019.19,575608042.83,575608042.83,521046.58,35549541.4,0.0,37082207.87,23619538.34,279748.04,192214270.14,575608042.83,0.73,0.73,177346561.89,52387641.71,4697807.98,0.0,1186734284.3,3416946641.22,349460.14,6504544556.19,0.0,0.0,0.0,0.0,47785364.43,41917332.99,0.0,11220065.22,0.0,0.0,1481936461.63,7986481017.82,242310745.83,724530067.88,180400000.0,0.0,0.0,266013828.07,990543895.95,6312341397.93,683595723.94,6995937121.87,675066480.18,55946884.21,0.0,388103248.87,225900000.0,-197884752.85,791441851.3100001,0.8706625928406903,0.8027749422048687,0.5972678069918081,0.8212233042634333,0.0822774751692081,0.07207279921478092,8.977604718631653,4.261035658414282,0.24477460598553508,0.12402757782054807,1.185477083773375,33.507930591923675,619119595.9699999,0.7004688020140594,0.7459874570876989,0.9171238894944357,2950072938.82,9821143.95,40703747.8,65548107.62,95411707.9,38120121.67,8442523993.98,8141552009.5,6477931124.32,6816978063.09,1964592869.66,1324573946.41,0.03915396132305185,20.705142785015028,14.03541814148324,0.11732119568261193,129246185.65,228865186.63,6.456585670851478,1.5150528628042046,0.026251963424814242,-0.019046858817465658,0.09961173138091928,346.91737689783076,7761349091.499999,567833150.1199994,7193515941.379999,6842799456.77,7186771952.29,0.07007217325901043,0.08544065183252249,0.10490367060414556,0.13732026227581368
2021-03-31,479961677.2,115796011.74,419502733.36,416461345.75,71822553.28,309044811.5,309044811.5,390583.48,14764801.87,0.0,16507485.45,11690618.21,84653.38,107416534.25,309044811.5,0.39,0.39,68420148.85,64638350.64,4737201.92,0.0,48898438.94,3942206019.7,26699771.43,6464477952.92,0.0,0.0,0.0,521006.0,64612812.41,26445983.31,0.0,11344465.28,0.0,0.0,1752768372.0,8217246324.92,280000000.0,833336398.7,170700000.0,0.0,0.0,256313828.07,1089650226.77,6441555779.04,686040319.11,7127596098.15,-26830980.49,53080912.9,0.0,220918995.9,125155740.55,-20602910.53,428151963.96,0.8503577333527994,0.8740338099643594,0.6438947653131503,0.8920544791362355,0.043358911931080664,0.0376092913951936,7.757345008575826,2.994675578413566,0.08210387660581613,0.1326052772040527,1.2079276591867654,36.623552002901306,-79911893.39,-0.055902339217011134,-0.026723115341973705,2.9783441354214935,2950072938.82,9821143.95,40703747.8,77100387.7,95411707.9,39071729.22,8442523993.98,8055860960.76,6477931124.32,6745411452.91,1964592869.66,1310449507.85,0.020841452794424523,9.112438128871586,7.877412946760522,0.05761924300426857,170914847.79,117086246.55,1.8081918183592818,1.6394629651743668,0.056658463002301165,0.02003328569672515,-0.3231427469951124,400.3998817011536,8083692357.66,638950226.7700001,7444742130.889999,6842799456.77,7233460614.15,0.03710072895175489,0.045429303318669165,0.05673054793456299,0.06718604096516337
2020-12-31,1606555616.65,573070175.5,1397813559.47,1386415212.08,400153479.25,1020833392.62,1020833392.62,1830643.07,69620791.02,0.0,68829609.09,50448239.22,1463419.19,365581819.46,975421620.63,1.0775,1.0775,142885716.63,40703747.8,4443817.86,0.0,1411885802.59,2950072938.82,31702479.71,6696129041.42,0.0,0.0,0.0,521006.0,65429628.62,95411707.9,7341106.07,63472116.68,0.0,0.0,1746394952.56,8442523993.98,407454683.7,1626702738.89,166250000.0,0.0,100827716.08,337890130.77,1964592869.66,5768342833.63,709588290.69,6477931124.32,755094340.67,14575266.57,843902.91,105113355.43,779900000.0,-392666181.92,1436863451.3,0.7509246022341869,0.8700685771369245,0.6354173998337189,0.8943751690938386,0.15758633011510426,0.12091566376926051,4.116381488353049,2.2833634775979617,0.08783763204794243,0.23270207713485525,1.2883196819853393,28.481934622811597,741362977.01,0.47000821686119243,0.42114570244471233,0.9818150356579073,9821143.95,9821143.95,103330522.31,103330522.31,40094253.74,40094253.74,7788548910.82,7788548910.82,6628325206.36,6628325206.36,1160223704.46,1160223704.46,0.27038364756317135,22.307963450962912,23.711954768723043,0.19796049541184613,1186105451.13,600814549.42,0.354479582839315,0.6990823434709892,-0.022689605195546844,0.08396622922294104,1.3796853414137145,299.3797677581134,8233687642.73,1390888185.9599996,6842799456.77,7118710353.099999,7118710353.099999,0.12578754326439012,0.15577802949425992,0.2080414382955322,0.23014067081974987
2020-09-30,185160509.78,72421712.61,473580427.99,460845883.35,29579719.75,341530374.38,341530374.38,0.0,14171011.21,0.0,25001883.15,21178445.26,234008.54,119315508.97,341530374.38,0.42,0.42,53998717.29,55832581.37,1316863.93,0.0,19034830.3,9821143.95,4054952025.13,4564796161.97,0.0,0.0,0.0,0.0,56474012.33,37562279.95,0.0,11600859.43,0.0,0.0,3586289014.02,8151085175.99,353612785.21,914689889.75,243000000.0,0.0,0.0,306752035.4,1221441925.15,6288688630.3,640954620.54,6929643250.84,-353000069.93,356069860.98,0.0,330382364.88,334900000.0,-24903046.75,482024328.61,0.8402482268754531,2.55767511416278,1.8445097973957414,2.6032782540009274,0.049285419467820404,0.04189998840719009,4.990539649692241,0.5466584888422293,0.059034999615835644,0.14985022224376995,1.2024050950880243,22.76013761597531,-709069930.9100001,-1.9064544073108245,-0.3049176407735835,2.0086962902035936,9821143.95,9821143.95,103330522.31,69969271.49,40094253.74,58815776.35,7788548910.82,7535903258.74,6628325206.36,6390128460.56,1160223704.46,1145774798.18,3.0118405656807425,2.3266762899053313,4.768703957844658,0.023232717736377622,996908011.52,549737135.78,-0.8142652003591755,-0.37873876048883576,0.08442941227393091,0.08163346796371404,-0.3613570664021338,0.0,8040612446.37,624829139.9399996,7415783306.43,7118710353.099999,6838665245.940001,0.04285297548487833,0.05038075954493451,0.09799700345485782,0.025478769899712837
2020-06-30,129246185.65,52786344.55,323684836.1,310477727.26,25161245.59,228865186.63,228865186.63,0.0,9958603.85,0.0,15185635.89,14058424.28,117125.27,81612540.63,228865186.63,0.28,0.28,221670858.69,65548107.62,1770351.48,0.0,18809997.4,9821143.95,3918846176.32,4575306635.46,0.0,0.0,0.0,0.0,57194333.57,38120121.67,0.0,11729056.49,0.0,0.0,3566245374.04,8141552009.5,513659081.46,1125821911.01,135000000.0,0.0,0.0,198752035.4,1324573946.41,6178244070.48,638733992.61,6816978063.09,-222006122.1,247741582.53,0.0,269494007.51,105000000.0,72663504.19,324536151.53999996,0.8053231090460424,2.5044053290403623,1.77076936916165,2.510992103231945,0.03357282134574744,0.028110756568642908,4.063970145469447,0.5743708741730612,0.19689691284399868,0.1626930522416876,1.2110626062260688,23.08481698064102,-469747704.63,-1.7176996054738114,-0.1760804758874778,2.1159223006400145,9821143.95,8409526.89,103330522.31,78764519.69,40094253.74,60216424.78,7788548910.82,7193027402.86,6628325206.36,6070123780.31,1160223704.46,1122903622.55,2.5619465225331517,1.530639912268028,3.3049215050939447,0.016226662504709825,366722130.05,229732455.53,-0.6475637136150518,-0.0037751257130786736,0.12303773527693335,0.13186723107197676,-0.36694810744292083,0.16785927180738208,7862686817.240001,675914864.9500004,7186771952.29,7118710353.099999,6732169806.11,0.028733676927064015,0.03404388611300726,0.07298742846960847,0.018069462167144522
